%  Delivered,% ደርሷል,
% Amount Billed,% መጠን የሚከፈል,
% Billed,% የሚከፈል,
% Complete Method,% ተጠናቋል ስልት,
% Completed,% ተጠናቋል,
% Installed,% ተጭኗል,
% Ordered,% የዕቃው መረጃ,
% Progress,% ሂደት,
% Received,% ደርሷል,
% of materials billed against this Sales Order,ቁሳቁሶችን% ይህን የሽያጭ ትዕዛዝ ላይ እንዲከፍሉ,
% of materials delivered against this Sales Order,ቁሳቁሶችን% ይህን የሽያጭ ትዕዛዝ ላይ አሳልፎ,
(Hour Rate / 60) * Actual Operation Time,(ሰዓት ተመን / 60) * ትክክለኛ ኦፕሬሽን ሰዓት,
(including),(ጨምሮ),
* Will be calculated in the transaction.,* ግብይቱ ላይ ይሰላሉ.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** በጀት ዓመት ** አንድ የፋይናንስ ዓመት ይወክላል. ሁሉም የሂሳብ ግቤቶች እና ሌሎች ዋና ዋና ግብይቶች ** ** በጀት ዓመት ላይ ክትትል ነው.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** ወርሃዊ ስርጭት ** የእርስዎን ንግድ ውስጥ ወቅታዊ ቢኖራችሁ ወራት በመላ በጀት / ዒላማ ለማሰራጨት ይረዳል.,
1 Loyalty Points = How much base currency?,1 የታማኝነት ነጥቦች = ምን ያህል መሠረታዊ ምንዛሬ ነው?,
1 hr,1 ሰዓት,
2 Yearly,2 ዓመታዊ,
30 mins,30 ደቂቃዎች,
6 hrs,6 ሰዓት,
"A Product or a Service that is bought, sold or kept in stock.",አንድ ምርት ወይም ገዙ ይሸጣሉ ወይም በስቶክ ውስጥ የተቀመጠ ነው አንድ አገልግሎት.,
A condition for a Shipping Rule,አንድ መላኪያ አገዛዝ አንድ ሁኔታ,
A logical Warehouse against which stock entries are made.,የአክሲዮን ግቤቶች አደረገ ናቸው ላይ አንድ ምክንያታዊ መጋዘን.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,አንድ ተልእኮ ለማግኘት ኩባንያዎች ምርቶችን የሚሸጡ አንድ ሶስተኛ ወገን አሰራጭ / አከፋፋይ / ተልእኮ ወኪል / የሽያጭ / ሻጭ.,
A+,A +,
A-,A-,
A4,A4,
AB+,ኤቢ +,
AB-,A ሳዛኝ,
ACC-AML-.YYYY.-,ACC-AML-yYYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-yYYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-yYYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-yYYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY -YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV -.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-yYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,አክሲ-ጆ-አያንኳት.-,
ACC-SINV-.YYYY.-,ACC-SINV-yYYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC የሚቃጠልበት ቀን,
API,ኤ ፒ አይ,
API Endpoint,ኤፒአይ መጨረሻ ነጥብ,
API Key,የኤ ፒ አይ ቁልፍ,
Abbr,Abbr,
Abbreviation,ማላጠር,
Academics User,ምሑራንን ተጠቃሚ,
Accepted,ተቀባይነት አግኝቷል,
Accepted Qty,ተቀባይነት ያገኙ ሰቆች,
Accepted Quantity,ተቀባይነት ብዛት,
Accepted Warehouse,ተቀባይነት መጋዘን,
Access Token,የመዳረሻ ማስመሰያ,
Account,ሒሳብ,
Account Balance,የመለያ ቀሪ ሂሳብ,
Account Currency,መለያ ምንዛሬ,
Account Details,የመለያ ዝርዝሮች,
Account Head,መለያ ኃላፊ,
Account Manager,የባንክ ሀላፊ,
Account Name,የአድራሻ ስም,
Account Number,የመለያ ቁጥር,
Account Paid From,መለያ ከ የሚከፈልበት,
Account Paid To,መለያ ወደ የሚከፈልበት,
Account Subtype,የሂሳብ አይነት,
Account Type,የመለያ አይነት,
Account for Change Amount,ለውጥ መጠን መለያ,
Accounting,አካውንቲንግ,
Accounting Details,አካውንቲንግ ዝርዝሮች,
Accounting Dimension,የሂሳብ አወጣጥ,
Accounting Dimension Detail,የሂሳብ መመዝገቢያ ዝርዝር,
Accounting Dimensions,የሂሳብ ልኬቶች,
Accounting Dimensions ,የሂሳብ መለኪያዎች,
Accounting Entries,አካውንቲንግ ግቤቶችን,
Accounting Period,የሂሳብ አያያዝ ጊዜ,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,የሂሳብ ምዝገባዎች ምዝገባዎች እስከዚህ ቀን ድረስ ቀዝቅዘዋል። ከዚህ በታች ከተጠቀሰው ሚና ጋር ከተጠቃሚዎች በስተቀር ግቤቶችን ማንም መፍጠር ወይም ማሻሻል አይችልም,
Accounts,መለያዎች,
Accounts Frozen Till Date,መለያዎች የቀዘቀዙ እስከ ቀን,
Accounts Manager,መለያዎች አስተዳዳሪ,
Accounts Payable,ተከፋይ መለያዎች,
Accounts Payable Summary,መለያዎች ተከፋይ ማጠቃለያ,
Accounts Receivable,ለመቀበል የሚቻሉ አካውንቶች,
Accounts Receivable Credit Account,የሂሳብ ደረሰኝ ደረሰኝ ሂሳብ።,
Accounts Receivable Discounted Account,የሂሳብ ደረሰኝ የተቀነሰ ሂሳብ።,
Accounts Receivable Summary,መለያዎች የሚሰበሰብ ሂሳብ ማጠቃለያ,
Accounts Receivable Unpaid Account,መለያዎች ያልተከፈለ ሂሳብ።,
Accounts Settings,ቅንብሮች መለያዎች,
Accounts User,የተጠቃሚ መለያዎች,
Accumulated Depreciation,ሲጠራቀሙ መቀነስ,
Accumulated Depreciation Account,ሲጠራቀሙ የእርጅና መለያ,
Accumulated Depreciation Amount,ሲጠራቀሙ የእርጅና መጠን,
Acquisition Date,ማግኛ ቀን,
Action,እርምጃ,
