%  Delivered,تم إيصاله٪,
% Amount Billed,المبلغ٪ صفت,
% Billed,% فوترت,
% Complete Method,الطريقة الكاملة٪,
% Completed,٪ مكتمل,
% Installed,٪ تم تركيب,
% Ordered,٪ تم طلبها,
% Progress,٪ التقدم,
% Received,تم استلام٪,
% of materials billed against this Sales Order,٪ من المواد فوترت مقابل أمر المبيعات,
% of materials delivered against this Sales Order,٪ من المواد الموردة أوصلت مقابل أمر المبيعات,
(Hour Rate / 60) * Actual Operation Time,(سعر الساعة / 60) * وقت العمل الفعلي,
(including),(تتضمن),
* Will be calculated in the transaction.,* سيتم احتسابه في المعاملة.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** السنة المالية ** تمثل السنة المالية. يتم تتبع جميع القيود المحاسبية والمعاملات الرئيسية الأخرى مقابل ** السنة المالية **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** التوزيع الشهري ** يساعدك على توزيع  الهدف أو الميزانية على مدى عدة شهور إذا كان لديك موسمية في عملك.,
1 Loyalty Points = How much base currency?,1 نقاط الولاء = كم العملة الأساسية؟,
1 hr,1 ساعة,
2 Yearly,عامين,
30 mins,30 دقيقة,
6 hrs,6 ساعات,
"A Product or a Service that is bought, sold or kept in stock.",منتج أو خدمة تم شراؤها أو بيعها أو حفظها في المخزون.,
A condition for a Shipping Rule,شرط للحصول على قانون الشحن,
A logical Warehouse against which stock entries are made.,مستودع منطقي لقاء ما تم إدخاله من مخزون.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,موزع طرف ثالث / وكيل / دلّال / شريك / بائع التجزئة الذي يبيع منتجات الشركات مقابل عمولة.,
A+,+A,
A-,-A,
A4,A4,
AB+,+AB,
AB-,-AB,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC تاريخ انتهاء الاشتراك,
API,API,
API Endpoint,نقطة وصولAPI,
API Key,مفتاح API,
Abbr,اسم مختصر,
Abbreviation,اسم مختصر,
Academics User,المستخدمين الأكادميين,
Accepted,مقبول,
Accepted Qty,الكمية المطلوبة,
Accepted Quantity,كمية مقبولة,
Accepted Warehouse,مستودع مقبول,
Access Token,رمز وصول,
Account,حساب,
Account Balance,رصيد حسابك,
Account Currency,عملة الحساب,
Account Details,تفاصيل الحساب,
Account Head,رئيس حساب,
Account Manager,إدارة حساب المستخدم,
Account Name,اسم الحساب,
Account Number,رقم الحساب,
Account Paid From,حساب مدفوع من,
Account Paid To,حساب مدفوع ل,
Account Subtype,نوع الحساب الفرعي,
Account Type,نوع الحساب,
Account for Change Amount,حساب لتغيير المبلغ,
Accounting,المحاسبة,
Accounting Details,تفاصيل المحاسبة,
Accounting Dimension,البعد المحاسبي,
Accounting Dimension Detail,البعد المحاسبي التفاصيل,
Accounting Dimensions,أبعاد المحاسبة,
Accounting Dimensions ,الأبعاد المحاسبية,
Accounting Entries,القيود المحاسبة,
Accounting Period,فترة المحاسبة,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,تم تجميد قيود المحاسبة حتى هذا التاريخ. لا يمكن لأي شخص إنشاء أو تعديل الإدخالات باستثناء المستخدمين الذين لديهم الدور المحدد أدناه,
Accounts,الحسابات,
Accounts Frozen Till Date,الحسابات المجمدة حتى تاريخ,
Accounts Manager,مدير حسابات,
Accounts Payable,الحسابات الدائنة,
Accounts Payable Summary,ملخص الحسابات المستحقة للدفع,
Accounts Receivable,الحسابات المدينة,
