%  Delivered,% Доставени,
% Amount Billed,% Фактурирана сума,
% Billed,% Фактуриран,
% Complete Method,% Изпълнен Метод,
% Completed,% Завършен,
% Installed,% Инсталиран,
% Ordered,% Поръчани,
% Progress,% Прогрес,
% Received,% Получени,
% of materials billed against this Sales Order,% от материали начислени по тази Поръчка за Продажба,
% of materials delivered against this Sales Order,% от материалите доставени към тази Поръчка за Продажба,
(Hour Rate / 60) * Actual Operation Time,(надница на час / 60) * действително отработено време,
(including),(включително),
* Will be calculated in the transaction.,* Ще се изчисли при транзакция.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Фискална година ** представлява финансова година. Всички счетоводни записвания и други големи движения се записват към ** Фискална година **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Месечно Разпределение ** ви помага да разпределите бюджета / целеви разходи през месеците, ако имате сезонност в бизнеса си.",
1 Loyalty Points = How much base currency?,1 Точки на лоялност = Колко базова валута?,
1 hr,1 час,
2 Yearly,2 Годишно,
30 mins,30 минути,
6 hrs,6 часа,
"A Product or a Service that is bought, sold or kept in stock.","Продукт или Услуга, която се купува, продава, или се съхраняват на склад.",
A condition for a Shipping Rule,Условие за Правило за Доставка,
A logical Warehouse against which stock entries are made.,"Логически Склад, за който са направени стоковите разписки.",
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Трето лице дистрибутор / дилър / комисионер / афилиат / търговец, който продава на фирми продукти срещу комисионна.",
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC срок на годност,
API,API,
API Endpoint,API Endpoint,
API Key,API Key,
Abbr,Съкращение,
Abbreviation,Абревиатура,
Academics User,Потребители Академици,
Accepted,Приет,
Accepted Qty,Приема Количество,
Accepted Quantity,Прието Количество,
Accepted Warehouse,Приет Склад,
Access Token,Токен за достъп,
Account,Сметка,
Account Balance,Баланс на Сметка,
Account Currency,Валута на сметката,
Account Details,Детайли на сметка,
Account Head,Главна Сметка,
Account Manager,Акаунт мениджър,
Account Name,Име на Сметка,
Account Number,Номер на сметка,
Account Paid From,Сметка за плащане от,
Account Paid To,Сметка за плащане към,
Account Subtype,Подтип на профила,
Account Type,Тип Сметка,
Account for Change Amount,Сметка за ресто,
Accounting,Счетоводство,
Accounting Details,Счетоводство Детайли,
Accounting Dimension,Счетоводно измерение,
Accounting Dimension Detail,Подробности за счетоводното измерение,
Accounting Dimensions,Счетоводни измерения,
Accounting Dimensions ,Счетоводни размери,
Accounting Entries,Счетоводни записи,
Accounting Period,Отчетен период,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Счетоводните записи са замразени до тази дата. Никой не може да създава или променя записи освен потребители с посочената по-долу роля,
Accounts,сметки,
Accounts Frozen Till Date,"Сметки, замразени до датата",
Accounts Manager,Роля Мениджър на 'Сметки',
Accounts Payable,Задължения,
Accounts Payable Summary,Задължения Резюме,
Accounts Receivable,Вземания,
Accounts Receivable Credit Account,Кредитна сметка за вземане на сметки,
Accounts Receivable Discounted Account,Дисконтирана сметка за вземане на сметки,
Accounts Receivable Summary,Вземания Резюме,
Accounts Receivable Unpaid Account,Неплатена сметка на вземанията,
Accounts Settings,Настройки на Сметки,
Accounts User,Роля Потребител на 'Сметки',
Accumulated Depreciation,Натрупани амортизации,
Accumulated Depreciation Account,Сметка за Натрупана амортизация,
Accumulated Depreciation Amount,Сума на Натрупана Амортизация,
Acquisition Date,Дата на придобиване,
Action,Действие,
Action If Quality Inspection Is Not Submitted,"Действие, ако не е представена проверка на качеството",
Action if Accumulated Monthly Budget Exceeded on Actual,"Действие, ако натрупаният месечен бюджет надхвърли действителния",
Action if Accumulated Monthly Budget Exceeded on MR,"Действие, ако натрупаният месечен бюджет е надхвърлен на МР",
Action if Accumulated Monthly Budget Exceeded on PO,"Действие, ако натрупаният месечен бюджет е превишен в PO",
