%  Delivered,% বিতরণ করা হয়েছে,
% Amount Billed,% পরিমাণ চালান করা হয়েছে,
% Billed,% চালান করা হয়েছে,
% Complete Method,% সম্পূর্ণ পদ্ধতি,
% Completed,% সম্পন্ন হয়েছে,
% Installed,% ইনস্টল করা হয়েছে,
% Ordered,% আদেশ,
% Progress,% অগ্রগতি,
% Received,% গৃহীত,
% of materials billed against this Sales Order,উপকরণ% এই বিক্রয় আদেশের বিরুদ্ধে বিল,
% of materials delivered against this Sales Order,উপকরণ% এই বিক্রয় আদেশের বিরুদ্ধে বিতরণ,
(Hour Rate / 60) * Actual Operation Time,(ঘন্টা হার / ৬০) * প্রকৃত অপারেশন টাইম,
(including),(সহ),
* Will be calculated in the transaction.,* লেনদেনে গণনা করা হবে.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** অর্থবছরের ** একটি অর্থবছরে প্রতিনিধিত্ব করে. সব হিসাব ভুক্তি এবং অন্যান্য প্রধান লেনদেন ** ** অর্থবছরের বিরুদ্ধে ট্র্যাক করা হয়.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** মাসিক বিতরণ ** আপনি যদি আপনার ব্যবসার মধ্যে ঋতু আছে আপনি মাস জুড়ে বাজেট / উদ্দিষ্ট বিতরণ করতে সাহায্য করে.,
1 Loyalty Points = How much base currency?,1 আনুগত্য পয়েন্ট = কত বেস মুদ্রা?,
1 hr,1 ঘন্টা,
2 Yearly,2 বার্ষিক,
30 mins,30 মিনিট,
6 hrs,6 ঘন্টা,
"A Product or a Service that is bought, sold or kept in stock.","একটি পণ্য বা, কেনা বিক্রি বা মজুত রাখা হয় যে একটি সেবা.",
A condition for a Shipping Rule,একটি শিপিং শাসনের জন্য একটি শর্ত,
A logical Warehouse against which stock entries are made.,শেয়ার এন্ট্রি তৈরি করা হয় যার বিরুদ্ধে একটি লজিক্যাল ওয়্যারহাউস.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,একটি কমিশন জন্য কোম্পানি পণ্য বিক্রি একটি তৃতীয় পক্ষের যারা পরিবেশক / ব্যাপারী / কমিশন এজেন্ট / অধিভুক্ত / রিসেলার.,
A+,একটি A,
A-,এ-,
A4,A4,
AB+,এবি + +,
AB-,এবি নিগেটিভ,
ACC-AML-.YYYY.-,দুদক-এএমএল-.YYYY.-,
ACC-ASR-.YYYY.-,দুদক-আসর-.YYYY.-,
ACC-ASS-.YYYY.-,দুদক-গাধা- .YYYY.-,
ACC-BTN-.YYYY.-,দুদক-বিটিএন-.YYYY.-,
