%  Delivered,Isporučeno%,
% Amount Billed,% Naplaćenog iznosa,
% Billed,Naplaćeno%,
% Complete Method,% Complete Način,
% Completed,Završen%,
% Installed,Instalirano%,
% Ordered,% Poruceno,
% Progress,% Napredak,
% Received,% Primljeno,
% of materials billed against this Sales Order,% Materijala naplaćeno protiv ovog prodajnog naloga,
% of materials delivered against this Sales Order,% Materijala dostavljenih od ovog prodajnog naloga,
(Hour Rate / 60) * Actual Operation Time,(Satnica / 60) * Puna radno vrijeme,
(including),(uključujući),
* Will be calculated in the transaction.,* Hoće li biti izračunata u transakciji.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Fiskalna godina ** predstavlja finansijske godine. Svi računovodstvene stavke i drugih većih transakcija se prate protiv ** Fiskalna godina **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Mjesečna distribucija ** će Vam pomoći distribuirati budžeta / Target preko mjeseca ako imate sezonalnost u vaše poslovanje.,
1 Loyalty Points = How much base currency?,1 Loyalty Bodovi = Kolika osnovna valuta?,
1 hr,1 h,
2 Yearly,2 Yearly,
30 mins,30 min,
6 hrs,6 sati,
"A Product or a Service that is bought, sold or kept in stock.","Proizvoda ili usluge koja je kupio, prodati ili držati u čoporu.",
A condition for a Shipping Rule,A uvjet za Shipping Pravilo,
A logical Warehouse against which stock entries are made.,A logično Skladište protiv kojih su napravljeni unosa zaliha.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,A treće strane distributera / trgovca / komisije agent / affiliate / prodavače koji prodaje kompanije proizvoda za proviziju.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.GGGG.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.GGGG.-,
ACC-SH-.YYYY.-,ACC-SH-YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.GGGG.-,
AMC Expiry Date,AMC Datum isteka,
API,API,
API Endpoint,API Endpoint,
API Key,API Key,
Abbr,Skraćeni naziv,
Abbreviation,Skraćenica,
Academics User,akademici korisnika,
Accepted,Prihvaćeno,
Accepted Qty,Prihvaćeno Količina,
Accepted Quantity,Prihvaćena količina,
Accepted Warehouse,Prihvaćeno skladište,
Access Token,Access Token,
Account,Konto,
Account Balance,Bilans konta,
Account Currency,Valuta račun,
Account Details,Detalji konta,
Account Head,Zaglavlje konta,
Account Manager,Menadžer računa,
Account Name,Naziv konta,
Account Number,Broj računa,
Account Paid From,Računa isplaćuju iz,
Account Paid To,Račun Paid To,
Account Subtype,Podtip računa,
Account Type,Vrsta konta,
Account for Change Amount,Nalog za promjene Iznos,
Accounting,Računovodstvo,
