%  Delivered,% Lliurat,
% Amount Billed,% Import Facturat,
% Billed,% Facturat,
% Complete Method,Mètode complet%,
% Completed,% Completat,
% Installed,% Instal·lat,
% Ordered,Demanem%,
% Progress,% Progrés,
% Received,% Rebut,
% of materials billed against this Sales Order,% de materials facturats d'aquesta Ordre de Venda,
% of materials delivered against this Sales Order,% de materials lliurats d'aquesta Ordre de Venda,
(Hour Rate / 60) * Actual Operation Time,(Hora Tarifa / 60) * Temps real de l&#39;Operació,
(including),(incloent-hi),
* Will be calculated in the transaction.,* Es calcularà en la transacció.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Any Fiscal ** representa un exercici financer. Els assentaments comptables i altres transaccions importants es segueixen contra ** Any Fiscal **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** ** Distribució mensual ajuda a distribuir el pressupost / Target a través de mesos si té l&#39;estacionalitat del seu negoci.,
1 Loyalty Points = How much base currency?,1 Punts de fidelització = Quant moneda base?,
1 hr,1 hora,
2 Yearly,2 Anual,
30 mins,30 minuts,
6 hrs,6 hores,
"A Product or a Service that is bought, sold or kept in stock.","Un producte o un servei que es compra, es ven o es manté en estoc.",
A condition for a Shipping Rule,Una condició per a una regla d'enviament,
A logical Warehouse against which stock entries are made.,Un Magatzem lògic contra el qual es fan les entrades en existències.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Un distribuïdor de tercers / distribuïdor / comissió de l'agent / de la filial / distribuïdor que ven els productes de les empreses d'una comissió.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY -YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV -YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.AAAA.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.AAAA.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV -YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.AAAA.-,
AMC Expiry Date,AMC Data de caducitat,
API,API,
API Endpoint,Endpoint API,
API Key,API Key,
Abbr,Abbr,
Abbreviation,Abreviatura,
Academics User,acadèmics usuari,
Accepted,Acceptat,
Accepted Qty,Quantitat acceptada,
Accepted Quantity,Quantitat Acceptada,
Accepted Warehouse,Magatzem Acceptat,
Access Token,Token d'accés,
Account,Compte,
Account Balance,Saldo del compte,
Account Currency,Compte moneda,
Account Details,Detalls del compte,
Account Head,Cap Compte,
Account Manager,Gestor de comptes,
Account Name,Nom del Compte,
Account Number,Número de compte,
