%  Delivered,% Dodáno,
% Amount Billed,% Fakturované částky,
% Billed,% Fakturováno,
% Complete Method,Dokončeno% Method,
% Completed,% Dokončeno,
% Installed,% Instalováno,
% Ordered,% objednáno,
% Progress,% Progress,
% Received,% Přijaté,
% of materials billed against this Sales Order,% materiálů fakturovaných proti této prodejní obědnávce,
% of materials delivered against this Sales Order,% materiálů doručeno proti této prodejní objednávce,
(Hour Rate / 60) * Actual Operation Time,(Hodinová sazba / 60) * Skutečný čas operace,
(including),(včetně),
* Will be calculated in the transaction.,* Bude se vypočítá v transakci.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Fiskální rok ** představuje finanční rok. Veškeré účetní záznamy a další významné transakce jsou sledovány proti ** fiskální rok **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Měsíční Distribuce ** umožňuje distribuovat Rozpočet / Target celé měsíce, pokud máte sezónnosti ve vaší firmě.",
1 Loyalty Points = How much base currency?,1 Věrnostní body = Kolik základní měny?,
1 hr,1 hod,
2 Yearly,2 Každoročně,
30 mins,30 minut,
6 hrs,6 hodin,
"A Product or a Service that is bought, sold or kept in stock.","Produkt nebo služba, která se Nakupuje, Prodává nebo Skladuje.",
A condition for a Shipping Rule,Podmínka pro pravidla dopravy,
A logical Warehouse against which stock entries are made.,"Logická Warehouse na položky, které mohou být vyrobeny.",
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Distributor / dealer / jednatel / partner / prodejce, který prodává produkty společnosti za provizi.",
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.RRRR.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.RRRR.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.RRRR.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.RRRR.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Datum vypršení platnosti,
API,API,
API Endpoint,Koncový bod rozhraní API,
API Key,klíč API,
Abbr,Zkr,
Abbreviation,Zkratka,
Academics User,akademici Uživatel,
Accepted,Přijato,
Accepted Qty,Přijato Množství,
Accepted Quantity,Schválené Množství,
Accepted Warehouse,Schválený sklad,
Access Token,Přístupový Token,
Account,Účet,
Account Balance,Zůstatek na účtu,
Account Currency,Měna účtu,
Account Details,Údaje o účtu,
Account Head,Účet Head,
Account Manager,Správce účtu,
Account Name,Název účtu,
Account Number,Číslo účtu,
Account Paid From,Účet jsou placeni z prostředků,
Account Paid To,Účet Věnována,
Account Subtype,Podtyp účtu,
Account Type,Typ účtu,
Account for Change Amount,Účet pro změnu Částka,
Accounting,Účetnictví,
Accounting Details,Účetní detaily,
Accounting Dimension,Účetní dimenze,
Accounting Dimension Detail,Detail účetní dimenze,
Accounting Dimensions,Účetní dimenze,
Accounting Dimensions ,Účetní dimenze,
Accounting Entries,Účetní záznamy,
Accounting Period,Účetní období,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Účetní položky jsou až do tohoto data zmrazeny. Nikdo nemůže vytvářet ani upravovat položky kromě uživatelů s rolí uvedenou níže,
Accounts,Účty,
Accounts Frozen Till Date,Účty zmrazené do data,
Accounts Manager,Accounts Manager,
Accounts Payable,Účty za úplatu,
Accounts Payable Summary,Splatné účty Shrnutí,
Accounts Receivable,Pohledávky,
Accounts Receivable Credit Account,Kreditní účet účtů pohledávek,
Accounts Receivable Discounted Account,Účty pohledávek se slevou,
Accounts Receivable Summary,Pohledávky Shrnutí,
Accounts Receivable Unpaid Account,Účet nesplacených účtů,
Accounts Settings,Nastavení účtu,
Accounts User,Uživatel Účtů,
Accumulated Depreciation,oprávky,
Accumulated Depreciation Account,Účet oprávek,
Accumulated Depreciation Amount,Oprávky Částka,
Acquisition Date,akvizice Datum,
Action,Akce,
Action If Quality Inspection Is Not Submitted,"Akce, pokud není předložena kontrola kvality",
Action if Accumulated Monthly Budget Exceeded on Actual,Akce při překročení akumulovaného měsíčního rozpočtu na skutečné,
Action if Accumulated Monthly Budget Exceeded on MR,Akce při překročení akumulovaného měsíčního rozpočtu na MR,
Action if Accumulated Monthly Budget Exceeded on PO,Akce při překročení akumulovaného měsíčního rozpočtu v PO,
Action if Annual Budget Exceeded on Actual,"Akce, pokud je roční rozpočet překročen na skutečné",
Action if Annual Budget Exceeded on MR,Opatření v případě překročení ročního rozpočtu na MR,
Action if Annual Budget Exceeded on PO,Opatření v případě překročení ročního rozpočtu na OP,
Actions,Akce,
Actions performed,Akce byly provedeny,
Active,Aktivní,
Activities,Aktivity,
Activity Cost,Náklady Aktivita,
Activity Type,Druh činnosti,
Actual,Aktuální,
Actual Batch Quantity,Skutečné množství šarže,
Actual Date,Skutečné datum,
Actual End Date,Skutečné datum ukončení,
Actual End Date (via Timesheet),Skutečné datum ukončení (přes Time Sheet),
Actual End Time,Aktuální End Time,
Actual Operating Cost,Skutečné provozní náklady,
Actual Operation Time,Aktuální Provozní doba,
Actual Qty,Skutečné množství,
Actual Qty (at source/target),Skutečné množství (u zdroje/cíle),
Actual Start Date,Skutečné datum zahájení,
Actual Start Date (via Timesheet),Skutečné datum zahájení (přes Time Sheet),
Actual Start Time,Skutečný čas začátku,
Actual Time and Cost,Skutečný Čas a Náklady,
Actual Time in Hours (via Timesheet),Skutečná doba (v hodinách),
Add,Přidat,
Add Quote,Přidat nabídku,
Add Weekly Holidays,Přidat týdenní prázdniny,
Add or Deduct,Přidat nebo Odečíst,
Add to Holidays,Přidat do svátků,
Add to Transit,Přidat do veřejné dopravy,
Additional Cost,Dodatečné náklady,
Additional Costs,Dodatečné náklady,
Additional DIscount Amount,Dodatečná sleva Částka,
Additional DIscount Percentage,Další slevy Procento,
Additional Details,další detaily,
Additional Discount,Další slevy,
Additional Discount Amount,Dodatečná částka slevy,
Additional Discount Amount (Company Currency),Dodatečná sleva Částka (Měna Company),
Additional Discount Percentage,Další procento slevy,
Additional Information,dodatečné informace,
Additional Notes,Další poznámky,
Additional Operating Cost,Další provozní náklady,
Additional information regarding the customer.,Další informace týkající se zákazníka.,
Address,Adresa,
Address & Contact,Adresa a kontakt,
Address & Contacts,Adresa a kontakty,
Address Desc,Popis adresy,
Address HTML,Adresa HTML,
Address Line 1,Adresní řádek 1,
Address Line 2,Adresní řádek 2,
Address Name,adresa Jméno,
Address and Contact,Adresa a Kontakt,
Address and Contacts,Adresa a kontakty,
Address used to determine Tax Category in transactions,Adresa použitá k určení daňové kategorie v transakcích,
Addresses,Adresy,
Administrator,Správce,
Advance Account,Advance účet,
Advance Amount,Záloha ve výši,
Advance Paid,Vyplacené zálohy,
Advance Payments,Zálohové platby,
Advance amount,Záloha ve výši,
Advanced Settings,Pokročilé nastavení,
Advances,Zálohy,
Against,Proti,
Against Account,Proti účet,
Against Blanket Order,Proti paušální objednávce,
Against Delivery Note Item,Proti položce dodacího listu,
Against Docname,Proti Docname,
Against Doctype,Proti DOCTYPE,
Against Document Detail No,Proti Detail dokumentu č,
Against Document No,Proti dokumentu č,
