%  Delivered,% Leveres,
% Amount Billed,% Beløb Billed,
% Billed,% Billed,
% Complete Method,%Komplet metode,
% Completed,% afsluttet,
% Installed,% Installeret,
% Ordered,% Bestilt,
% Progress,% fremskridt,
% Received,% Modtaget,
% of materials billed against this Sales Order,% Af materialer faktureret mod denne Sales Order,
% of materials delivered against this Sales Order,% Af materialer leveret mod denne Sales Order,
(Hour Rate / 60) * Actual Operation Time,(Timesats / 60) * TidsforbrugIMinutter,
(including),(inklusive),
* Will be calculated in the transaction.,* Vil blive beregnet i transaktionen.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Regnskabsår ** repræsenterer et regnskabsår. Alle regnskabsposteringer og andre større transaktioner spores mod ** regnskabsår **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Månedlig Distribution ** hjælper dig distribuere Budget / Mål på tværs af måneder, hvis du har sæsonudsving i din virksomhed.",
1 Loyalty Points = How much base currency?,1 Loyalitetspoint = Hvor meget base valuta?,
1 hr,1 time,
2 Yearly,2 årligt,
30 mins,30 minutter,
6 hrs,6 timer,
"A Product or a Service that is bought, sold or kept in stock.","En vare eller tjenesteydelse, der købes, sælges eller opbevares på lager.",
A condition for a Shipping Rule,Betingelse for en forsendelsesregel,
A logical Warehouse against which stock entries are made.,Et logisk lager hvor lagerændringer foretages.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"En distributør, forhandler, sælger eller butik, der sælger firmaets varer og tjenesteydelser mod en provision.",
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Udløbsdato,
API,API,
API Endpoint,API Endpoint,
API Key,API nøgle,
Abbr,Forkortelse,
Abbreviation,Forkortelse,
Academics User,akademikere Bruger,
Accepted,Accepteret,
Accepted Qty,Accepteret antal,
Accepted Quantity,Mængde,
Accepted Warehouse,Accepteret lager,
Access Token,Adgangs token,
Account,Konto,
Account Balance,Konto saldo,
Account Currency,Konto Valuta,
Account Details,konto detaljer,
Account Head,Konto hoved,
Account Manager,Kundechef,
Account Name,Kontonavn,
Account Number,Kontonummer,
Account Paid From,Konto Betalt Fra,
Account Paid To,Konto Betalt Til,
Account Subtype,Kontotype,
Account Type,Kontotype,
Account for Change Amount,Konto for returbeløb,
Accounting,Regnskab,
Accounting Details,Regnskabsdetaljer,
Accounting Dimension,Regnskabsdimension,
Accounting Dimension Detail,Regnskabsdimension Detalje,
Accounting Dimensions,Regnskabsmæssige dimensioner,
Accounting Dimensions ,Regnskabsdimensioner,
Accounting Entries,Bogføringsposter,
Accounting Period,Regnskabsperiode,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Regnskabsposter er frosset indtil denne dato. Ingen kan oprette eller ændre poster undtagen brugere med rollen angivet nedenfor,
Accounts,Regnskab,
Accounts Frozen Till Date,Konti frossen till dato,
Accounts Manager,Regnskabschef,
Accounts Payable,Kreditor,
Accounts Payable Summary,Kreditorer Resumé,
Accounts Receivable,Tilgodehavender,
Accounts Receivable Credit Account,Tilgodehavende kreditkonto,
Accounts Receivable Discounted Account,Tilgodehavende tilgodehavende rabatkonto,
Accounts Receivable Summary,Debitor Resumé,
Accounts Receivable Unpaid Account,Kontoer Tilgodehavende Ubetalt konto,
Accounts Settings,Kontoindstillinger,
Accounts User,Regnskabsbruger,
Accumulated Depreciation,Akkumulerede afskrivninger,
Accumulated Depreciation Account,Akkumuleret Afskrivninger konto,
Accumulated Depreciation Amount,Akkumuleret Afskrivninger Beløb,
Acquisition Date,Erhvervelsesdato,
Action,Handling,
Action If Quality Inspection Is Not Submitted,"Handling, hvis der ikke indsendes kvalitetsinspektion",
Action if Accumulated Monthly Budget Exceeded on Actual,Handling hvis akkumuleret månedlig budget oversteg faktisk,
Action if Accumulated Monthly Budget Exceeded on MR,Handling hvis akkumuleret månedlig budget oversteg MR,
Action if Accumulated Monthly Budget Exceeded on PO,Handling hvis akkumuleret månedlig budget oversteg PO,
Action if Annual Budget Exceeded on Actual,Handling hvis årligt budget oversteg på faktisk,
