%  Delivered,% Entregado,
% Amount Billed,% importe facturado,
% Billed,% Facturado,
% Complete Method,% Método completado,
% Completed,% Completado,
% Installed,% Instalado,
% Ordered,% Ordenado,
% Progress,% Progreso,
% Received,% Recibido,
% of materials billed against this Sales Order,% de materiales facturados contra esta orden de venta,
% of materials delivered against this Sales Order,% de materiales entregados para esta orden de venta,
(Hour Rate / 60) * Actual Operation Time,(Tarifa por hora / 60) * Tiempo real de la operación,
(including),(incluso),
* Will be calculated in the transaction.,* Será calculado en la transacción.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Año fiscal** representa un ejercicio financiero. Todos los asientos contables y demás transacciones importantes son registradas contra el **año fiscal**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** ** Distribución mensual ayuda a distribuir el presupuesto / Target a través de meses si tiene la estacionalidad de su negocio.,
1 Loyalty Points = How much base currency?,1 Puntos de lealtad = ¿Cuánta moneda base?,
1 hr,1 hora,
2 Yearly,2 años,
30 mins,30 minutos,
6 hrs,6 horas,
"A Product or a Service that is bought, sold or kept in stock.","Un producto o un servicio que se compra, se vende o se mantiene en stock.",
A condition for a Shipping Rule,Una condición para una regla de envío,
A logical Warehouse against which stock entries are made.,Un Almacén lógico contra el que se crean las entradas de inventario,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Un distribuidor / proveedor / comisionista / afiliado / revendedor que vende productos de empresas a cambio de una comisión.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
