%  Delivered,% Tarnitakse,
% Amount Billed,% Arve summa,
% Billed,% Maksustatakse,
% Complete Method,% Complete meetod,
% Completed,% Valminud,
% Installed,% Paigaldatud,
% Ordered,% Tellitud,
% Progress,% Progress,
% Received,% Vastatud,
% of materials billed against this Sales Order,% Materjalidest arve vastu Sales Order,
% of materials delivered against this Sales Order,% Materjalidest tarnitud vastu Sales Order,
(Hour Rate / 60) * Actual Operation Time,(Tunnihind / 60) * Tegelik tööaeg,
(including),(kaasa arvatud),
* Will be calculated in the transaction.,* Kas arvestatakse tehingu.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Fiscal Year ** esindab majandusaastal. Kõik raamatupidamiskanded ja teiste suuremate tehingute jälgitakse vastu ** Fiscal Year **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Kuu Distribution ** aitab levitada Eelarve / Target üle kuu, kui teil on sesoonsus firma.",
1 Loyalty Points = How much base currency?,1 lojaalsuspunkti = kui palju baasvaluutat?,
1 hr,1 tund,
2 Yearly,2 Aastat,
30 mins,30 minutit,
6 hrs,6 tundi,
"A Product or a Service that is bought, sold or kept in stock.","Toode või teenus, mida osta, müüa või hoida laos.",
A condition for a Shipping Rule,Tingimuseks laevandus reegel,
A logical Warehouse against which stock entries are made.,Loogiline Warehouse mille vastu laos tehakse kandeid.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Kolmas isik levitaja / edasimüüja / vahendaja / partner / edasimüüja, kes müüb ettevõtted tooted vahendustasu.",
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.AAAA.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-YYYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-YYYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Aegumisaja,
API,API,
API Endpoint,API lõpp-punkt,
API Key,API võti,
Abbr,Lühend,
Abbreviation,Lühend,
Academics User,akadeemikud Kasutaja,
Accepted,Lubatud,
Accepted Qty,Aktsepteeritud kogus,
Accepted Quantity,Aktsepteeritud Kogus,
Accepted Warehouse,Aktsepteeritud Warehouse,
Access Token,Access Token,
Account,Konto,
Account Balance,Kontojääk,
Account Currency,Konto Valuuta,
Account Details,Konto üksikasjad,
Account Head,Konto Head,
Account Manager,Kontohaldur,
Account Name,Kasutaja nimi,
Account Number,Konto number,
Account Paid From,Konto makstud,
Account Paid To,Konto Paide,
Account Subtype,Konto alamtüüp,
Account Type,Konto tüüp,
Account for Change Amount,Konto muutuste summa,
Accounting,Raamatupidamine,
Accounting Details,Raamatupidamine Üksikasjad,
Accounting Dimension,Raamatupidamise mõõde,
Accounting Dimension Detail,Raamatupidamismõõtme üksikasjad,
Accounting Dimensions,Raamatupidamise mõõtmed,
Accounting Dimensions ,Raamatupidamise mõõtmed,
Accounting Entries,Raamatupidamise kanded,
Accounting Period,Arvestusperiood,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"Raamatupidamiskirjed on selle kuupäevani külmutatud. Keegi ei saa kirjeid luua ega muuta, välja arvatud allpool määratletud rolliga kasutajad",
Accounts,Kontod,
Accounts Frozen Till Date,Kontod külmutatud kuni kuupäevani,
Accounts Manager,Accounts Manager,
Accounts Payable,Tasumata arved,
Accounts Payable Summary,Tasumata arved kokkuvõte,
Accounts Receivable,Arved,
Accounts Receivable Credit Account,Saadaolevad krediidikontod,
Accounts Receivable Discounted Account,Arved saadaolev diskonteeritud konto,
Accounts Receivable Summary,Arved kokkuvõte,
Accounts Receivable Unpaid Account,Arved saadaolevad tasumata konto,
Accounts Settings,Kontod Seaded,
Accounts User,Kontod Kasutaja,
Accumulated Depreciation,akumuleeritud kulum,
Accumulated Depreciation Account,Akumuleeritud kulum konto,
Accumulated Depreciation Amount,Akumuleeritud kulum summa,
Acquisition Date,omandamise kuupäevast,
Action,Action,
Action If Quality Inspection Is Not Submitted,"Toiming, kui kvaliteedikontrolli ei esitata",
Action if Accumulated Monthly Budget Exceeded on Actual,"Tegevus, kui akumuleeritud kuueelarve ületati tegelikust",
Action if Accumulated Monthly Budget Exceeded on MR,"Toiming, kui kogunenud kuueelarve ületas MR-i",
Action if Accumulated Monthly Budget Exceeded on PO,"Tegevus, kui kogunenud kuueelarve ületatakse PO-st",
Action if Annual Budget Exceeded on Actual,"Tegevus, kui aastaeelarve ületati tegelikust",
Action if Annual Budget Exceeded on MR,"Tegevus, kui aastaeelarve ületati mr",
Action if Annual Budget Exceeded on PO,"Tegevus, kui aastaeelarve ületab PO",
Actions,Actions,
Actions performed,Sooritatud toimingud,
Active,Aktiivne,
Activities,Tegevused,
Activity Cost,Aktiivsus Cost,
Activity Type,Tegevuse liik,
Actual,Tegelik,
Actual Batch Quantity,Partii tegelik kogus,
Actual Date,Tegelik kuupäev,
Actual End Date,Tegelik End Date,
Actual End Date (via Timesheet),Tegelik End Date (via Time Sheet),
Actual End Time,Tegelik End Time,
Actual Operating Cost,Tegelik töökulud,
Actual Operation Time,Tegelik tööaeg,
Actual Qty,Tegelik kogus,
Actual Qty (at source/target),Tegelik Kogus (tekkekohas / target),
Actual Start Date,Tegelik Start Date,
Actual Start Date (via Timesheet),Tegelik Start Date (via Time Sheet),
Actual Start Time,Tegelik Start Time,
Actual Time and Cost,Tegelik aeg ja maksumus,
Actual Time in Hours (via Timesheet),Tegelik aeg (tundides),
Add,Lisama,
Add Quote,Lisa Quote,
Add Weekly Holidays,Lisage iganädalasi pühi,
Add or Deduct,Lisa või Lahutada,
Add to Holidays,Lisa pühadele,
Add to Transit,Lisage ühistranspordile,
Additional Cost,Lisakulu,
Additional Costs,Lisakulud,
Additional DIscount Amount,Täiendav Allahindluse summa,
Additional DIscount Percentage,Täiendav allahindlusprotsendi,
Additional Details,Täiendavad detailid,
Additional Discount,Täiendav Soodus,
Additional Discount Amount,Täiendav allahindluse summa,
Additional Discount Amount (Company Currency),Täiendav Allahindluse summa (firma Valuuta),
Additional Discount Percentage,Täiendav allahindluse protsent,
Additional Information,Lisainformatsioon,
Additional Notes,lisamärkmed,
Additional Operating Cost,Täiendav töökulud,
Additional information regarding the customer.,Lisainfot kliendile.,
Address,Aadress,
Address & Contact,Aadress ja Kontakt,
Address & Contacts,Aadress ja Kontakt,
Address Desc,Aadress otsimiseks,
Address HTML,Aadress HTML,
Address Line 1,Aadress Line 1,
Address Line 2,Aadress Line 2,
Address Name,aadress Nimi,
Address and Contact,Aadress ja Kontakt,
Address and Contacts,Aadress ja kontaktid,
Address used to determine Tax Category in transactions,"Aadress, mida kasutatakse tehingute maksukategooria määramiseks",
Addresses,Aadressid,
Administrator,Administraator,
Advance Account,Ettemaksekonto,
Advance Amount,Advance summa,
Advance Paid,Advance Paide,
Advance Payments,Ettemaksed,
Advance amount,Advance summa,
Advanced Settings,Täpsemad seaded,
Advances,Edasiminek,
Against,Vastu,
Against Account,Vastu konto,
Against Blanket Order,Tekkide tellimuse vastu,
Against Delivery Note Item,Saatekirja kauba vastu,
Against Docname,Vastu Docname,
Against Doctype,Vastu DOCTYPE,
Against Document Detail No,Vastu Dokumendi Detail Ei,
Against Document No,Dokumentide vastu pole,
Against Expense Account,Vastu ärikohtumisteks,
Against Income Account,Sissetuleku konto,
Against Sales Invoice,Vastu müügiarve,
Against Sales Invoice Item,Vastu müügiarve toode,
Against Sales Order,Vastu Sales Order,
Against Sales Order Item,Vastu Sales Order toode,
Against Stock Entry,Varude sisenemise vastu,
Against Voucher,Vastu Voucher,
Against Voucher Type,Vastu Voucher Type,
Ageing Based On,Vananemine Põhineb,
Agenda,Päevakord,
Agent Details,Agenti üksikasjad,
Agents,Agentid,
Agriculture Manager,Põllumajanduse juht,
Agriculture User,Põllumajanduslik kasutaja,
All,Kõik,
All Contact,Kõik Contact,
All Customer Contact,Kõik Kliendi Kontakt,
All Employee (Active),Kõik Töötaja (Active),
All Lead (Open),Kõik Plii (Open),
All Sales Partner Contact,Kõik Sales Partner Kontakt,
All Sales Person,Kõik Sales Person,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Kõik müügitehingud saab kodeeritud vastu mitu ** Sales Isikud ** nii et saate määrata ja jälgida eesmärgid.,
All Supplier Contact,Kõik Tarnija Kontakt,
Allocate Advances Automatically (FIFO),Eraldage ettemaksed automaatselt (FIFO),
Allocate Payment Based On Payment Terms,Eraldage makse maksetingimuste alusel,
Allocated,paigutatud,
Allocated Amount,Eraldatud summa,
Allocated amount,Eraldatud summa,
Allocation,Jaotamine,
Allow,Lubama,
Allow Account Creation Against Child Company,Luba lasteasutuste konto loomine,
Allow Alternative Item,Luba alternatiivne üksus,
Allow In Returns,Luba vastutasuks,
Allow Item To Be Added Multiple Times in a Transaction,Lubage üksust tehingus mitu korda lisada,
Allow Material Transfer from Delivery Note to Sales Invoice,Luba materjali üleandmine saatelehelt müügiarvele,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,Luba materjaliülekanne ostukviitungilt ostuarvele,
Allow Multiple Sales Orders Against a Customer's Purchase Order,Luba mitu müügitellimust kliendi ostutellimuse vastu,
Allow Negative Stock,Laske Negatiivne Stock,
Allow Overtime,Laske Ületunnitöö,
Allow Production on Holidays,Laske Production Holidays,
Allow Purchase Invoice Creation Without Purchase Order,Luba ostuarve loomine ilma ostutellimuseta,
Allow Purchase Invoice Creation Without Purchase Receipt,Luba ostuarve loomine ilma ostutšekita,
Allow Rename Attribute Value,Luba ümbernimetamise atribuudi väärtus,
Allow Resetting Service Level Agreement,Luba teenuse taseme lepingu lähtestamine,
Allow Sales Invoice Creation Without Delivery Note,Luba müügiarve loomine ilma saateleheta,
Allow Sales Invoice Creation Without Sales Order,Luba müügiarve loomine ilma müügitellimuseta,
Allow Stale Exchange Rates,Lubage vahetuskursi halvenemine,
Allow User to Edit Price List Rate in Transactions,Luba kasutajal muuta tehingute hinnakirja määra,
Allow Zero Valuation Rate,Luba Zero Hindamine Rate,
Allowed,Lubatud,
Allowed To Transact With,Lubatud teha tehinguid,
Alternative Item Code,Alternatiivne tootekood,
Alternative Item Name,Alternatiivse nimetuse nimi,
Amended From,Muudetud From,
Amount,Summa,
Amount (Company Currency),Summa (firma Valuuta),
Amount Difference,summa vahe,
Amount In Figure,Summa joonis,
Amount in customer's currency,Summa kliendi valuuta,
Annual Expenses,Aastane kulu,
Annual Income,Aastane sissetulek,
Applicable Charges,Kohaldatavate tasudega,
Applicable For,Kohaldatav,
Applicable Holiday List,Rakendatav Holiday nimekiri,
Applicable Modules,Kohaldatavad moodulid,
Applicable To (Designation),Suhtes kohaldatava (määramine),
Applicable To (Employee),Suhtes kohaldatava (töötaja),
Applicable To (Role),Suhtes kohaldatava (Role),
Applicable To (User),Suhtes kohaldatava (Kasutaja),
Applicable for Countries,Rakendatav Riigid,
Applicable for Users,Kasutajatele kehtivad,
Applicable for external driver,Kohaldatakse väline draiver,
Applicable on Material Request,Kohaldatav materiaalse päringu korral,
Applicable on Purchase Order,Kohaldatav ostutellimusele,
Applicable on booking actual expenses,Kohaldatakse broneeringu tegelike kulude suhtes,
Application Settings,Rakenduse seaded,
Apply Additional Discount On,Rakendada täiendavaid soodustust,
Apply Discount On,Kanna soodustust,
Apply Discount on Discounted Rate,Rakenda soodushinnale allahindlust,
Apply Discount on Rate,Rakenda hinnasoodustust,
Apply Multiple Pricing Rules,Rakendage mitu hinnareeglit,
Apply On,Kandke,
Apply Rule On Brand,Rakenda reeglit brändi kohta,
Apply Rule On Item Code,Rakenda reeglit üksuse koodil,
Apply Rule On Item Group,Rakenda reegliüksuse rühma,
Apply Rule On Other,Rakenda reeglit muule,
Apply Tax Withholding Amount,Kohaldage maksu kinnipidamise summa,
Appointment,Ametisse nimetamine,
Appointment Booking Settings,Broneerimise seaded,
Appointment Booking Slots,Kohtumiste broneerimise teenindusajad,
Appointment Details,Kohtumise üksikasjad,
Appointment Duration (In Minutes),Ametisse nimetamise kestus (minutites),
Appointment With,Ametisse nimetamine,
Appraisal Template,Hinnang Mall,
Approvers,Heakskiitjad,
Approving Role (above authorized value),Kinnitamine roll (üle lubatud väärtuse),
Approving User  (above authorized value),Kinnitamine Kasutaja (üle lubatud väärtuse),
Area,Ala,
Area UOM,Piirkond UOM,
As per Stock UOM,Nagu iga Stock UOM,
Asset,Asset,
Asset Account,Varakonto,
Asset Category,Põhivarakategoori,
Asset Category Account,Põhivarakategoori konto,
Asset Category Name,Põhivarakategoori Nimi,
Asset Depreciation Cost Center,Vara amortisatsioonikulu Center,
Asset Depreciation Ledger,Varade amortisatsioon Ledger,
