%  Delivered,٪ تحویل شده,
% Amount Billed,٪ مبلغ صورتحساب,
% Billed,٪ صورتحساب شد,
% Complete Method,٪ روش کامل,
% Completed,٪ تکمیل شده,
% Installed,٪ نصب شد,
% Ordered,مرتب٪,
% Progress,٪ پیش رفتن,
% Received,٪ دریافتی,
% of materials billed against this Sales Order,درصد از مواد در برابر این سفارش فروش ثبت شده در صورتحساب,
% of materials delivered against this Sales Order,درصد از مواد در برابر این سفارش فروش تحویل,
(Hour Rate / 60) * Actual Operation Time,(یک ساعت یک نرخ / 60) * * * * واقعی زمان عمل,
(including),(شامل),
* Will be calculated in the transaction.,* * * * آیا می شود در معامله محاسبه می شود.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** ** سال مالی نشان دهنده یک سال مالی. تمام پست های حسابداری و دیگر معاملات عمده در برابر سال مالی ** ** ردیابی.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** ماهانه ** شما کمک می کند توزیع بودجه / هدف در سراسر ماه اگر شما فصلی در کسب و کار خود را.,
1 Loyalty Points = How much base currency?,1 امتیاز وفاداری = چه مقدار ارز پایه؟,
1 hr,1 ساعت,
2 Yearly,2 ساله,
30 mins,30 دقیقه,
6 hrs,6 ساعت,
"A Product or a Service that is bought, sold or kept in stock.",یک محصول یا یک سرویس است که خریداری شده، به فروش می رسد و یا نگه داشته در انبار.,
A condition for a Shipping Rule,یک شرط برای یک قانون ارسال کالا,
A logical Warehouse against which stock entries are made.,انبار منطقی که در برابر نوشته های سهام ساخته شده است.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,توزیع کننده شخص ثالث / فروشنده / نماینده کمیسیون / وابسته به / نمایندگی فروش که به فروش می رساند محصولات شرکت برای کمیسیون.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML- .YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR- .YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS- .YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY--,
ACC-JV-.YYYY.-,ACC-JV- .YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY- .YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV- .YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ- .YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH- .YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV- .YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC تاریخ انقضاء,
API,API,
API Endpoint,نقطه پایانی API,
API Key,کلید API,
Abbr,مخفف,
Abbreviation,مخفف,
Academics User,کاربر آکادمیک,
Accepted,پذیرفته,
Accepted Qty,Qty پذیرفته شده است,
Accepted Quantity,تعداد پذیرفته شده,
Accepted Warehouse,انبار پذیرفته شده,
Access Token,نشانه دسترسی,
Account,حساب,
Account Balance,موجودی حساب,
Account Currency,حساب ارزی,
Account Details,جزئیات حساب,
Account Head,سر حساب,
Account Manager,مدیر حساب,
Account Name,نام حساب,
Account Number,شماره حساب,
Account Paid From,حساب پرداخت از,
Account Paid To,حساب پرداخت به,
Account Subtype,زیرگروه حساب,
Account Type,نوع حساب,
Account for Change Amount,حساب کاربری برای تغییر مقدار,
Accounting,حسابداری,
Accounting Details,جزئیات حسابداری,
Accounting Dimension,بعد حسابداری,
Accounting Dimension Detail,جزئیات بعد حسابداری,
Accounting Dimensions,ابعاد حسابداری,
Accounting Dimensions ,ابعاد حسابداری,
Accounting Entries,ثبت های حسابداری,
Accounting Period,دوره حسابرسی,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,ورودی های حسابداری تا این تاریخ مسدود می شوند. به جز کاربران با نقشی که در زیر مشخص شده است ، هیچ کس نمی تواند ورودی ها را ایجاد یا اصلاح کند,
Accounts,حساب ها,
Accounts Frozen Till Date,حساب ها تا تاریخ منجمد,
Accounts Manager,مدیر حساب ها,
Accounts Payable,حساب های پرداختنی,
Accounts Payable Summary,خلاصه  حسابهای  پرداختنی,
Accounts Receivable,حسابهای دریافتنی,
Accounts Receivable Credit Account,حساب اعتباری قابل دریافت,
Accounts Receivable Discounted Account,حساب با تخفیف قابل دریافت,
Accounts Receivable Summary,خلاصه حسابهای دریافتنی,
Accounts Receivable Unpaid Account,حساب های پرداخت نشده دریافتنی,
Accounts Settings,تنظیمات حسابها,
Accounts User,کاربر حسابها,
Accumulated Depreciation,استهلاک انباشته,
Accumulated Depreciation Account,حساب استهلاک انباشته,
Accumulated Depreciation Amount,انباشته مبلغ استهلاک,
Acquisition Date,تاریخ اکتساب,
Action,اقدام,
Action If Quality Inspection Is Not Submitted,در صورت عدم ارسال بازرسی کیفیت اقدام کنید,
Action if Accumulated Monthly Budget Exceeded on Actual,اگر عملا بودجه ماهانه جمعآوری شده بیشتر شد، اقدام کنید,
Action if Accumulated Monthly Budget Exceeded on MR,اقدام اگر بودجه ماهانه جمع شده در MR بیشتر باشد,
Action if Accumulated Monthly Budget Exceeded on PO,اقدام اگر بودجه ماهانه جمع شده در PO باشد,
Action if Annual Budget Exceeded on Actual,اقدام اگر بودجه سالانه بیش از واقعی است,
Action if Annual Budget Exceeded on MR,اقدام اگر بودجه سالانه بیش از MR باشد,
Action if Annual Budget Exceeded on PO,اقدام اگر بودجه سالانه بیش از PO باشد,
Actions,عملیات,
Actions performed,اقدامات انجام شده,
Active,فعال,
Activities,فعالیت ها,
Activity Cost,هزینه فعالیت,
Activity Type,نوع فعالیت,
Actual,واقعی,
Actual Batch Quantity,مقدار واقعی دسته ای,
Actual Date,تاریخ واقعی,
Actual End Date,تاریخ واقعی پایان,
Actual End Date (via Timesheet),واقعی پایان تاریخ (از طریق زمان ورق),
Actual End Time,پایان زمان واقعی,
Actual Operating Cost,هزینه های عملیاتی واقعی,
Actual Operation Time,عملیات واقعی زمان,
Actual Qty,تعداد واقعی,
Actual Qty (at source/target),تعداد واقعی (در منبع / هدف),
Actual Start Date,واقعی تاریخ شروع,
Actual Start Date (via Timesheet),واقعی تاریخ شروع (از طریق زمان ورق),
Actual Start Time,واقعی زمان شروع,
Actual Time and Cost,زمان و هزینه های واقعی,
