%  Delivered,% toimitettu,
% Amount Billed,% laskutettu arvomäärä,
% Billed,% laskutettu,
% Complete Method,% Täydellinen Menetelmä,
% Completed,% Valmis,
% Installed,% asennettu,
% Ordered,% järjestetty,
% Progress,% Progress,
% Received,% Saapunut,
% of materials billed against this Sales Order,% myyntitilauksen materiaaleista laskutettu,
% of materials delivered against this Sales Order,% myyntitilauksen materiaaleista toimitettu,
(Hour Rate / 60) * Actual Operation Time,(Tuntihinta / 60) * todellinen käytetty aika,
(including),(mukaan lukien),
* Will be calculated in the transaction.,* lasketaan tapahtumassa,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**tilikausi** sisältää kaikki sen kuluessa kirjatut kirjanpito- ym. taloudenhallinnan tapahtumat,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Kuukausijako ** auttaa kausiluonteisen liiketoiminnan budjetoinnissa ja tavoiteasetannassa.,
1 Loyalty Points = How much base currency?,1 Loyalty Points = Kuinka paljon perusvaluutta?,
1 hr,1 tunti,
2 Yearly,2 vuosittain,
30 mins,30 minuuttia,
6 hrs,6 tuntia,
"A Product or a Service that is bought, sold or kept in stock.","tavara tai palvelu joka ostetaan, myydään tai varastoidaan",
A condition for a Shipping Rule,Toimitustavan ehdot,
A logical Warehouse against which stock entries are made.,"perustettu varasto, minne varastokirjaukset tehdään",
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Ulkopuolinen välittäjä / edustaja / agentti / jälleenmyyjä, joka myy yrityksen tavaraa provisiolla.",
A+,A +,
A-,A -,
A4,A4,
AB+,AB +,
AB-,AB -,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,Ylläpidon umpeutumispäivä,
API,API,
API Endpoint,API-päätepiste,
API Key,API Key,
Abbr,lyhenteet,
Abbreviation,Lyhenne,
Academics User,Academics Käyttäjä,
Accepted,hyväksytyt,
Accepted Qty,Hyväksytty määrä,
