%  Delivered,% נמסר,
% Amount Billed,% סכום החיוב,
% Billed,% שחויבו,
% Complete Method,שיטה מלאה,
% Completed,% הושלם,
% Installed,% מותקן,
% Ordered,% מסודר,
% Progress,% התקדמות,
% Received,% התקבל,
% of materials billed against this Sales Order,% מחומרים מחויבים נגד הזמנת מכירה זה,
% of materials delivered against this Sales Order,% מחומרים מועברים נגד הזמנת מכירה זה,
(Hour Rate / 60) * Actual Operation Time,(שעת דרג / 60) * בפועל מבצע זמן,
(including),(לְרַבּוֹת),
* Will be calculated in the transaction.,* יחושב בעסקה.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** שנת כספים ** מייצגת שנת כספים. כל הרישומים החשבונאיים ועסקות גדולות אחרות מתבצעים מעקב נגד שנת כספים ** **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** בחתך חודשי ** עוזר לך להפיץ את התקציב / היעד ברחבי חודשים אם יש לך עונתיות בעסק שלך.,
1 Loyalty Points = How much base currency?,1 נקודות נאמנות = כמה מטבע בסיס?,
1 hr,שעה,
2 Yearly,2 שנתי,
30 mins,30 דקות,
6 hrs,6 שעות,
"A Product or a Service that is bought, sold or kept in stock.","מוצר או שירות שנקנה, נמכר או מוחזק במלאי.",
A condition for a Shipping Rule,תנאי עבור כלל משלוח,
A logical Warehouse against which stock entries are made.,מחסן לוגי שנגדו מרשמו רשומות מלאי,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,/ סוחר / סוכן / שותפים / משווק עמלת מפיץ הצד שלישי שמוכר את המוצרים עבור חברות בועדה.,
A+,A +,
A-,א-,
A4,A4,
AB+,AB +,
AB-,האבווהר,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,תאריך תפוגה AMC,
API,ממשק API,
API Endpoint,נקודת סיום API,
API Key,מפתח API,
Abbr,Abbr,
Abbreviation,קיצור,
Academics User,משתמש אקדמאים,
Accepted,קיבלתי,
Accepted Qty,כמות מקובלת,
Accepted Quantity,כמות מקובלת,
Accepted Warehouse,מחסן מקובל,
Access Token,גישת אסימון,
Account,חשבון,
Account Balance,יתרת חשבון,
Account Currency,מטבע חשבון,
Account Details,פרטי חשבון,
Account Head,חשבון ראש,
Account Manager,מנהל חשבון,
Account Name,שם חשבון,
Account Number,מספר חשבון,
Account Paid From,חשבון בתשלום מ,
Account Paid To,חשבון םלושש,
Account Subtype,סוג משנה של חשבון,
Account Type,סוג החשבון,
Account for Change Amount,חשבון לסכום השינוי,
Accounting,חשבונאות,
Accounting Details,חשבונאות פרטים,
Accounting Dimension,ממד חשבונאי,
Accounting Dimension Detail,פירוט ממד חשבונאי,
Accounting Dimensions,ממדי חשבונאות,
Accounting Dimensions ,ממדי חשבונאות,
Accounting Entries,רישומים חשבונאיים,
Accounting Period,תקופת חשבונאות,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,רשומות חשבונאות מוקפאות עד תאריך זה. איש אינו יכול ליצור או לשנות ערכים למעט משתמשים בעלי התפקיד המפורט להלן,
Accounts,חשבונות,
Accounts Frozen Till Date,חשבונות תאריך קפוא,
Accounts Manager,מנהל חשבונות,
Accounts Payable,חשבונות לתשלום,
Accounts Payable Summary,חשבונות לתשלום סיכום,
Accounts Receivable,חשבונות חייבים,
Accounts Receivable Credit Account,חשבון אשראי לקבל חשבונות,
Accounts Receivable Discounted Account,חשבון מוזל בחשבונות,
Accounts Receivable Summary,חשבונות חייבים סיכום,
Accounts Receivable Unpaid Account,חשבונות שלא קיבלו תשלום,
Accounts Settings,חשבונות הגדרות,
Accounts User,חשבונות משתמשים,
Accumulated Depreciation,ירידת ערך מצטברת,
Accumulated Depreciation Account,חשבון פחת נצבר,
Accumulated Depreciation Amount,סכום פחת שנצבר,
Acquisition Date,תאריך הרכישה,
Action,פעולה,
Action If Quality Inspection Is Not Submitted,פעולה אם לא הוגשה בדיקת איכות,
Action if Accumulated Monthly Budget Exceeded on Actual,פעולה אם חורג מהתקציב החודשי המצטבר בפועל,
