%  Delivered,% Isporučeno,
% Amount Billed,% Naplaćeni iznos,
% Billed,% Naplaćeno,
% Complete Method,% Kompletan postupak,
% Completed,% Kompletirano,
% Installed,% Instalirano,
% Ordered,% Naručeno,
% Progress,% Napredak,
% Received,% Zaprimljeno,
% of materials billed against this Sales Order,% robe od ove narudžbe je naplaćeno,
% of materials delivered against this Sales Order,% robe od ove narudžbe je isporučeno,
(Hour Rate / 60) * Actual Operation Time,(Broj sati / 60) * Stvarno trajanje operacije,
(including),(uključujući),
* Will be calculated in the transaction.,* Bit će izračunata u transakciji.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Fiskalna godina** predstavlja poslovnu godinu. Svi računovodstvene stavke i druge glavne transakcije su praćene od **Fiskalne godine**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Mjesečna distribucija ** pomaže vam rasporediti proračun / Target preko mjeseca, ako imate sezonalnost u Vašem poslovanju.",
1 Loyalty Points = How much base currency?,1 lojalnost bodova = kolika bazna valuta?,
1 hr,1 sat,
2 Yearly,2 Godišnje,
30 mins,30 min,
6 hrs,6 sati,
"A Product or a Service that is bought, sold or kept in stock.","Proizvod ili usluga koja je kupljena, prodana ili zadržana na lageru.",
A condition for a Shipping Rule,Uvjet za Pravilo isporuke,
A logical Warehouse against which stock entries are made.,Kreirano Skladište za ulazne stavke,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Vanjski distributer / trgovac / trgovački zastupnik / suradnik / prodavač koji prodaje proizvode tvrtke za proviziju.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
