%  Delivered,% kiszállítva,
% Amount Billed,% mennyiség számlázva,
% Billed,% számlázva,
% Complete Method,% befejező módszer,
% Completed,% kész,
% Installed,% telepítve,
% Ordered,% Rendezve,
% Progress,% Haladás,
% Received,% fogadva,
% of materials billed against this Sales Order,% anyag tételek számlázva ehhez a Vevői Rendeléhez,
% of materials delivered against this Sales Order,% anyag tétel szállítva ehhez a Vevői Rendeléshez,
(Hour Rate / 60) * Actual Operation Time,(Óra érték / 60) * aktuális üzemidő,
(including),(beleértve),
* Will be calculated in the transaction.,* A tranzakcióban lesz kiszámolva.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,"** Pénzügyi év ** jelképezi a Költségvetési évet. Minden könyvelési tétel, és más jelentős tranzakciók rögzítése ebben ** Pénzügyi Év **.",
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"* Havi Felbontás** segít felbontani a Költségvetést / Célt a hónapok között, ha vállalkozásod szezonális.",
1 Loyalty Points = How much base currency?,1 Hűségpontok = Mennyi alap pénznem?,
1 hr,1 óra,
2 Yearly,2  évente,
30 mins,30 perc,
6 hrs,6 óra,
"A Product or a Service that is bought, sold or kept in stock.","A termék vagy szolgáltatás, amelyet vásárolt, eladott vagy tartanak raktáron.",
A condition for a Shipping Rule,Egy Szállítási szabály feltételei,
A logical Warehouse against which stock entries are made.,A logikai Raktárkészlet amelyhez a készlet állomány bejegyzések történnek.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Egy forgalmazó / kereskedő / bizományos / társulat / viszonteladó harmadik fél, aki jutalákért eladja a vállalatok termékeit.",
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,Éves karbantartási szerződés lejárati dátuma,
API,API,
API Endpoint,API végpont,
API Key,API kulcs,
Abbr,Röv.,
Abbreviation,Rövidítés,
Academics User,Akadémiai felhasználó,
Accepted,Elfogadva,
Accepted Qty,Elfogadva,
Accepted Quantity,Elfogadott mennyiség,
Accepted Warehouse,Elfogadott raktárkészlet,
Access Token,Hozzáférési token,
Account,számla,
Account Balance,Számla egyenleg,
Account Currency,A fiók pénzneme,
Account Details,Számla adatok,
Account Head,Számla fejléc,
Account Manager,Fiókkezelő,
Account Name,Számla név,
Account Number,Számla száma,
Account Paid From,Kiegyenlített számla ettől:,
Account Paid To,Számla kifizetve ennek:,
Account Subtype,Fiók altípusa,
Account Type,Számla típus,
Account for Change Amount,Átváltási összeg számlája,
Accounting,Könyvelés,
Accounting Details,Számviteli Részletek,
Accounting Dimension,Számviteli dimenzió,
Accounting Dimension Detail,Számviteli dimenzió részlete,
Accounting Dimensions,Számviteli dimenziók,
Accounting Dimensions ,Számviteli méretek,
Accounting Entries,Könyvelési tételek,
Accounting Period,Számviteli időszak,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"A könyvelési bejegyzések mindeddig be vannak zárva. Senki sem hozhat létre vagy módosíthat bejegyzéseket, kivéve az alábbiakban meghatározott szereplőkkel rendelkező felhasználókat",
Accounts,Főkönyvi számlák,
Accounts Frozen Till Date,Fiókok befagyasztva a dátumig,
Accounts Manager,Fiókkezelõ,
Accounts Payable,Beszállítóknak fizetendő számlák,
Accounts Payable Summary,A beszállítók felé fizetendő kötelezettségeink összefoglalása,
Accounts Receivable,Bevételi számlák,
Accounts Receivable Credit Account,Követelési követelések,
Accounts Receivable Discounted Account,Követelések Diszkontált számla,
Accounts Receivable Summary,Vevőtartozás bevétel Összefoglalója,
Accounts Receivable Unpaid Account,Követelések fizetetlen számla,
Accounts Settings,Könyvelés beállításai,
Accounts User,Számlák felhasználó,
Accumulated Depreciation,Halmozott értékcsökkenés,
Accumulated Depreciation Account,Halmozott értékcsökkenés számla,
Accumulated Depreciation Amount,Halmozott értékcsökkenés összege,
Acquisition Date,Beszerzés dátuma,
Action,Művelet,
