%  Delivered,% Terkirim,
% Amount Billed,% Jumlah Ditagih,
% Billed,Ditagih %,
% Complete Method,% Metode Lengkap,
% Completed,Selesai %,
% Installed,% Terpasang,
% Ordered,% Tersusun,
% Progress,% Selesai,
% Received,% Diterima,
% of materials billed against this Sales Order,% Bahan ditagih terhadap Sales Order ini,
% of materials delivered against this Sales Order,% Dari materi yang Terkirim terhadap Sales Order ini,
(Hour Rate / 60) * Actual Operation Time,(Tarif per Jam / 60) * Masa Beroperasi Sebenarnya,
(including),(termasuk),
* Will be calculated in the transaction.,* Akan dihitung dalam transaksi.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Tahun Anggaran ** mewakili Tahun Keuangan. Semua entri akuntansi dan transaksi besar lainnya dilacak terhadap Tahun Anggaran ** **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Distribusi Bulanan ** membantu Anda mendistribusikan Anggaran / Target di antara bulan-bulan jika bisnis Anda memiliki musim.,
1 Loyalty Points = How much base currency?,1 Poin Loyalitas = Berapa mata uang dasar?,
1 hr,1 jam,
2 Yearly,2 Tahunan,
30 mins,30 menit,
6 hrs,6 jam,
"A Product or a Service that is bought, sold or kept in stock.","Produk atau Jasa yang dibeli, dijual atau disimpan dalam persediaan.",
A condition for a Shipping Rule,Sebuah kondisi untuk Aturan Pengiriman,
A logical Warehouse against which stock entries are made.,Suatu Gudang maya dimana entri persediaan dibuat.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Seorang distributor pihak ketiga / agen / komisi agen / affiliate / reseller yang menjual produk-produk perusahaan untuk komisi.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,Tanggal Kadaluarsa AMC,
API,API,
API Endpoint,API Endpoint,
API Key,API Key,
Abbr,Singkatan,
Abbreviation,Singkatan,
Academics User,Pengguna Akademis,
Accepted,Diterima,
Accepted Qty,Jumlah yang Diterima,
Accepted Quantity,Qty Diterima,
Accepted Warehouse,Gudang Barang Diterima,
Access Token,Akses Token,
Account,Akun,
Account Balance,Saldo Akun Rekening,
Account Currency,Mata Uang Akun,
Account Details,Rincian Account,
Account Head,Akun Kepala,
Account Manager,Manajer Akuntansi,
Account Name,Nama Akun,
Account Number,Nomor Akun,
Account Paid From,Akun Dibayar Dari,
Account Paid To,Akun Dibayar Kepada,
Account Subtype,Subtipe Akun,
Account Type,Jenis Account,
Account for Change Amount,Akun untuk Perubahan Jumlah,
Accounting,Akuntansi,
Accounting Details,Rincian Akuntansi,
Accounting Dimension,Dimensi Akuntansi,
Accounting Dimension Detail,Detail Dimensi Akuntansi,
Accounting Dimensions,Dimensi Akuntansi,
Accounting Dimensions ,Dimensi Akuntansi,
Accounting Entries,Entri Akuntansi,
Accounting Period,Periode akuntansi,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Entri akuntansi dibekukan sampai tanggal ini. Tidak ada yang dapat membuat atau mengubah entri kecuali pengguna dengan peran yang ditentukan di bawah ini,
Accounts,Akun / Rekening,
Accounts Frozen Till Date,Akun Dibekukan Hingga Tanggal,
Accounts Manager,Pengelola Akun,
Accounts Payable,Hutang,
Accounts Payable Summary,Ringkasan Buku Besar Hutang,
Accounts Receivable,Piutang,
Accounts Receivable Credit Account,Akun Piutang Kredit,
Accounts Receivable Discounted Account,"Rekening yang Dapat Diterima, Akun yang Didiskon",
Accounts Receivable Summary,Ringkasan Buku Piutang,
Accounts Receivable Unpaid Account,"Piutang Akun, Akun yang Belum Dibayar",
Accounts Settings,Pengaturan Akun,
Accounts User,Pengguna Akun,
Accumulated Depreciation,Akumulasi penyusutan,
Accumulated Depreciation Account,Akun Penyusutan Akumulasi,
Accumulated Depreciation Amount,Akumulasi Penyusutan Jumlah,
Acquisition Date,Tanggal akuisisi,
Action,Tindakan,
Action If Quality Inspection Is Not Submitted,Tindakan Jika Pemeriksaan Kualitas Tidak Diserahkan,
Action if Accumulated Monthly Budget Exceeded on Actual,Tindakan jika Akumulasi Anggaran Bulanan Melebihi Aktual,
Action if Accumulated Monthly Budget Exceeded on MR,Tindakan jika Akumulasi Anggaran Bulanan Melebihi MR,
Action if Accumulated Monthly Budget Exceeded on PO,Tindakan jika Akumulasi Anggaran Bulanan Melebihi pada PO,
Action if Annual Budget Exceeded on Actual,Tindakan jika Anggaran Tahunan Terlampaui pada Aktual,
Action if Annual Budget Exceeded on MR,Tindakan jika Anggaran Tahunan Melebihi MR,
Action if Annual Budget Exceeded on PO,Tindakan jika Anggaran Tahunan Terlampaui pada PO,
Actions,Tindakan,
Actions performed,Tindakan dilakukan,
Active,Aktif,
Activities,Kegiatan,
Activity Cost,Biaya Aktivitas,
Activity Type,Jenis Kegiatan,
Actual,Sebenarnya,
Actual Batch Quantity,Kuantitas Batch yang Sebenarnya,
Actual Date,Tanggal Aktual,
Actual End Date,Tanggal Akhir Aktual,
Actual End Date (via Timesheet),Tanggal Akhir Aktual (dari Lembar Waktu),
Actual End Time,Waktu Akhir Aktual,
Actual Operating Cost,Biaya Operasi Aktual,
Actual Operation Time,Waktu Operasi Aktual,
Actual Qty,Jumlah aktual,
Actual Qty (at source/target),Jumlah Aktual (di sumber/target),
Actual Start Date,Tanggal Mulai Aktual,
Actual Start Date (via Timesheet),Aktual Mulai Tanggal (via Waktu Lembar),
Actual Start Time,Waktu Mulai Aktual,
Actual Time and Cost,Waktu dan Biaya Aktual,
Actual Time in Hours (via Timesheet),Waktu Aktual (dalam Jam),
Add,Tambahkan,
Add Quote,Tambahkan Kutipan,
Add Weekly Holidays,Tambahkan Liburan Mingguan,
Add or Deduct,Penambahan atau Pengurangan,
Add to Holidays,Tambahkan ke Hari Libur,
Add to Transit,Tambahkan ke Transit,
Additional Cost,Biaya tambahan,
Additional Costs,Biaya-biaya tambahan,
Additional DIscount Amount,Jumlah Potongan Tambahan,
Additional DIscount Percentage,Persentase Diskon Tambahan,
Additional Details,Rincian Tambahan,
Additional Discount,Potongan Tambahan,
Additional Discount Amount,Jumlah Diskon Tambahan,
Additional Discount Amount (Company Currency),Jumlah Diskon Tambahan (dalam Mata Uang Perusahaan),
Additional Discount Percentage,Persentase Diskon Tambahan,
Additional Information,informasi tambahan,
Additional Notes,catatan tambahan,
Additional Operating Cost,Biaya Operasi Tambahan,
Additional information regarding the customer.,Informasi tambahan mengenai customer.,
Address,Alamat,
Address & Contact,Alamat & Kontak,
Address & Contacts,Alamat & Kontak,
Address Desc,Deskripsi Alamat,
Address HTML,Alamat HTML,
Address Line 1,Alamat Baris 1,
Address Line 2,Alamat Baris 2,
Address Name,Nama alamat,
Address and Contact,Alamat dan Kontak,
Address and Contacts,Alamat dan Kontak,
Address used to determine Tax Category in transactions,Alamat yang digunakan untuk menentukan Kategori Pajak dalam transaksi,
Addresses,Daftar Alamat,
Administrator,Administrator,
Advance Account,Uang muka,
Advance Amount,Jumlah Uang Muka,
Advance Paid,Pembayaran Dimuka,
Advance Payments,Uang Muka Pembayaran(Down Payment / Advance),
Advance amount,Jumlah Uang Muka,
Advanced Settings,Pengaturan lanjutan,
Advances,Advances,
Against,Terhadap,
Against Account,Terhadap Akun,
Against Blanket Order,Menentang Pesanan Selimut,
Against Delivery Note Item,Terhadap Item Nota Pengiriman,
Against Docname,Terhadap Docname,
Against Doctype,Terhadap Doctype,
Against Document Detail No,Terhadap Detail Dokumen No.,
Against Document No,Terhadap No. Dokumen,
Against Expense Account,Terhadap Akun Biaya,
Against Income Account,Terhadap Akun Pendapatan,
Against Sales Invoice,Terhadap Faktur Penjualan,
Against Sales Invoice Item,Terhadap Barang di Faktur Penjualan,
Against Sales Order,Berdasarkan Order Penjualan,
Against Sales Order Item,Terhadap Barang di Order Penjualan,
Against Stock Entry,Terhadap Entri Saham,
Against Voucher,Terhadap Voucher,
Against Voucher Type,Terhadap Tipe Voucher,
Ageing Based On,Umur Berdasarkan,
Agenda,Jadwal acara,
Agent Details,Detail Agen,
Agents,Agen,
Agriculture Manager,Manajer Pertanian,
Agriculture User,Pengguna pertanian,
All,Semua,
All Contact,Semua Kontak,
All Customer Contact,Semua Kontak Pelanggan,
All Employee (Active),Semua Karyawan (Aktif),
All Lead (Open),Semua Prospek (Terbuka),
All Sales Partner Contact,Semua Kontak Mitra Penjualan,
All Sales Person,Semua Salesmen,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Semua Transaksi Penjualan dapat ditandai terhadap beberapa ** Orang Penjualan ** sehingga Anda dapat mengatur dan memonitor target.,
All Supplier Contact,Kontak semua Supplier,
Allocate Advances Automatically (FIFO),Alokasikan Uang Muka Secara Otomatis (FIFO),
Allocate Payment Based On Payment Terms,Alokasikan Pembayaran Berdasarkan Ketentuan Pembayaran,
Allocated,Dialokasikan,
Allocated Amount,Jumlah yang dialokasikan,
Allocated amount,Jumlah yang dialokasikan,
Allocation,Alokasi,
Allow,Mengizinkan,
Allow Account Creation Against Child Company,Izinkan Pembuatan Akun Terhadap Perusahaan Anak,
Allow Alternative Item,Izinkan Item Alternatif,
Allow In Returns,Izinkan Pengembalian,
Allow Item To Be Added Multiple Times in a Transaction,Izinkan Item Ditambahkan Beberapa Kali dalam Transaksi,
Allow Material Transfer from Delivery Note to Sales Invoice,Izinkan Transfer Material dari Nota Pengiriman ke Faktur Penjualan,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,Izinkan Transfer Material dari Tanda Terima Pembelian ke Faktur Pembelian,
Allow Multiple Sales Orders Against a Customer's Purchase Order,Izinkan Beberapa Pesanan Penjualan Terhadap Pesanan Pembelian Pelanggan,
Allow Negative Stock,Izinkan persediaan negatif,
Allow Overtime,Izinkan Lembur,
Allow Production on Holidays,Izinkan Produksi di hari libur,
Allow Purchase Invoice Creation Without Purchase Order,Izinkan Pembuatan Faktur Pembelian Tanpa Pesanan Pembelian,
Allow Purchase Invoice Creation Without Purchase Receipt,Izinkan Pembuatan Faktur Pembelian Tanpa Tanda Terima Pembelian,
Allow Rename Attribute Value,Izinkan Ganti Nama Nilai Atribut,
Allow Resetting Service Level Agreement,Izinkan Mengatur Ulang Perjanjian Tingkat Layanan,
Allow Sales Invoice Creation Without Delivery Note,Izinkan Pembuatan Faktur Penjualan Tanpa Nota Pengiriman,
Allow Sales Invoice Creation Without Sales Order,Izinkan Pembuatan Faktur Penjualan Tanpa Pesanan Penjualan,
Allow Stale Exchange Rates,Izinkan Menggunakan Nilai Tukar Kaldaluarsa,
Allow User to Edit Price List Rate in Transactions,Izinkan Pengguna untuk Mengedit Tarif Daftar Harga dalam Transaksi,
Allow Zero Valuation Rate,Biarkan Zero Valuation Rate,
Allowed,Diizinkan,
Allowed To Transact With,Diizinkan Untuk Bertransaksi Dengan,
Alternative Item Code,Kode Barang Alternatif,
Alternative Item Name,Nama Item Alternatif,
Amended From,Diubah Dari,
Amount,Total,
Amount (Company Currency),Nilai Jumlah (mata uang perusahaan),
Amount Difference,jumlah Perbedaan,
Amount In Figure,Jumlah Dalam Gambar,
Amount in customer's currency,Jumlah dalam mata uang pelanggan,
Annual Expenses,Beban Tahunan,
Annual Income,Pendapatan tahunan,
Applicable Charges,Biaya yang Berlaku,
Applicable For,Berlaku Untuk,
Applicable Holiday List,Daftar Hari Libur yang Berlaku,
Applicable Modules,Modul yang Berlaku,
Applicable To (Designation),Berlaku Untuk (Penunjukan),
Applicable To (Employee),Berlaku Untuk (Karyawan),
Applicable To (Role),Berlaku Untuk (Peran),
Applicable To (User),Berlaku Untuk (User),
Applicable for Countries,Berlaku untuk Negara,
Applicable for Users,Berlaku untuk Pengguna,
Applicable for external driver,Berlaku untuk driver eksternal,
Applicable on Material Request,Berlaku pada Permintaan Material,
Applicable on Purchase Order,Berlaku pada Purchase Order,
Applicable on booking actual expenses,Berlaku untuk memesan biaya sebenarnya,
Application Settings,Pengaturan aplikasi,
Apply Additional Discount On,Terapkan tambahan Diskon Pada,
Apply Discount On,Terapkan Diskon Pada,
Apply Discount on Discounted Rate,Terapkan Diskon untuk Tarif Diskon,
Apply Discount on Rate,Terapkan Diskon pada Harga,
Apply Multiple Pricing Rules,Terapkan Beberapa Aturan Harga,
Apply On,Terapkan Pada,
Apply Rule On Brand,Terapkan Aturan Pada Merek,
Apply Rule On Item Code,Terapkan Aturan Pada Item Kode,
Apply Rule On Item Group,Terapkan Grup Aturan Pada Item,
Apply Rule On Other,Terapkan Aturan Pada Lainnya,
Apply Tax Withholding Amount,Terapkan Pajak Pemotongan Amount,
Appointment,Janji,
Appointment Booking Settings,Pengaturan Pemesanan Pengangkatan,
Appointment Booking Slots,Slot Pemesanan Janji Temu,
Appointment Details,Detail Pengangkatan,
Appointment Duration (In Minutes),Durasi Pengangkatan (Dalam Menit),
Appointment With,Janji dengan,
Appraisal Template,Template Penilaian,
Approvers,Pemberi persetujuan,
Approving Role (above authorized value),Menyetujui Peran (di atas nilai yang berwenang),
Approving User  (above authorized value),Approving User (di atas nilai yang berwenang),
Area,Daerah,
Area UOM,Area UOM,
As per Stock UOM,Sesuai UOM Persediaan,
Asset,Aset,
Asset Account,Akun Aset,
Asset Category,Aset Kategori,
Asset Category Account,Aset Kategori Akun,
Asset Category Name,Aset Kategori Nama,
Asset Depreciation Cost Center,Asset Pusat Penyusutan Biaya,
Asset Depreciation Ledger,Aset Penyusutan Ledger,
Asset Depreciations and Balances,Penyusutan aset dan Saldo,
Asset Details,Detail Aset,
Asset Finance Book,Buku Aset Keuangan,
Asset Location,Lokasi Aset,
Asset Maintenance,Pemeliharaan Aset,
Asset Maintenance Log,Log pemeliharaan aset,
Asset Maintenance Task,Tugas Pemeliharaan Aset,
Asset Maintenance Team,Tim Pemeliharaan Aset,
Asset Movement,Gerakan aset,
Asset Movement Item,Item Pergerakan Aset,
Asset Name,Aset Nama,
Asset Naming Series,Seri Penamaan Aset,
Asset Owner,Pemilik aset,
Asset Owner Company,Perusahaan Pemilik Aset,
Asset Received But Not Billed,Aset Diterima Tapi Tidak Ditagih,
Asset Repair,Perbaikan Aset,
Asset Status,Status Aset,
Asset Value,Nilai aset,
Asset Value Adjustment,Penyesuaian Nilai Aset,
Assets,Aset,
Assign To,Tugaskan Kepada,
Assign to Name,Tetapkan ke Nama,
"Attach .csv file with two columns, one for the old name and one for the new name","Melampirkan file .csv dengan dua kolom, satu untuk nama lama dan satu untuk nama baru",
Attach custom Chart of Accounts file,Lampirkan bagan Akun kustom file,
Attachment,Lampiran,
Attendance Device ID (Biometric/RF tag ID),ID Perangkat Kehadiran (ID tag Biometrik / RF),
Attribute,Atribut,
Attribute Name,Nama Atribut,
Attribute Value,Nilai Atribut,
Auditor,Akuntan,
Authorised By,Diotorisasi Oleh,
Authorization Control,Pengendali Otorisasi,
Authorization Endpoint,Endpoint Otorisasi,
Authorization Rule,Regulasi Autorisasi,
Authorization Settings,Pengaturan Otorisasi,
Authorization URL,URL otorisasi,
Authorized Value,Nilai Disetujui,
Auto Create Assets on Purchase,Otomatis Buat Aset saat Pembelian,
Auto Created,Dibuat Otomatis,
Auto Material Request,Permintaan Material Otomatis,
Auto Name,Nama Otomatis,
Auto Opt In (For all customers),Keikutsertaan Otomatis (Untuk semua pelanggan),
Auto Repeat,Ulangi Otomatis,
Auto Repeat Detail,Auto Repeat Detail,
Auto re-order,Auto re-order,
Automatically Add Taxes and Charges from Item Tax Template,Secara otomatis Menambahkan Pajak dan Tagihan dari Item Pajak Template,
Automatically Create New Batch,Buat Batch Baru secara otomatis,
Automatically Process Deferred Accounting Entry,Secara Otomatis Memproses Entri Akuntansi yang Ditangguhkan,
Availability Of Slots,Ketersediaan Slot,
Available Batch Qty at From Warehouse,Tersedia Batch Qty di Gudang Dari,
Available Batch Qty at Warehouse,Tersedia Batch Qty di Gudang,
Available Qty,Qty Tersedia,
Available Qty at From Warehouse,Jumlah yang tersedia di Gudang Dari,
Available Qty at Source Warehouse,Tersedia Qty di Gudang Sumber,
Available Qty at WIP Warehouse,Tersedia Qty di WIP Warehouse,
Available Qty at Warehouse,Jumlah Tersedia di Gudang,
Available Quantity,Jumlah yang tersedia,
Available Stock for Packing Items,Tersedia untuk Barang Paket,
Available-for-use Date,Tanggal yang tersedia untuk penggunaan,
Average Commission Rate,Rata-rata Komisi Tingkat,
Average Discount,Rata-rata Diskon,
Average Response Time,Waktu Respon Rata-Rata,
Average time taken by the supplier to deliver,Rata-rata waktu yang dibutuhkan oleh Supplier untuk memberikan,
B+,B +,
B-,B-,
BOM,BOM,
BOM Comparison Tool,Alat Perbandingan BOM,
BOM Detail No,No. Rincian BOM,
BOM Explorer,BOM Explorer,
BOM Explosion Item,Rincian Barang BOM,
BOM Item,Komponen BOM,
BOM No,No. BOM,
BOM No. for a Finished Good Item,No. BOM untuk Barang Jadi,
BOM Operation,BOM Operation,
BOM Operations Time,Waktu Operasi BOM,
BOM Scrap Item,BOM Scrap Barang,
BOM Search,Pencarian BOM,
BOM Stock Calculated,BOM Stock Dihitung,
BOM Stock Report,Laporan Persediaan BOM,
BOM Update Tool,Alat Pembaruan BOM,
BOM Variance Report,Laporan Varians BOM,
BOM Website Item,BOM Situs Persediaan,
BOM Website Operation,BOM Operasi Situs,
Backflush Raw Materials Based On,Backflush Bahan Baku Berbasis Pada,
Backflush Raw Materials From Work-in-Progress Warehouse,Bahan baku backflush dari gudang yang sedang dalam proses,
Backflush Raw Materials of Subcontract Based On,Bahan Baku Backflush dari Subkontrak Berdasarkan,
Balance In Account Currency,Saldo dalam Mata Uang Akun,
Balance In Base Currency,Saldo dalam Mata Uang Dasar,
Balance Qty,Jumlah Saldo,
Balance Sheet,Neraca,
Balance must be,Saldo harus,
Bank,Bank,
Bank / Cash Account,Bank / Rekening Kas,
Bank A/C No.,Rekening Bank No.,
Bank Account,Rekening Bank,
Bank Account Details,Detail Rekening Bank,
Bank Account Info,Info Rekening Bank,
Bank Account No,Rekening Bank No,
Bank Account Subtype,Subjenis Rekening Bank,
Bank Account Type,Jenis Rekening Bank,
Bank Balance,Saldo bank,
Bank Charges,Biaya Bank,
Bank Charges Account,Rekening Biaya Bank,
Bank Clearance,Izin Bank,
Bank Clearance Detail,Detail Izin Bank,
Bank Clearance Summary,Ringkasan Kliring Bank,
Bank Credit Balance,Saldo Kredit Bank,
Bank Details,Rincian bank,
Bank Entry,Entri Bank,
Bank Guarantee,Bank Garansi,
Bank Guarantee Number,Nomor Bank Garansi,
Bank Guarantee Type,Jenis Garansi Bank,
Bank Name,Nama Bank,
Bank Reconciliation Statement,Laporan Rekonsiliasi Bank,
Bank Transaction,Transaksi bank,
Bank Transaction Mapping,Pemetaan Transaksi Bank,
Bank Transaction Payments,Pembayaran Transaksi Bank,
Banking,Perbankan,
Barcode,Kode batang,
Barcode Type,Jenis Barcode,
Barcodes,Barcode,
Base Amount (Company Currency),Dasar Penilaian (Mata Uang Perusahaan),
Base Change Amount (Company Currency),Dasar Nilai Tukar (Mata Uang Perusahaan),
Base Hour Rate(Company Currency),Dasar Tarif Perjam (Mata Uang Perusahaan),
Base URL,URL dasar,
Based On,Berdasarkan,
Based On Payment Terms,Berdasarkan Ketentuan Pembayaran,
Based On Price List,Berdasarkan Daftar Harga,
Basic Amount,Nilai Dasar,
Basic Amount (Company Currency),Nilai Dasar (Mata Uang Perusahaan),
Basic Rate (Company Currency),Tarif Dasar (Mata Uang Perusahaan),
Basic Rate (as per Stock UOM),Tarif Dasar (sesuai UOM Persediaan),
Batch,Kumpulan,
Batch Description,Kumpulan Keterangan,
Batch Details,Rincian Tumpak,
Batch ID,Batch ID,
Batch Item Expiry Status,Status Kadaluarsa Persediaan Batch,
Batch No,No. Batch,
Batch Number Series,Batch Number Series,
Batch Quantity,Kuantitas Batch,
Batch Size,Ukuran Batch,
Batch UOM,Batch UOM,
Batch-Wise Balance History,Rekap Saldo menurut Kumpulan,
Before reconciliation,Sebelum rekonsiliasi,
Begin On (Days),Mulai Pada (Hari),
Bill Date,Tanggal Penagihan,
