%  Delivered,% Skilað,
% Amount Billed,% Magn Billed,
% Billed,% Billed,
% Complete Method,% Complete Aðferð,
% Completed,% Lokið,
% Installed,% Uppsett,
% Ordered,% Pantaði,
% Progress,% Progress,
% Received,% móttekin,
% of materials billed against this Sales Order,% Af efnum rukkaður gegn þessu Sales Order,
% of materials delivered against this Sales Order,% Af efnum afhent gegn þessum Sales Order,
(Hour Rate / 60) * Actual Operation Time,(Hour Rate / 60) * Raunveruleg Rekstur Time,
(including),(þ.mt),
* Will be calculated in the transaction.,* Verður að reikna í viðskiptunum.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Fiscal Year ** táknar fjárhagsári. Öll bókhald færslur og aðrar helstu viðskipti eru raktar gegn ** Fiscal Year **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Mánaðarleg dreifing ** hjálpar þér að dreifa fjárhagsáætlunar / Target yfir mánuði ef þú ert árstíðasveiflu í fyrirtæki þínu.,
1 Loyalty Points = How much base currency?,1 hollusta stig = hversu mikið grunn gjaldmiðil?,
1 hr,1 klst,
2 Yearly,2 árlega,
30 mins,30 mín,
6 hrs,6 klst,
"A Product or a Service that is bought, sold or kept in stock.","A vöru eða þjónustu sem er keypt, selt eða haldið á lager.",
A condition for a Shipping Rule,Skilyrði fyrir Shipping reglu,
A logical Warehouse against which stock entries are made.,A rökrétt Warehouse gegn sem stock færslur eru gerðar.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Þriðji aðili dreifingaraðila / söluaðila / umboðsmanns / tengja / sölumaður sem selur fyrirtæki vörur fyrir þóknun.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,vinnu í þrjá,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.ÁÁÁÁ.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Fyrningardagsetning,
API,API,
API Endpoint,API endapunktur,
API Key,API Key,
Abbr,skammst,
Abbreviation,skammstöfun,
Academics User,fræðimenn User,
Accepted,Samþykkt,
Accepted Qty,Samþykkt magn,
Accepted Quantity,Samþykkt Magn,
Accepted Warehouse,Samþykkt vöruhús,
Access Token,aðgangur Token,
Account,Reikningur,
Account Balance,Staða reiknings,
Account Currency,Reikningur Gjaldmiðill,
Account Details,Reikningsupplýsingar,
Account Head,Head Reikningur,
Account Manager,Reikningsstjóri,
Account Name,Nafn reiknings,
Account Number,Reikningsnúmer,
Account Paid From,Reikningur greitt frá,
Account Paid To,Reikningur Greiddur Til,
Account Subtype,Undirgerð reiknings,
Account Type,Tegund reiknings,
Account for Change Amount,Reikningur fyrir Change Upphæð,
Accounting,Bókhald,
Accounting Details,Bókhalds Upplýsingar,
Accounting Dimension,Bókhaldsvídd,
Accounting Dimension Detail,Smáatriði bókhaldsvíddar,
Accounting Dimensions,Bókhaldsvíddir,
Accounting Dimensions ,Bókhaldsvíddir,
Accounting Entries,Bókhalds Færslur,
Accounting Period,Bókhaldstími,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Bókhaldsfærslur eru frystar fram að þessum degi. Enginn getur búið til eða breytt færslum nema notendur með hlutverkið sem tilgreint er hér að neðan,
Accounts,Reikningar,
Accounts Frozen Till Date,Reikningar frosnir til dags,
Accounts Manager,Accounts Manager,
Accounts Payable,Viðskiptaskuldir,
Accounts Payable Summary,Viðskiptaskuldir Yfirlit,
Accounts Receivable,Reikningur fáanlegur,
Accounts Receivable Credit Account,Viðskiptakröfur vegna viðskiptakrafna,
Accounts Receivable Discounted Account,Viðskiptakröfur Afsláttur reiknings,
Accounts Receivable Summary,Viðskiptakröfur Yfirlit,
Accounts Receivable Unpaid Account,Viðskiptakröfur Ógreiddur reikningur,
Accounts Settings,reikninga Stillingar,
Accounts User,notendareikninga,
Accumulated Depreciation,uppsöfnuðum afskriftum,
Accumulated Depreciation Account,Uppsöfnuðum afskriftum Reikningur,
Accumulated Depreciation Amount,Uppsöfnuðum afskriftum Upphæð,
Acquisition Date,yfirtökudegi,
Action,aðgerð,
Action If Quality Inspection Is Not Submitted,Aðgerð ef gæðaskoðun er ekki lögð fram,
Action if Accumulated Monthly Budget Exceeded on Actual,Aðgerð ef uppsafnað mánaðarlegt fjárhagsáætlun fór yfir raunverulegt,
Action if Accumulated Monthly Budget Exceeded on MR,Aðgerð ef uppsafnað mánaðarlegt fjárhagsáætlun fór yfir MR,
Action if Accumulated Monthly Budget Exceeded on PO,Aðgerð ef uppsafnað mánaðarlegt fjárhagsáætlun fór fram á PO,
Action if Annual Budget Exceeded on Actual,Aðgerð ef ársáætlun fór yfir raunverulegt,
Action if Annual Budget Exceeded on MR,Aðgerð ef ársáætlun fór yfir MR,
Action if Annual Budget Exceeded on PO,Aðgerð ef árleg fjárhagsáætlun er yfir PO,
Actions,aðgerðir,
Actions performed,Aðgerðir gerðar,
Active,virk,
Activities,Starfsemi,
Activity Cost,virkni Kostnaður,
Activity Type,virkni Type,
Actual,Raunverulegur,
Actual Batch Quantity,Raunverulegt magn lotunnar,
Actual Date,Raunveruleg Dagsetning,
Actual End Date,Raunveruleg Lokadagur,
Actual End Date (via Timesheet),Raunveruleg End Date (með Time Sheet),
Actual End Time,Raunveruleg Lokatími,
Actual Operating Cost,Raunveruleg rekstrarkostnaður,
Actual Operation Time,Raunveruleg Operation Time,
Actual Qty,Raunveruleg Magn,
