%  Delivered,％納品済,
% Amount Billed,％請求,
% Billed,％支払,
% Complete Method,％完全な方法,
% Completed,% 完了,
% Installed,％インストール,
% Ordered,％注文済,
% Progress,％ 進捗,
% Received,％受領,
% of materials billed against this Sales Order,％の資材が請求済（この受注を対象）,
% of materials delivered against this Sales Order,％の資材が納品済（この受注を対象）,
(Hour Rate / 60) * Actual Operation Time,（時間単価 ÷ 60）× 実際の作業時間,
(including),（含む）,
* Will be calculated in the transaction.,※取引内で計算されます。,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,「会計年度」は、会計年度を表します。すべての会計記帳および他の主要な取引は、「会計年度」に対して記録されます。,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**毎月分配**は、あなたのビジネスで季節を持っている場合は、数ヶ月を横断予算/ターゲットを配布するのに役立ちます。,
1 Loyalty Points = How much base currency?,1ロイヤリティポイント=基本通貨はいくらですか？,
1 hr,1時間,
2 Yearly,2年ごと,
30 mins,30分,
6 hrs,6時間,
"A Product or a Service that is bought, sold or kept in stock.",製品またはサービスは、購入・販売あるいは在庫です。,
A condition for a Shipping Rule,出荷ルールの条件,
A logical Warehouse against which stock entries are made.,在庫エントリが作成されるのに対する論理的な倉庫。,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,コミッションのための企業の製品を販売している第三者の代理店/ディーラー/コミッションエージェント/アフィリエイト/リセラー。,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN -YYYY-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV- .YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,年間保守契約の有効期限日,
API,API,
API Endpoint,APIエンドポイント,
API Key,APIキー,
Abbr,略称,
Abbreviation,略語,
Academics User,教育機関ユーザー,
Accepted,承認済,
Accepted Qty,受け入れ数量,
