%  Delivered,ತಲುಪಿಸಲಾಗಿದೆ %,
% Amount Billed,ಖ್ಯಾತವಾದ % ಪ್ರಮಾಣ,
% Billed,% ಖ್ಯಾತವಾದ,
% Complete Method,% ಕಂಪ್ಲೀಟ್ ವಿಧಾನ,
% Completed,% ಪೂರ್ಣಗೊಂಡಿದೆ,
% Installed,% ಅನುಸ್ಥಾಪಿಸಲಾದ,
% Ordered,% ಆದೇಶ,
% Progress,% ಪ್ರೋಗ್ರೆಸ್,
% Received,% ಸ್ವೀಕರಿಸಲಾಗಿದೆ,
% of materials billed against this Sales Order,ಈ ಮಾರಾಟದ ಆರ್ಡರ್ ವಿರುದ್ಧ ಕೊಕ್ಕಿನ ವಸ್ತುಗಳ %,
% of materials delivered against this Sales Order,ಈ ಮಾರಾಟದ ಆರ್ಡರ್ ವಿರುದ್ಧ ವಿತರಿಸಲಾಯಿತು ವಸ್ತುಗಳ %,
(Hour Rate / 60) * Actual Operation Time,(ಅವರ್ ದರ / 60) * ವಾಸ್ತವಿಕ ಆಪರೇಷನ್ ಟೈಮ್,
(including),(ಸೇರಿದಂತೆ),
* Will be calculated in the transaction.,* ಲೆಕ್ಕಾಚಾರ ಮಾಡಲಾಗುತ್ತದೆ ವ್ಯವಹಾರದಲ್ಲಿ ಆಗಿದೆ .,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** ಹಣಕಾಸಿನ ವರ್ಷ ** ಒಂದು ಹಣಕಾಸು ವರ್ಷದ ಪ್ರತಿನಿಧಿಸುತ್ತದೆ. ಎಲ್ಲಾ ಲೆಕ್ಕ ನಮೂದುಗಳನ್ನು ಮತ್ತು ಇತರ ಪ್ರಮುಖ ವ್ಯವಹಾರಗಳ ** ** ಹಣಕಾಸಿನ ವರ್ಷ ವಿರುದ್ಧ ಕಂಡುಕೊಳ್ಳಲಾಯಿತು.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** ಮಾಸಿಕ ವಿತರಣೆ ** ನಿಮ್ಮ ವ್ಯವಹಾರದಲ್ಲಿ ಋತುಗಳು ಹೊಂದಿದ್ದರೆ ನೀವು ತಿಂಗಳ ಅಡ್ಡಲಾಗಿ ಬಜೆಟ್ / ಟಾರ್ಗೆಟ್ ವಿತರಿಸಲು ನೆರವಾಗುತ್ತದೆ.,
1 Loyalty Points = How much base currency?,1 ಲಾಯಲ್ಟಿ ಪಾಯಿಂಟುಗಳು = ಎಷ್ಟು ಬೇಸ್ ಕರೆನ್ಸಿ?,
1 hr,1 ಗಂ,
2 Yearly,2 ವರ್ಷ,
30 mins,30 ನಿಮಿಷಗಳು,
6 hrs,6 ಗಂಟೆ,
"A Product or a Service that is bought, sold or kept in stock.","ಒಂದು ಉತ್ಪನ್ನ ಅಥವಾ, ಖರೀದಿಸಿತು ಮಾರಾಟ ಅಥವಾ ಸ್ಟಾಕ್ ಇಟ್ಟುಕೊಂಡು ಒಂದು ಸೇವೆ.",
A condition for a Shipping Rule,ಒಂದು ಶಿಪ್ಪಿಂಗ್ ರೂಲ್ ಒಂದು ಸ್ಥಿತಿ,
A logical Warehouse against which stock entries are made.,ಸ್ಟಾಕ್ ನಮೂದುಗಳನ್ನು ಮಾಡಲಾಗುತ್ತದೆ ಇದು ವಿರುದ್ಧ ತಾರ್ಕಿಕ ವೇರ್ಹೌಸ್.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,ನಿಯೋಜನೆಗಾಗಿ ಕಂಪನಿಗಳು ಉತ್ಪನ್ನಗಳನ್ನು ಮಾರುತ್ತದೆ ಒಬ್ಬ ಮೂರನೇ ವ್ಯಕ್ತಿಯ ವಿತರಕ / ಡೀಲರ್ / ಆಯೋಗದ ಏಜೆಂಟ್ / ಅಂಗ / ಮರುಮಾರಾಟಗಾರರ.,
A+,ಎ +,
A-,ಎ,
A4,A4 ಕಾರು,
AB+,ಎಬಿ +,
AB-,ಎಬಿ-,
ACC-AML-.YYYY.-,ಎಸಿಸಿ-ಎಎಂಎಲ್ -ವೈವೈವೈ.-,
ACC-ASR-.YYYY.-,ಎಸಿಸಿ- ಎಎಸ್ಆರ್ - .YYYY.-,
ACC-ASS-.YYYY.-,ಎಸಿಸಿ-ಆಸ್- .YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ಎಸಿಸಿ- ಜೆವಿ - .YYYY.-,
ACC-PAY-.YYYY.-,ACC- ಪೇ - .YYYY.-,
ACC-PINV-.YYYY.-,ಎಸಿಸಿ-ಪಿನ್ವಿ- .YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ಎಸಿಸಿ- PRQ- .YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ಎಸಿಸಿ-ಎಸ್.ಹೆಚ್ .YYYY.-,
ACC-SINV-.YYYY.-,ಎಸಿಸಿ-ಸಿನ್ವಿ- .YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,ಎಎಂಸಿ ಅಂತ್ಯ ದಿನಾಂಕ,
API,API,
API Endpoint,API ಎಂಡ್ಪೋಯಿಂಟ್,
API Key,API ಕೀ,
Abbr,ರದ್ದು,
Abbreviation,ಸಂಕ್ಷೇಪಣ,
Academics User,ಶೈಕ್ಷಣಿಕ ಬಳಕೆದಾರ,
Accepted,Accepted,
Accepted Qty,Qty ಸ್ವೀಕರಿಸಲಾಗಿದೆ,
Accepted Quantity,Accepted ಪ್ರಮಾಣ,
Accepted Warehouse,ಅಕ್ಸೆಪ್ಟೆಡ್ ವೇರ್ಹೌಸ್,
Access Token,ಪ್ರವೇಶ ಟೋಕನ್,
Account,ಖಾತೆ,
Account Balance,ಖಾತೆ ಬ್ಯಾಲೆನ್ಸ್,
Account Currency,ಖಾತೆ ಕರೆನ್ಸಿ,
Account Details,ಖಾತೆ ವಿವರಗಳು,
Account Head,ಖಾತೆ ಹೆಡ್,
Account Manager,ಖಾತೆ ವ್ಯವಸ್ಥಾಪಕ,
Account Name,ಖಾತೆ ಹೆಸರು,
Account Number,ಖಾತೆ ಸಂಖ್ಯೆ,
Account Paid From,ಖಾತೆ ಪಾವತಿಸಿದ,
Account Paid To,ಖಾತೆಗೆ ಹಣ,
Account Subtype,ಖಾತೆ ಉಪ ಪ್ರಕಾರ,
Account Type,ಖಾತೆ ಪ್ರಕಾರ,
Account for Change Amount,ಪ್ರಮಾಣ ಚೇಂಜ್ ಖಾತೆ,
Accounting,ಲೆಕ್ಕಪರಿಶೋಧಕ,
