%  Delivered,% 배달,
% Amount Billed,청구 % 금액,
% Billed,% 청구,
% Complete Method,완료율 방법,
% Completed,% 완료,
% Installed,% 설치,
% Ordered,% 발주,
% Progress,%의 진행,
% Received,% 수신,
% of materials billed against this Sales Order,이 판매 주문에 대해 청구 자료 %,
% of materials delivered against this Sales Order,이 판매 주문에 대해 배송자재 %,
(Hour Rate / 60) * Actual Operation Time,(시간  / 60) * 실제 작업 시간,
(including),(포함),
* Will be calculated in the transaction.,* 트랜잭션에서 계산됩니다.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** 회계 연도는 ** 금융 년도 나타냅니다.모든 회계 항목 및 기타 주요 거래는 ** ** 회계 연도에 대해 추적됩니다.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** 월간 배포 ** 당신이 당신의 사업에 계절성이있는 경우는 개월에 걸쳐 예산 / 대상을 배포하는 데 도움이됩니다.,
1 Loyalty Points = How much base currency?,1 로열티 포인트 = 기본 통화는 얼마입니까?,
1 hr,1 시간,
2 Yearly,2 년마다,
30 mins,30 분,
6 hrs,6 시간,
"A Product or a Service that is bought, sold or kept in stock.","제품 또는, 구입 판매 또는 재고 유지 서비스.",
A condition for a Shipping Rule,배송 규칙의 조건,
A logical Warehouse against which stock entries are made.,재고 항목이 만들어지는에 대해 논리적 창고.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,수수료에 대한 회사의 제품을 판매하는 타사 대리점 / 딜러 /위원회 에이전트 / 제휴 / 대리점.,
A+,A +,
A-,에이-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML- .YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV- .YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ- .YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV- .YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC 유효 날짜,
API,API,
API Endpoint,API 엔드 포인트,
API Key,API 키,
Abbr,약어,
Abbreviation,약어,
Academics User,학사 사용자,
Accepted,허용,
Accepted Qty,수락 된 수량,
Accepted Quantity,허용 수량,
Accepted Warehouse,허용 창고,
Access Token,액세스 토큰,
Account,계정,
Account Balance,계정 잔액,
Account Currency,계정 통화,
Account Details,합계좌 세부사항,
Account Head,계정 헤드,
Account Manager,계정 관리자,
Account Name,계정 이름,
Account Number,계좌 번호,
Account Paid From,계정에서 유료,
Account Paid To,계정에 유료,
Account Subtype,계정 하위 유형,
Account Type,계정 유형,
Account for Change Amount,변경 금액에 대한 계정,
Accounting,회계,
Accounting Details,회계 세부 사항,
Accounting Dimension,회계 차원,
Accounting Dimension Detail,회계 차원 세부 정보,
Accounting Dimensions,회계 차원,
Accounting Dimensions ,회계 차원,
Accounting Entries,회계 항목,
Accounting Period,회계 기간,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,회계 항목은이 날짜까지 동결됩니다. 아래에 지정된 역할을 가진 사용자를 제외하고는 아무도 항목을 만들거나 수정할 수 없습니다.,
Accounts,회계,
Accounts Frozen Till Date,계정 동결 일까지,
Accounts Manager,계정 관리자,
Accounts Payable,미지급금,
Accounts Payable Summary,미지급금 합계,
Accounts Receivable,미수금,
Accounts Receivable Credit Account,채권 신용 계정,
Accounts Receivable Discounted Account,미수금 할인 계정,
Accounts Receivable Summary,미수금 요약,
Accounts Receivable Unpaid Account,채권 미 지불 계정,
Accounts Settings,계정 설정,
Accounts User,회계시용자,
Accumulated Depreciation,감가 상각 누계액,
Accumulated Depreciation Account,누적 감가 상각 계정,
Accumulated Depreciation Amount,누적 감가 상각 금액,
Acquisition Date,취득일,
Action,수행,
Action If Quality Inspection Is Not Submitted,품질 검사가 제출되지 않은 경우 조치,
Action if Accumulated Monthly Budget Exceeded on Actual,실제 누적 월 예산이 초과 된 경우의 조치,
Action if Accumulated Monthly Budget Exceeded on MR,누적 된 월 예산이 MR을 초과하는 경우의 조치,
Action if Accumulated Monthly Budget Exceeded on PO,누적 된 월간 예산이 PO를 초과하는 경우의 조치,
Action if Annual Budget Exceeded on Actual,연간 예산이 실제를 초과하는 경우의 조치,
Action if Annual Budget Exceeded on MR,연간 예산이 MR을 초과하는 경우의 조치,
Action if Annual Budget Exceeded on PO,연간 예산이 PO에 초과하는 경우의 조치,
Actions,수행,
Actions performed,수행 된 작업,
Active,활성화,
Activities,활동,
Activity Cost,활동 비용,
Activity Type,활동 유형,
Actual,실제,
Actual Batch Quantity,실제 배치 수량,
Actual Date,실제 날짜,
Actual End Date,실제 종료 날짜,
Actual End Date (via Timesheet),실제 종료 날짜 (시간 시트를 통해),
Actual End Time,실제 종료 시간,
Actual Operating Cost,실제 운영 비용,
Actual Operation Time,실제 작업 시간,
Actual Qty,실제 수량,
Actual Qty (at source/target),실제 수량 (소스 / 대상에서),
Actual Start Date,실제 시작 날짜,
Actual Start Date (via Timesheet),실제 시작 날짜 (시간 시트를 통해),
Actual Start Time,실제 시작 시간,
Actual Time and Cost,실제 시간과 비용,
Actual Time in Hours (via Timesheet),(시간) 실제 시간,
Add,추가,
Add Quote,견적 추가,
Add Weekly Holidays,주간 공휴일 추가,
Add or Deduct,추가 공제,
Add to Holidays,휴일에 추가하십시오,
Add to Transit,대중 교통에 추가,
Additional Cost,추가 비용,
Additional Costs,추가 비용,
Additional DIscount Amount,추가 할인 금액,
Additional DIscount Percentage,추가 할인 비율,
Additional Details,추가 세부 사항,
Additional Discount,추가 할인,
Additional Discount Amount,추가 할인 금액,
Additional Discount Amount (Company Currency),추가 할인 금액 (회사 통화),
Additional Discount Percentage,추가 할인 비율,
Additional Information,추가 정보,
Additional Notes,추가 참고 사항,
Additional Operating Cost,추가 운영 비용,
Additional information regarding the customer.,고객에 대한 추가 정보.,
Address,주소,
Address & Contact,주소 및 연락처,
Address & Contacts,주소 및 연락처,
Address Desc,제품 설명에게 주소,
Address HTML,주소 HTML,
Address Line 1,1 호선 주소,
Address Line 2,2 호선 주소,
Address Name,주소 명,
Address and Contact,주소와 연락처,
Address and Contacts,주소 및 연락처,
Address used to determine Tax Category in transactions,거래에서 세금 범주를 결정하는 데 사용되는 주소,
Addresses,주소,
Administrator,관리자,
Advance Account,사전 계정,
Advance Amount,사전의 양,
Advance Paid,사전 유료,
Advance Payments,사전 지불,
Advance amount,사전의 양,
Advanced Settings,고급 설정,
Advances,선수금,
Against,에 대하여,
Against Account,계정에 대하여,
Against Blanket Order,담요 주문에 대하여,
Against Delivery Note Item,납품서 품목에 대하여,
Against Docname,docName 같은 반대,
Against Doctype,문서 종류에 대하여,
Against Document Detail No,문서의 세부 사항에 대한 없음,
Against Document No,문서 번호에 대하여,
Against Expense Account,비용 계정에 대한,
Against Income Account,손익 계정에 대한,
Against Sales Invoice,견적서에 대하여,
Against Sales Invoice Item,견적서 항목에 대하여,
Against Sales Order,판매 주문에 대해,
Against Sales Order Item,판매 주문 항목에 대하여,
Against Stock Entry,재고 항목 반대,
Against Voucher,바우처에 대한,
Against Voucher Type,바우처 형식에 대한,
Ageing Based On,을 바탕으로 고령화,
Agenda,비망록,
Agent Details,에이전트 세부 사항,
Agents,자치령 대표,
Agriculture Manager,농업 관리자,
Agriculture User,농업 사용자,
All,모두,
All Contact,모든 연락처,
All Customer Contact,모든 고객에게 연락,
All Employee (Active),모든 직원 (활성),
All Lead (Open),모든 납 (열기),
All Sales Partner Contact,모든 판매 파트너 문의,
All Sales Person,모든 판매 사람,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,당신이 설정 한 목표를 모니터링 할 수 있도록 모든 판매 트랜잭션은 여러 ** 판매 사람 **에 태그 할 수 있습니다.,
All Supplier Contact,모든 공급 업체에게 연락 해주기,
Allocate Advances Automatically (FIFO),자동으로 사전 할당 (FIFO),
Allocate Payment Based On Payment Terms,지불 조건에 따라 지불 할당,
