%  Delivered,% گەیەندرا,
% Amount Billed,% Mîqdar billed,
% Billed,% billed,
% Complete Method,% هەموو ڕێگاکان,
% Completed,% تەواو بوو,
% Installed,% firin,
% Ordered,% داواکراوە,
% Progress,% Progress,
% Received,% وەریگرت,
% of materials billed against this Sales Order,% Ji materyalên li dijî vê Sales Order billed,
% of materials delivered against this Sales Order,% Ji materyalên li dijî vê Sales Order teslîmî,
(Hour Rate / 60) * Actual Operation Time,(Saet Rate / 60) * Time Actual Operation,
(including),(giştî),
* Will be calculated in the transaction.,* Dê di mêjera hejmartin.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Fiscal Sal ** temsîl Sal Financial. Re hemû ketanên hisêba û din muamele mezin bi dijî Sal Fiscal ** Molla **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Belavkariya Ayda ** alîkariya te dike belavkirin Budçeya / Armanc seranser mehan Eger tu dzanî seasonality di karê xwe.,
1 Loyalty Points = How much base currency?,1 Peyvên Bexda = Pirtûka bingehîn?,
1 hr,1 demjimêr,
2 Yearly,2 ساڵانە,
30 mins,30 hûrdem,
6 hrs,6 demjimêran,
"A Product or a Service that is bought, sold or kept in stock.","A Product an a Xizmeta ku kirîn, firotin an li stock girt.",
A condition for a Shipping Rule,A rewşa ji bo Rule Shipping,
A logical Warehouse against which stock entries are made.,A Warehouse mantiqî li dijî ku entries stock made bi.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,A Belavkirina partiya sêyem / ticar / Komîsyona agent / Elendara / reseller ku teleban berhemên şîrketên ji bo komîsyona.,
A+,A +,
A-,YEK-,
A4,A4,
AB+,AB +,
AB-,bazirganiya,
ACC-AML-.YYYY.-,ACC-AML-YYYY-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY-,
ACC-ASS-.YYYY.-,ACC-ASS-YYYY-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-YYYY-,
ACC-PAY-.YYYY.-,ACC-PAY-YYYY-,
ACC-PINV-.YYYY.-,ACC-PINV-YYYY-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Expiry Date,
API,API,
API Endpoint,API Endpoint,
API Key,Key API,
Abbr,kurte,
Abbreviation,Kinkirî,
Academics User,akademîsyenên Bikarhêner,
Accepted,qebûlkirin,
Accepted Qty,Qty pejirand,
Accepted Quantity,Quantity qebûlkirin,
Accepted Warehouse,Warehouse qebûlkirin,
Access Token,Têketinê Token,
Account,Konto,
Account Balance,Mêzîna Hesabê,
Account Currency,account Exchange,
Account Details,Agahdariyên Hesab,
Account Head,Serokê account,
Account Manager,Rêvebirê hesabê,
Account Name,Navê account,
Account Number,Hejmara Hesabê,
Account Paid From,Hesabê From,
Account Paid To,Hesabê To,
Account Subtype,Account Subtype,
Account Type,Type account,
Account for Change Amount,Account ji bo Guhertina Mîqdar,
Accounting,Accounting,
Accounting Details,Details Accounting,
Accounting Dimension,Dirêjbûna hesaban,
Accounting Dimension Detail,Dîtina Dûrbûna Hesabkirinê,
Accounting Dimensions,Pîvanên Hesabdayînê,
Accounting Dimensions ,Mezinahiyên hesaban,
Accounting Entries,Arşîva Accounting,
Accounting Period,Dema hesabê,
