%  Delivered,% ສົ່ງ,
% Amount Billed,% ຈໍານວນເງິນບິນ,
% Billed,% ບິນ,
% Complete Method,% ວິທີການສໍາເລັດ,
% Completed,% ສໍາເລັດ,
% Installed,% ການຕິດຕັ້ງ,
% Ordered,% ຄໍາສັ່ງ,
% Progress,% ຄວາມຄືບຫນ້າ,
% Received,% ທີ່ໄດ້ຮັບ,
% of materials billed against this Sales Order,% ຂອງອຸປະກອນການບິນຕໍ່ຂາຍສິນຄ້ານີ້,
% of materials delivered against this Sales Order,% ຂອງອຸປະກອນການສົ່ງຕໍ່ຂາຍສິນຄ້ານີ້,
(Hour Rate / 60) * Actual Operation Time,(ຊົ່ວໂມງອັດຕາ / 60) * ຈິງທີ່ໃຊ້ເວລາການດໍາເນີນງານ,
(including),(ລວມທັງ),
* Will be calculated in the transaction.,* ຈະໄດ້ຮັບການຄິດໄລ່ໃນການໄດ້.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** ປີງົບປະມານ ** ເປັນຕົວແທນເປັນປີການເງິນ. entries ບັນຊີທັງຫມົດແລະເຮັດທຸລະກໍາທີ່ສໍາຄັນອື່ນໆມີການຕິດຕາມຕໍ່ປີງົບປະມານ ** **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** ການແຜ່ກະຈາຍລາຍເດືອນ ** ຈະຊ່ວຍໃຫ້ທ່ານການແຈກຢາຍງົບປະມານ / ເປົ້າຫມາຍໃນທົ່ວເດືອນຖ້າຫາກວ່າທ່ານມີຕາມລະດູໃນທຸລະກິດຂອງທ່ານ.,
1 Loyalty Points = How much base currency?,1 ຜະລິດແນນຄວາມພັກດີ = ສະກຸນເງິນຖານເທົ່າໃດ?,
1 hr,1 ນ,
2 Yearly,2 ປີ,
30 mins,30 ນ,
6 hrs,6 ຊົ່ວໂມງ,
"A Product or a Service that is bought, sold or kept in stock.","A ຜະລິດຕະພັນຫຼືການບໍລິການທີ່ຊື້, ຂາຍຫຼືເກັບຮັກສາໄວ້ໃນຫຼັກຊັບ.",
A condition for a Shipping Rule,A ເງື່ອນໄຂສໍາລັບລະບຽບການຈັດສົ່ງສິນຄ້າ,
A logical Warehouse against which stock entries are made.,A Warehouse ຢ່າງມີເຫດຜົນການຕໍ່ຕ້ານທີ່ entries ຫຼັກຊັບໄດ້.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,A ຈໍາຫນ່າຍພາກສ່ວນທີສາມ / dealer / ຄະນະກໍາມະຕົວແທນ / ເປັນພີ່ນ້ອງກັນ / ຕົວແທນຈໍາຫນ່າຍຜູ້ທີ່ຂາຍໃນລາຄາຜະລິດຕະພັນບໍລິສັດສໍາລັບຄະນະກໍາມະ.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML -YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC ຫມົດເຂດ,
API,API,
API Endpoint,Endpoint API,
API Key,Key API,
Abbr,abbr,
Abbreviation,ຊື່ຫຍໍ້,
Academics User,ນັກວິຊາການຜູ້ໃຊ້,
Accepted,ຮັບການຍອມຮັບ,
Accepted Qty,ຍອມຮັບ Qty,
Accepted Quantity,ຈໍານວນທີ່ໄດ້ຮັບການ,
Accepted Warehouse,Warehouse ຮັບການຍອມຮັບ,
Access Token,ການເຂົ້າເຖິງ Token,
Account,ບັນຊີ,
Account Balance,ດຸນບັນຊີ,
Account Currency,ສະກຸນເງິນບັນຊີ,
Account Details,ລາຍລະອຽດບັນຊີ,
Account Head,ຫົວຫນ້າບັນຊີ,
Account Manager,ຜູ້ຈັດການບັນຊີ,
Account Name,ຊື່ບັນຊີ,
Account Number,ເລກບັນຊີ,
Account Paid From,ບັນຊີຊໍາລະເງິນຈາກ,
Account Paid To,ບັນຊີເງິນໃນການ,
Account Subtype,ບັນຊີຍ່ອຍ,
Account Type,ປະເພດບັນຊີ,
Account for Change Amount,ບັນຊີສໍາລັບການປ່ຽນແປງຈໍານວນເງິນ,
Accounting,ການບັນຊີ,
Accounting Details,ລາຍລະອຽດການບັນຊີ,
Accounting Dimension,ຂະ ໜາດ ບັນຊີ,
Accounting Dimension Detail,ລາຍລະອຽດຂະ ໜາດ ບັນຊີ,
Accounting Dimensions,ຂະ ໜາດ ບັນຊີ,
Accounting Dimensions ,ຂະ ໜາດ ບັນຊີ,
Accounting Entries,ການອອກສຽງການບັນຊີ,
Accounting Period,ໄລຍະເວລາການບັນຊີ,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,ບັນຊີການບັນຊີແມ່ນ frozen ເຖິງວັນທີນີ້. ບໍ່ມີໃຜສາມາດສ້າງຫລືດັດແກ້ການອອກສຽງຍົກເວັ້ນຜູ້ໃຊ້ທີ່ມີບົດບາດທີ່ລະບຸໄວ້ຂ້າງລຸ່ມນີ້,
Accounts,ບັນຊີ,
Accounts Frozen Till Date,ບັນຊີ Frozen Till ວັນທີ,
Accounts Manager,ຄຸ້ມຄອງບັນຊີ,
Accounts Payable,Accounts Payable,
Accounts Payable Summary,Accounts Payable Summary,
Accounts Receivable,ບັນຊີລູກຫນີ້,
Accounts Receivable Credit Account,ບັນຊີສິນເຊື່ອທີ່ຕ້ອງຮັບ,
Accounts Receivable Discounted Account,ບັນຊີຫຼຸດລາຄາທີ່ໄດ້ຮັບ,
Accounts Receivable Summary,ບັນຊີລູກຫນີ້ Summary,
Accounts Receivable Unpaid Account,ບັນຊີທີ່ບໍ່ໄດ້ຮັບເງິນ,
Accounts Settings,ບັນຊີ Settings,
Accounts User,ບັນຊີຜູ້ໃຊ້,
Accumulated Depreciation,ຄ່າເສື່ອມລາຄາສະສົມ,
Accumulated Depreciation Account,ບັນຊີຄ່າເສື່ອມລາຄາສະສົມ,
Accumulated Depreciation Amount,ຈໍານວນເງິນຄ່າເສື່ອມລາຄາສະສົມ,
Acquisition Date,ຂອງທີ່ໄດ້ມາທີ່ສະຫມັກ,
Action,ການປະຕິບັດ,
Action If Quality Inspection Is Not Submitted,ການປະຕິບັດຖ້າການກວດກາຄຸນນະພາບບໍ່ຖືກສົ່ງ,
Action if Accumulated Monthly Budget Exceeded on Actual,ການປະຕິບັດຖ້າຫາກວ່າງົບປະມານລາຍເດືອນສົມບູນເກີນກວ່າທີ່ຈະເປັນຈິງ,
Action if Accumulated Monthly Budget Exceeded on MR,ການປະຕິບັດຖ້າຫາກວ່າງົບປະມານລາຍເດືອນສະສົມເກີນກວ່າ MR,
Action if Accumulated Monthly Budget Exceeded on PO,ການປະຕິບັດຖ້າຫາກວ່າງົບປະມານລາຍເດືອນຂ້ອນຂ້າງເກີນກວ່າທີ່ສຸດ,
Action if Annual Budget Exceeded on Actual,ການປະຕິບັດຖ້າຫາກວ່າງົບປະມານປະຈໍາປີເກີນຂື້ນໃນຕົວຈິງ,
Action if Annual Budget Exceeded on MR,ປະຕິບັດຖ້າຫາກວ່າງົບປະມານປະຈໍາປີເກີນກວ່າທ່ານ,
Action if Annual Budget Exceeded on PO,ການປະຕິບັດຖ້າຫາກວ່າງົບປະມານປະຈໍາປີເກີນກ່ວາເກົ່າ,
Actions,ການກະທໍາ,
Actions performed,ການປະຕິບັດກິດຈະກໍາ,
Active,ການເຄື່ອນໄຫວ,
