%  Delivered,% Pristatyta,
% Amount Billed,% Suma Įvardintas,
% Billed,% Sąskaitos pateiktos,
% Complete Method,% Visiškas būdas,
% Completed,% Baigtas,
% Installed,% Įdiegta,
% Ordered,% Užsakytas,
% Progress,% Progresas,
% Received,% Gauta,
% of materials billed against this Sales Order,% medžiagų yra pateiktos sąskaitos pagal šį Pardavimo Užsakymą,
% of materials delivered against this Sales Order,% medžiagų pristatyta pagal šį Pardavimo Užsakymą,
(Hour Rate / 60) * Actual Operation Time,(Per valandą/ 60) * Tikrasis veikimo laikas,
(including),(įskaitant),
* Will be calculated in the transaction.,* Bus apskaičiuojama sandorį.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Finansiniai metai ** reiškia finansinius metus. Visi apskaitos įrašai ir kiti pagrindiniai sandoriai yra stebimi nuo ** finansiniams metams **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Mėnesio pasiskirstymas ** Jums padės platinti biudžeto / target visoje mėnesius, jei turite sezoniškumą savo verslą.",
1 Loyalty Points = How much base currency?,1 lojalumo taškai = kiek pagrindinės valiutos?,
1 hr,1 val,
2 Yearly,2 metai,
30 mins,30 min,
6 hrs,6 val,
"A Product or a Service that is bought, sold or kept in stock.","Paslauga arba Produktas, kuris yra perkamas, parduodamas arba laikomas sandėlyje.",
A condition for a Shipping Rule,Sąlyga Pristatymo taisyklei,
A logical Warehouse against which stock entries are made.,Logiškas Sandėlių nuo kurių akcijų įrašai būtų daromi.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Trečioji šalis Platintojas / atstovas / Komisijos atstovas / filialo / perpardavinėtojas, kuris parduoda bendrovių produktus komisija.",
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Galiojimo data,
API,API,
API Endpoint,API baigimo taškas,
API Key,&quot;API raktas,
Abbr,Santr.,
Abbreviation,Santrumpa,
Academics User,akademikai Vartotojas,
Accepted,priimtas,
Accepted Qty,Priimtas kiekis,
Accepted Quantity,Priimamos Kiekis,
Accepted Warehouse,Priimamos sandėlis,
Access Token,Prieigos raktas,
Account,sąskaita,
Account Balance,Sąskaitos balansas,
Account Currency,sąskaita Valiuta,
Account Details,Išsami paskyros informacija,
Account Head,sąskaita vadovas,
Account Manager,Sąskaitos valdytojas,
Account Name,Paskyros vardas,
Account Number,Paskyros numeris,
Account Paid From,Sąskaita mokama iš,
Account Paid To,Sąskaita Paide,
Account Subtype,Paskyros potipis,
Account Type,Paskyros tipas,
Account for Change Amount,Sąskaita už pokyčio sumą,
Accounting,Apskaita,
Accounting Details,apskaitos informacija,
Accounting Dimension,Apskaitos matmuo,
Accounting Dimension Detail,Apskaitos matmens detalė,
Accounting Dimensions,Apskaitos aspektai,
Accounting Dimensions ,Apskaitos matmenys,
Accounting Entries,apskaitos įrašai,
Accounting Period,Apskaitos laikotarpis,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"Apskaitos įrašai iki šios dienos yra įšaldyti. Niekas negali kurti ar modifikuoti įrašų, išskyrus toliau nurodytą vaidmenį turinčius vartotojus",
Accounts,Sąskaitos,
Accounts Frozen Till Date,Sąskaitos užšaldytos iki datos,
Accounts Manager,sąskaitos direktorius,
Accounts Payable,MOKĖTINOS SUMOS,
Accounts Payable Summary,Mokėtinos sumos Santrauka,
Accounts Receivable,gautinos,
Accounts Receivable Credit Account,Gautinos kreditinės sąskaitos,
Accounts Receivable Discounted Account,Gautinos sąskaitos su nuolaida,
Accounts Receivable Summary,Gautinos Santrauka,
Accounts Receivable Unpaid Account,Gautinos neapmokėtos sąskaitos,
Accounts Settings,Sąskaitos Nustatymai,
Accounts User,Sąskaitos vartotoją,
Accumulated Depreciation,Sukauptas nusidėvėjimas,
Accumulated Depreciation Account,Sukauptas nusidėvėjimas paskyra,
Accumulated Depreciation Amount,Sukauptas nusidėvėjimas suma,
Acquisition Date,įsigijimo data,
Action,veiksmas,
Action If Quality Inspection Is Not Submitted,"Veiksmas, jei kokybės patikrinimas nepateikiamas",
Action if Accumulated Monthly Budget Exceeded on Actual,"Veiksmai, jei sukauptas mėnesinis biudžetas viršytas faktiškai",
Action if Accumulated Monthly Budget Exceeded on MR,"Veiksmai, jei sukauptas mėnesinis biudžetas viršytas MR",
Action if Accumulated Monthly Budget Exceeded on PO,"Veiksmas, jei sukauptas mėnesinis biudžetas viršytas PO",
Action if Annual Budget Exceeded on Actual,"Veiksmai, jei metinis biudžetas viršytas faktiškai",
Action if Annual Budget Exceeded on MR,"Veiksmai, jei metinis biudžetas viršytas MR",
Action if Annual Budget Exceeded on PO,"Veiksmai, jei metinis biudžetas viršytas PO",
Actions,Veiksmai,
Actions performed,Veiksmai atlikti,
Active,aktyvus,
Activities,Veikla,
Activity Cost,veiklos sąnaudos,
Activity Type,veiklos rūšis,
Actual,Tikrasis,
Actual Batch Quantity,Faktinis siuntos kiekis,
Actual Date,Tikrasis data,
Actual End Date,Tikrasis Pabaigos data,
Actual End Date (via Timesheet),Tikrasis Pabaigos data (per Time lapas),
Actual End Time,Tikrasis Pabaigos laikas,
Actual Operating Cost,Tikrasis eksploatavimo išlaidos,
Actual Operation Time,Tikrasis veikimo laikas,
Actual Qty,Tikrasis Kiekis,
Actual Qty (at source/target),Tikrasis Kiekis (bent šaltinio / target),
Actual Start Date,Tikrasis pradžios data,
Actual Start Date (via Timesheet),Tikrasis pradžios data (per Time lapas),
Actual Start Time,Tikrasis Pradžios laikas,
Actual Time and Cost,Tikrasis Laikas ir kaina,
Actual Time in Hours (via Timesheet),Tikrasis laikas (valandomis),
Add,Papildyti,
Add Quote,Pridėti Citata,
Add Weekly Holidays,Pridėti savaitgalio atostogas,
Add or Deduct,Pridėti arba atimama,
Add to Holidays,Pridėti į šventes,
Add to Transit,Pridėti prie tranzito,
Additional Cost,Papildoma Kaina,
Additional Costs,Papildomos išlaidos,
Additional DIscount Amount,Papildoma Nuolaida suma,
Additional DIscount Percentage,Papildoma nuolaida procentais,
Additional Details,Papildoma informacija,
Additional Discount,Papildoma nuolaida,
Additional Discount Amount,Papildoma nuolaidos suma,
Additional Discount Amount (Company Currency),Papildoma nuolaida Suma (Įmonės valiuta),
Additional Discount Percentage,Papildoma nuolaidos procentinė dalis,
Additional Information,Papildoma informacija,
Additional Notes,papildomi užrašai,
Additional Operating Cost,Papildoma eksploatavimo išlaidos,
Additional information regarding the customer.,Papildoma informacija apie klientui.,
Address,adresas,
