%  Delivered,% Piegādāts,
% Amount Billed,% Summa Jāmaksā,
% Billed,% Jāmaksā,
% Complete Method,% Complete metode,
% Completed,% Pabeigts,
% Installed,% Uzstādīts,
% Ordered,% Pasūtīts,
% Progress,% Progress,
% Received,% Saņemts,
% of materials billed against this Sales Order,% Materiālu jāmaksā pret šo pārdošanas pasūtījumu,
% of materials delivered against this Sales Order,% Materiālu piegādā pret šo pārdošanas pasūtījumu,
(Hour Rate / 60) * Actual Operation Time,(Stundas likme / 60) * Faktiskais darba laiks,
(including),(ieskaitot),
* Will be calculated in the transaction.,* Tiks aprēķināts darījumā.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Saimnieciskais gads ** pārstāv finanšu gads. Visus grāmatvedības ierakstus un citi lielākie darījumi kāpurķēžu pret ** fiskālā gada **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Mēneša Distribution ** palīdz izplatīt Budžeta / Target pāri mēnešiem, ja jums ir sezonalitātes jūsu biznesu.",
1 Loyalty Points = How much base currency?,1 Lojalitātes punkti = Cik bāzes valūta?,
1 hr,1 st,
2 Yearly,2 gadi,
30 mins,30 minūtes,
6 hrs,6 stundas,
"A Product or a Service that is bought, sold or kept in stock.","Produkts vai pakalpojums, kas tiek pirkti, pārdot vai turēt noliktavā.",
A condition for a Shipping Rule,Nosacījums Shipping Reglamenta,
A logical Warehouse against which stock entries are made.,Loģisks Noliktava pret kuru noliktavas ierakstu veikšanas.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Trešā persona izplatītājs / tirgotājs / komisijas pārstāvis / filiāli / izplatītāja, kurš pārdod uzņēmumiem produktus komisija.",
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,Ab,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.GGGG.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.GGGG.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Derīguma termiņš,
API,API,
API Endpoint,API galapunkts,
API Key,API atslēga,
Abbr,Abbr,
Abbreviation,Saīsinājums,
Academics User,akadēmiķi User,
Accepted,Pieņemts,
Accepted Qty,Pieņemts daudzums,
Accepted Quantity,Pieņemts daudzums,
Accepted Warehouse,Pieņemts Noliktava,
Access Token,Access Token,
Account,Konts,
Account Balance,Konta atlikuma,
Account Currency,Konta valūta,
Account Details,Konta informācija,
Account Head,Konts Head,
Account Manager,Kontu pārvaldnieks,
Account Name,Konta nosaukums,
Account Number,Konta numurs,
Account Paid From,Konts maksā no,
Account Paid To,Konts Paid To,
Account Subtype,Konta apakštips,
Account Type,Konta tips,
Account for Change Amount,Konts Mainīt summa,
Accounting,Grāmatvedība,
Accounting Details,Grāmatvedības Details,
Accounting Dimension,Grāmatvedības dimensija,
Accounting Dimension Detail,Grāmatvedības dimensijas detaļa,
Accounting Dimensions,Grāmatvedības dimensijas,
Accounting Dimensions ,Grāmatvedības izmēri,
Accounting Entries,Grāmatvedības Ieraksti,
Accounting Period,Grāmatvedības periods,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"Grāmatvedības ieraksti ir iesaldēti līdz šim datumam. Neviens nevar izveidot vai modificēt ierakstus, izņemot lietotājus ar tālāk norādīto lomu",
Accounts,Konti,
Accounts Frozen Till Date,Konti iesaldēti līdz datumam,
Accounts Manager,Accounts Manager,
Accounts Payable,Kreditoru,
Accounts Payable Summary,Kreditoru kopsavilkums,
Accounts Receivable,Debitoru parādi,
Accounts Receivable Credit Account,Debitoru parādi,
Accounts Receivable Discounted Account,Debitoru konti ar atlaidi,
Accounts Receivable Summary,Debitoru kopsavilkums,
Accounts Receivable Unpaid Account,"Debitoru parādi, kas nav apmaksāti",
Accounts Settings,Konti Settings,
Accounts User,Konti lietotāju,
Accumulated Depreciation,Uzkrātais nolietojums,
Accumulated Depreciation Account,Uzkrātais nolietojums konts,
Accumulated Depreciation Amount,Uzkrātais nolietojums Summa,
Acquisition Date,iegādes datums,
Action,Darbība,
Action If Quality Inspection Is Not Submitted,"Rīcība, ja kvalitātes pārbaude nav iesniegta",
