%  Delivered,% Дадени,
% Amount Billed,% Износ Опишан,
% Billed,% Опишан,
% Complete Method,% Комплетен метод,
% Completed,% Завршено,
% Installed,% Инсталирана,
% Ordered,Нареди%,
% Progress,напредок%,
% Received,% Доби,
% of materials billed against this Sales Order,% На материјали фактурирани против оваа Продај Побарувања,
% of materials delivered against this Sales Order,% На материјалите доставени од оваа Продај Побарувања,
(Hour Rate / 60) * Actual Operation Time,(Час Оцени / 60) * Крај на време операција,
(including),(вклучувајќи),
* Will be calculated in the transaction.,* Ќе се пресметува во трансакцијата.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Фискалната година ** претставува финансиска година. Сите сметководствени записи и други големи трансакции се следи против ** ** фискалната година.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** ** Месечен Дистрибуција помага да се дистрибуираат на буџетот / Целна низ месеци, ако има сезоната во вашиот бизнис.",
1 Loyalty Points = How much base currency?,1 Поени за лојалност = Колку основна валута?,
1 hr,1 час,
2 Yearly,2 Годишно,
30 mins,30 мин,
6 hrs,6 часа,
"A Product or a Service that is bought, sold or kept in stock.","А производ или услуга, која е купен, кои се продаваат или се чуваат во парк.",
A condition for a Shipping Rule,Услов за испорака Правило,
A logical Warehouse against which stock entries are made.,Логична Магацински против кои се направени записи парк.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Трето лице дистрибутер / дилер / комисионен застапник / партнер / препродавач кој ги продава компании производи за провизија.,
A+,A +,
A-,А-,
A4,А4,
AB+,AB +,
AB-,амортизираат,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,АМЦ датумот на истекување,
API,API,
API Endpoint,Крајна точка на API,
API Key,API клуч,
Abbr,Abbr,
Abbreviation,Кратенка,
Academics User,академиците пристап,
Accepted,Прифатени,
Accepted Qty,Прифатена количина,
Accepted Quantity,Прифатени Кол,
Accepted Warehouse,Прифатени Магацински,
Access Token,Пристап знак,
Account,Сметка,
Account Balance,Баланс на сметка,
Account Currency,Валута сметка,
Account Details,детали за сметка,
Account Head,Сметка на главата,
Account Manager,Менаџер на сметки,
Account Name,Име на сметка,
Account Number,Број на сметка,
Account Paid From,Сметка платени од,
Account Paid To,Сметка Платиле да,
Account Subtype,Подтип на сметката,
Account Type,Тип на сметка,
Account for Change Amount,Сметка за промени Износ,
Accounting,Сметководство,
Accounting Details,Детали за сметководство,
Accounting Dimension,Димензија на сметководство,
Accounting Dimension Detail,Детал за сметководствена димензија,
Accounting Dimensions,Димензии на сметководството,
Accounting Dimensions ,Димензии на сметководството,
Accounting Entries,Сметководствени записи,
Accounting Period,Период на сметководство,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"Сметководствените записи се замрзнати до овој датум. Никој не може да креира или менува записи, освен корисниците со улогата наведена подолу",
Accounts,Сметки,
Accounts Frozen Till Date,Сметките замрзнати до датумот,
Accounts Manager,Менаџер сметки,
Accounts Payable,Сметки се плаќаат,
Accounts Payable Summary,Сметки се плаќаат Резиме,
Accounts Receivable,Побарувања,
Accounts Receivable Credit Account,Кредитна сметка за побарувања на сметки,
Accounts Receivable Discounted Account,Надомест за отплата на сметки,
Accounts Receivable Summary,Побарувања Резиме,
Accounts Receivable Unpaid Account,Неплатена сметка за побарувања на сметки,
Accounts Settings,Сметки Settings,
Accounts User,Кориснички сметки,
Accumulated Depreciation,Акумулираната амортизација,
Accumulated Depreciation Account,Акумулирана амортизација сметка,
Accumulated Depreciation Amount,Акумулирана амортизација Износ,
Acquisition Date,Датум на стекнување,
Action,Акција,
Action If Quality Inspection Is Not Submitted,Дејство ако не е доставена проверка на квалитетот,
Action if Accumulated Monthly Budget Exceeded on Actual,Акција ако се пресмета акумулираниот месечен буџет на актуелниот,
Action if Accumulated Monthly Budget Exceeded on MR,"Акција, ако акумулираниот месечен буџет е надминат на MR",
Action if Accumulated Monthly Budget Exceeded on PO,Акција доколку превземениот месечен буџет е надминат на PO,
Action if Annual Budget Exceeded on Actual,Акција доколку годишниот буџет се надмине со актуелниот,
Action if Annual Budget Exceeded on MR,Акција ако годишниот буџет е надминат на МР,
Action if Annual Budget Exceeded on PO,Акција доколку Годишниот буџет е надминат на PO,
Actions,Активности,
Actions performed,Извршени акции,
Active,Активен,
Activities,Активности,
Activity Cost,Цена активност,
Activity Type,Тип на активност,
Actual,Актуелно,
Actual Batch Quantity,Крајна количина на серија,
Actual Date,Крај Датум,
Actual End Date,Крај Крај Датум,
Actual End Date (via Timesheet),Крај Крај Датум (преку време лист),
Actual End Time,Крај Крај,
Actual Operating Cost,Крај на оперативни трошоци,
Actual Operation Time,Крај на време операција,
Actual Qty,Крај на Количина,
Actual Qty (at source/target),Крај Количина (на изворот на / target),
Actual Start Date,Старт на проектот Датум,
Actual Start Date (via Timesheet),Старт на проектот Датум (преку време лист),
Actual Start Time,Старт на проектот Време,
Actual Time and Cost,Крај на време и трошоци,
Actual Time in Hours (via Timesheet),Крај на времето (во часови),
Add,Додавање,
Add Quote,Додади цитат,
Add Weekly Holidays,Додади неделни празници,
Add or Deduct,Додадете или да одлежа,
Add to Holidays,Додади во празници,
Add to Transit,Додај во транзит,
Additional Cost,Дополнителни трошоци,
Additional Costs,Е вклучена во цената,
Additional DIscount Amount,Дополнителен попуст Износ,
Additional DIscount Percentage,Дополнителен попуст Процент,
Additional Details,дополнителни детали,
Additional Discount,Дополнителен попуст,
Additional Discount Amount,Дополнителен износ на попуст,
Additional Discount Amount (Company Currency),Дополнителен попуст Износ (Фирма валута),
Additional Discount Percentage,Дополнителен процент на попуст,
Additional Information,дополнителни информации,
Additional Notes,дополнителни забелешки,
Additional Operating Cost,Дополнителни оперативни трошоци,
Additional information regarding the customer.,Дополнителни информации во врска со клиентите.,
Address,Адреса,
Address & Contact,Адреса и контакт,
Address & Contacts,Адреса и контакти,
Address Desc,Адреса Desc,
Address HTML,HTML адреса,
Address Line 1,Адреса Линија 1,
Address Line 2,Адреса Линија 2,
Address Name,адреса,
Address and Contact,Адреса и контакт,
Address and Contacts,Адреса и контакти,
Address used to determine Tax Category in transactions,Адреса што се користи за утврдување на категоријата данок во трансакциите,
Addresses,Адреси,
Administrator,Администратор,
Advance Account,Однапред сметка,
Advance Amount,Однапред износ,
Advance Paid,Однапред платени,
Advance Payments,Аконтации,
Advance amount,Однапред Износ,
Advanced Settings,Напредни поставувања,
Advances,Напредокот,
Against,Против,
Against Account,Против профил,
Against Blanket Order,Против ред за ќебе,
Against Delivery Note Item,Против ставката за испорака,
Against Docname,Против Docname,
Against Doctype,Против DOCTYPE,
Against Document Detail No,Против Детална л.к,
Against Document No,Против л.к,
Against Expense Account,Против сметка сметка,
Against Income Account,Против профил доход,
Against Sales Invoice,Во однос на Продажна фактура,
Against Sales Invoice Item,Во однос на ставка од Продажна фактура,
Against Sales Order,Против Продај Побарувања,
Against Sales Order Item,Во однос на ставка од продажна нарачка,
Against Stock Entry,Против запишување на акции,
Against Voucher,Против ваучер,
Against Voucher Type,Против ваучер Тип,
Ageing Based On,Стареењето Врз основа на,
Agenda,Агенда,
Agent Details,Детали за агентот,
Agents,Агенти,
Agriculture Manager,Земјоделски менаџер,
Agriculture User,Земјоделски корисник,
All,Сите,
All Contact,Сите Контакт,
All Customer Contact,Сите корисници Контакт,
All Employee (Active),Сите вработените (Активни),
All Lead (Open),Сите Потенцијални клиенти (Отворени),
All Sales Partner Contact,Сите Продажбата партнер контакт,
All Sales Person,Сите продажбата на лице,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Сите Продажбата Трансакцијата може да бидат означени против повеќе ** продажба на лица **, така што ќе може да се постави и да се следи цели.",
All Supplier Contact,Сите Добавувачот Контакт,
Allocate Advances Automatically (FIFO),Автоматско распределување на напредокот (FIFO),
Allocate Payment Based On Payment Terms,Доделување на плаќањето врз основа на условите за плаќање,
Allocated,Распределуваат,
Allocated Amount,"Лимит,",
Allocated amount,"Лимит,",
Allocation,Распределба,
Allow,Дозволи,
Allow Account Creation Against Child Company,Дозволи креирање на сметка против компанија за деца,
Allow Alternative Item,Дозволи алтернативна ставка,
Allow In Returns,Дозволи за возврат,
Allow Item To Be Added Multiple Times in a Transaction,Дозволете ставка да се додаде повеќе пати во трансакција,
Allow Material Transfer from Delivery Note to Sales Invoice,Дозволете трансфер на материјал од испратница до фактура за продажба,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,Дозволете трансфер на материјал од потврда за набавка до фактура за набавка,
Allow Multiple Sales Orders Against a Customer's Purchase Order,Дозволете повеќе налози за продажба против налогот за купување на клиентот,
Allow Negative Stock,Дозволете негативна состојба,
Allow Overtime,Дозволете Прекувремена работа,
Allow Production on Holidays,Овозможете производството за празниците,
Allow Purchase Invoice Creation Without Purchase Order,Дозволете создавање фактури без налог за набавка,
Allow Purchase Invoice Creation Without Purchase Receipt,Дозволете креирање на фактура за набавка без потврда за набавка,
Allow Rename Attribute Value,Дозволи преименување на вредноста на атрибутот,
Allow Resetting Service Level Agreement,Дозволи ресетирање на договорот за ниво на услуга,
Allow Sales Invoice Creation Without Delivery Note,Дозволете создавање фактури за продажба без белешка за испорака,
Allow Sales Invoice Creation Without Sales Order,Дозволете создавање фактури за продажба без налог за продажба,
Allow Stale Exchange Rates,Дозволи замени стапки на размена,
Allow User to Edit Price List Rate in Transactions,Дозволете му на корисникот да ја измени стапката на ценовникот во трансакциите,
Allow Zero Valuation Rate,Дозволете нула Вреднување курс,
Allowed,Дозволено,
Allowed To Transact With,Дозволено да се справи со,
Alternative Item Code,Код на алтернативна точка,
Alternative Item Name,Алтернативна ставка,
Amended From,Изменет Од,
Amount,Износ,
Amount (Company Currency),Износ (Фирма валута),
Amount Difference,износот на разликата,
Amount In Figure,Износ во слика,
Amount in customer's currency,Износ во валута на клиентите,
Annual Expenses,годишните трошоци,
Annual Income,Годишен приход,
Applicable Charges,Се применува Давачки,
Applicable For,Применливи за,
Applicable Holiday List,Применливи летни Листа,
Applicable Modules,Применливи модули,
Applicable To (Designation),Применливи To (Означување),
Applicable To (Employee),Применливи To (вработените),
Applicable To (Role),Применливи To (Споредна улога),
Applicable To (User),Се применуваат за (Корисник),
Applicable for Countries,Применливи за земјите,
Applicable for Users,Применливо за корисници,
Applicable for external driver,Применливо за надворешен возач,
Applicable on Material Request,Применливо за материјално барање,
Applicable on Purchase Order,Применливо на Нарачка за нарачка,
Applicable on booking actual expenses,Применливи при резервација на реалните трошоци,
Application Settings,Поставки за апликации,
Apply Additional Discount On,Да важат и дополнителни попуст на,
Apply Discount On,Применуваат попуст на,
Apply Discount on Discounted Rate,Примени попуст на попуст,
Apply Discount on Rate,Применуваат попуст на стапка,
Apply Multiple Pricing Rules,Применуваат повеќе правила за цени,
Apply On,Apply On,
Apply Rule On Brand,Применуваат правило за бренд,
Apply Rule On Item Code,Применете правило за шифра на точка,
Apply Rule On Item Group,Применете правило за групата на артикли,
Apply Rule On Other,Применуваат правило за други,
Apply Tax Withholding Amount,Да го примени износот на задржување на данокот,
Appointment,Назначување,
Appointment Booking Settings,Поставки за резервации за назначувања,
Appointment Booking Slots,Ознаки за резервации за резервации,
Appointment Details,Детали за назначување,
Appointment Duration (In Minutes),Времетраење на назначување (за минути),
Appointment With,Назначување со,
Appraisal Template,Процена Шаблон,
Approvers,Аверверзно,
Approving Role (above authorized value),Одобрување Улогата (над овластени вредност),
Approving User  (above authorized value),Одобрување на пристап (над овластени вредност),
Area,Површина,
Area UOM,Површина UOM,
As per Stock UOM,Како по акција UOM,
Asset,Средства,
Asset Account,Сметка на средства,
Asset Category,средства Категорија,
Asset Category Account,Средства Категорија сметка,
Asset Category Name,Средства Име на категоријата,
Asset Depreciation Cost Center,Центар Амортизација Трошоци средства,
Asset Depreciation Ledger,Асет Амортизација Леџер,
Asset Depreciations and Balances,Средства амортизација и рамнотежа,
Asset Details,Детали за средства,
Asset Finance Book,Асет финансии книга,
Asset Location,Локација на имот,
Asset Maintenance,Одржување на средства,
Asset Maintenance Log,Дневник за одржување на средства,
Asset Maintenance Task,Задача за одржување на средства,
Asset Maintenance Team,Тим за одржување на средства,
Asset Movement,средства движење,
Asset Movement Item,Ставка за движење на средства,
Asset Name,Име на средства,
Asset Naming Series,Серија на именување на средства,
Asset Owner,Сопственик на средства,
Asset Owner Company,Друштво за сопственост на средства,
Asset Received But Not Billed,"Средства добиени, но не се наплаќаат",
Asset Repair,Поправка на средства,
Asset Status,Статус на состојба,
Asset Value,Вредност на средството,
Asset Value Adjustment,Прилагодување на вредноста на средствата,
Assets,Средства,
Assign To,За да доделите,
Assign to Name,Доделете се на Име,
"Attach .csv file with two columns, one for the old name and one for the new name","Прикачи CSV датотека со две колони, еден за старото име и еден за ново име",
Attach custom Chart of Accounts file,Прикачи датотека со прилагодена шема на сметки,
Attachment,Прилог,
Attendance Device ID (Biometric/RF tag ID),ID на уредот за посетеност (биометриски / RF ознака за означување),
Attribute,Атрибут,
Attribute Name,Атрибут Име,
Attribute Value,Вредноста на атрибутот,
Auditor,Ревизор,
Authorised By,Овластен од,
Authorization Control,Овластување за контрола,
Authorization Endpoint,Крајна точка на авторизација,
Authorization Rule,Овластување Правило,
Authorization Settings,Поставки за авторизација,
Authorization URL,URL на авторизација,
Authorized Value,Овластен Вредност,
Auto Create Assets on Purchase,Автоматско создавање на средства за набавка,
Auto Created,Автоматски креирано,
Auto Material Request,Авто материјал Барање,
Auto Name,Авто Име,
Auto Opt In (For all customers),Автоматско вклучување (за сите корисници),
Auto Repeat,Автоматско повторување,
