%  Delivered,% കൈമാറി,
% Amount Billed,ഈടാക്കൂ% തുക,
% Billed,% വസതി,
% Complete Method,% പൂർത്തിയായി രീതി,
% Completed,% പൂർത്തിയാക്കിയത്,
% Installed,% ഇൻസ്റ്റാളുചെയ്തു,
% Ordered,% ക്രമപ്പെടുത്തിയ,
% Progress,% പുരോഗതി,
% Received,% ലഭിച്ചു,
% of materials billed against this Sales Order,ഈ സെയിൽസ് ഓർഡർ നേരെ ഈടാക്കും വസ്തുക്കൾ%,
% of materials delivered against this Sales Order,ഈ സെയിൽസ് ഓർഡർ നേരെ ഏല്പിച്ചു വസ്തുക്കൾ%,
(Hour Rate / 60) * Actual Operation Time,(അന്ത്യസമയം റേറ്റ് / 60) * യഥാർത്ഥ ഓപ്പറേഷൻ സമയം,
(including),(ഉൾപ്പെടെ),
* Will be calculated in the transaction.,* ഇടപാടിലും കണക്കു കൂട്ടുക.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** സാമ്പത്തിക വർഷത്തെ ** ഒരു സാമ്പത്തിക വർഷം പ്രതിനിധീകരിക്കുന്നത്. എല്ലാ അക്കൗണ്ടിങ് എൻട്രികൾ മറ്റ് പ്രധാന ഇടപാടുകൾ ** ** സാമ്പത്തിക വർഷത്തിൽ നേരെ അത്രകണ്ട്.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** പ്രതിമാസ വിതരണം ** നിങ്ങളുടെ ബിസിനസ്സിൽ seasonality ഉണ്ടെങ്കിൽ മാസം ഉടനീളം ബജറ്റ് / target വിതരണം സഹായിക്കുന്നു.,
1 Loyalty Points = How much base currency?,1 ലോയൽറ്റി പോയിന്റുകൾ = ബേസ് കറൻസി എത്രയാണ്?,
1 hr,1 മ,
2 Yearly,2 വാർഷികം,
30 mins,30 മിനിറ്റ്,
6 hrs,6 മണിക്കൂർ,
"A Product or a Service that is bought, sold or kept in stock.","ഒരു ഉല്പന്നം അല്ലെങ്കിൽ സ്റ്റോക്ക്, വാങ്ങിയ വിറ്റു അല്ലെങ്കിൽ സൂക്ഷിച്ചു ഒരു സേവനം.",
A condition for a Shipping Rule,ഒരു ഷിപ്പിംഗ് റൂൾ വ്യവസ്ഥ,
A logical Warehouse against which stock entries are made.,സ്റ്റോക്ക് എൻട്രികൾ നിർമ്മിക്കുന്ന നേരെ ഒരു ലോജിക്കൽ വെയർഹൗസ്.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,ഒരു കമ്മീഷൻ കമ്പനികൾ ഉൽപ്പന്നങ്ങൾ വിൽക്കുന്നു ഒരു മൂന്നാം കക്ഷി വിതരണക്കാരനായ / ഡീലർ / കമ്മീഷൻ ഏജന്റ് / അനുബന്ധ / റീസെല്ലറിനെ.,
A+,എ +,
A-,A-,
A4,എ 4,
AB+,എബി +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV- .YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV -YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ -YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV -YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,എഎംസി കാലഹരണ തീയതി,
API,API,
API Endpoint,API എൻഡ്പോയിന്റ്,
API Key,API കീ,
Abbr,Abbr,
Abbreviation,ചുരുക്കല്,
Academics User,അക്കാദമിക ഉപയോക്താവ്,
Accepted,സ്വീകരിച്ചു,
Accepted Qty,ക്യൂട്ടി സ്വീകരിച്ചു,
Accepted Quantity,അംഗീകരിച്ചു ക്വാണ്ടിറ്റി,
Accepted Warehouse,അംഗീകരിച്ച വെയർഹൗസ്,
Access Token,അക്സസ് ടോക്കൺ,
Account,അക്കൗണ്ട്,
Account Balance,അക്കൗണ്ട് ബാലൻസ്,
Account Currency,അക്കൗണ്ട് കറന്സി,
Account Details,അക്കൗണ്ട് വിശദാംശങ്ങൾ,
Account Head,അക്കൗണ്ട് ഹെഡ്,
Account Manager,അക്കൗണ്ട് മാനേജർ,
Account Name,അക്കൗണ്ട് നാമം,
Account Number,അക്കൗണ്ട് നമ്പർ,
Account Paid From,അക്കൗണ്ടിൽ നിന്ന് പണമടച്ചു,
Account Paid To,അക്കൗണ്ടിലേക്ക് പണമടച്ചു,
Account Subtype,അക്ക Sub ണ്ട് ഉപതരം,
Account Type,അക്കൗണ്ട് തരം,
Account for Change Amount,തുക മാറ്റത്തിനായി അക്കൗണ്ട്,
Accounting,അക്കൗണ്ടിംഗ്,
Accounting Details,അക്കൗണ്ടിംഗ് വിശദാംശങ്ങൾ,
Accounting Dimension,അക്ക ing ണ്ടിംഗ് അളവ്,
Accounting Dimension Detail,അക്ക ing ണ്ടിംഗ് അളവ് വിശദാംശം,
Accounting Dimensions,അക്ക ing ണ്ടിംഗ് അളവുകൾ,
Accounting Dimensions ,അക്ക ing ണ്ടിംഗ് അളവുകൾ,
Accounting Entries,അക്കൗണ്ടിംഗ് എൻട്രികൾ,
Accounting Period,അക്കൗണ്ടിംഗ് കാലയളവ്,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,അക്ക ing ണ്ടിംഗ് എൻ‌ട്രികൾ‌ ഈ തീയതി വരെ ഫ്രീസുചെയ്‌തു. ചുവടെ വ്യക്തമാക്കിയ റോൾ ഉള്ള ഉപയോക്താക്കൾ ഒഴികെ ആർക്കും എൻ‌ട്രികൾ സൃഷ്‌ടിക്കാനോ പരിഷ്‌ക്കരിക്കാനോ കഴിയില്ല,
Accounts,അക്കൗണ്ടുകൾ,
Accounts Frozen Till Date,തീയതി വരെ അക്കൗണ്ടുകൾ മരവിപ്പിച്ചു,
Accounts Manager,അക്കൗണ്ടുകൾ മാനേജർ,
Accounts Payable,നൽകാനുള്ള പണം,
Accounts Payable Summary,അക്കൗണ്ടുകൾ അടയ്ക്കേണ്ട ചുരുക്കം,
Accounts Receivable,സ്വീകാരയോഗ്യമായ കണക്കുകള്,
Accounts Receivable Credit Account,സ്വീകാര്യമായ ക്രെഡിറ്റ് അക്കൗണ്ട്,
Accounts Receivable Discounted Account,സ്വീകാര്യമായ ഡിസ്കൗണ്ട് അക്കൗണ്ടുകൾ,
Accounts Receivable Summary,അക്കൗണ്ടുകൾ സ്വീകാര്യം ചുരുക്കം,
Accounts Receivable Unpaid Account,സ്വീകരിക്കേണ്ട അക്കൗണ്ടുകൾ അടയ്ക്കാത്ത അക്കൗണ്ട്,
Accounts Settings,ക്രമീകരണങ്ങൾ അക്കൗണ്ടുകൾ,
Accounts User,ഉപയോക്തൃ അക്കൗണ്ടുകൾ,
Accumulated Depreciation,മൊത്ത വിലയിടിവ്,
Accumulated Depreciation Account,സൂക്ഷിക്കുന്നത് മൂല്യത്തകർച്ച അക്കൗണ്ട്,
Accumulated Depreciation Amount,സൂക്ഷിക്കുന്നത് മൂല്യത്തകർച്ച തുക,
Acquisition Date,ഏറ്റെടുക്കൽ തീയതി,
Action,ആക്ഷൻ,
Action If Quality Inspection Is Not Submitted,ഗുണനിലവാര പരിശോധന സമർപ്പിച്ചില്ലെങ്കിൽ നടപടി,
Action if Accumulated Monthly Budget Exceeded on Actual,ആഗമിച്ചെടുത്ത പ്രതിമാസ ബജറ്റ് യഥാർത്ഥത്തിൽ കവിഞ്ഞു,
Action if Accumulated Monthly Budget Exceeded on MR,എം.ആർ.,
Action if Accumulated Monthly Budget Exceeded on PO,സമയാസമയങ്ങളിലുള്ള പ്രതിമാസ ബജറ്റ് പിഒയിൽ കവിഞ്ഞതാണോ?,
Action if Annual Budget Exceeded on Actual,വാർഷിക ബജറ്റ് യഥാർത്ഥത്തിൽ കവിഞ്ഞതാണെങ്കിൽ നടപടി,
Action if Annual Budget Exceeded on MR,വാർഷിക ബജറ്റ് എം.ആർ.,
Action if Annual Budget Exceeded on PO,വാർഷിക ബജറ്റ് പി.ഒ.,
Actions,ക്രിയകൾ,
Actions performed,പ്രവർത്തനങ്ങൾ നടത്തി,
Active,സജീവ,
Activities,പ്രവർത്തനങ്ങൾ,
Activity Cost,പ്രവർത്തന ചെലവ്,
Activity Type,പ്രവർത്തന തരം,
Actual,യഥാർത്ഥം,
Actual Batch Quantity,യഥാർത്ഥ ബാച്ച് അളവ്,
Actual Date,യഥാർഥ,
Actual End Date,യഥാർത്ഥ അവസാന തീയതി,
Actual End Date (via Timesheet),യഥാർത്ഥ അവസാന തീയതി (ടൈം ഷീറ്റ് വഴി),
Actual End Time,യഥാർത്ഥ അവസാനിക്കുന്ന സമയം,
Actual Operating Cost,യഥാർത്ഥ ഓപ്പറേറ്റിംഗ് ചെലവ്,
Actual Operation Time,യഥാർത്ഥ ഓപ്പറേഷൻ സമയം,
Actual Qty,യഥാർത്ഥ Qty,
Actual Qty (at source/target),(ഉറവിടം / ലക്ഷ്യം ന്) യഥാർത്ഥ Qty,
Actual Start Date,യഥാർത്ഥ ആരംഭ തീയതി,
Actual Start Date (via Timesheet),യഥാർത്ഥ ആരംഭ തീയതി (ടൈം ഷീറ്റ് വഴി),
Actual Start Time,യഥാർത്ഥ ആരംഭിക്കേണ്ട സമയം,
Actual Time and Cost,യഥാർത്ഥ സമയവും ചെലവ്,
Actual Time in Hours (via Timesheet),(അവേഴ്സ്) യഥാർത്ഥ സമയം,
Add,ചേർക്കുക,
Add Quote,ഉദ്ധരണി ചേർക്കുക,
Add Weekly Holidays,പ്രതിവാര അവധി ദിവസങ്ങൾ ചേർക്കുക,
Add or Deduct,ചേർക്കുകയോ കുറയ്ക്കാവുന്നതാണ്,
Add to Holidays,അവധിദിനങ്ങളിൽ ചേർക്കുക,
Add to Transit,ട്രാൻസിറ്റിലേക്ക് ചേർക്കുക,
Additional Cost,അധിക ചെലവ്,
Additional Costs,അധിക ചെലവ്,
Additional DIscount Amount,അധിക ഡിസ്ക്കൌണ്ട് തുക,
Additional DIscount Percentage,അധിക കിഴിവും ശതമാനം,
Additional Details,കൂടുതൽ വിവരങ്ങൾ,
Additional Discount,അധിക ഡിസ്ക്കൌണ്ട്,
Additional Discount Amount,അധിക കിഴിവ് തുക,
Additional Discount Amount (Company Currency),അഡീഷണൽ കിഴിവ് തുക (കമ്പനി കറൻസി),
Additional Discount Percentage,അധിക കിഴിവ് ശതമാനം,
Additional Information,അധിക വിവരം,
Additional Notes,അധിക കുറിപ്പുകൾ,
Additional Operating Cost,അധിക ഓപ്പറേറ്റിംഗ് ചെലവ്,
Additional information regarding the customer.,ഉപഭോക്തൃ സംബന്ധിച്ച കൂടുതൽ വിവരങ്ങൾ.,
Address,വിലാസം,
Address & Contact,വിലാസം &amp; ബന്ധപ്പെടാനുള്ള,
Address & Contacts,വിലാസം &amp; ബന്ധങ്ങൾ,
Address Desc,DESC വിലാസ,
Address HTML,വിലാസം എച്ച്ടിഎംഎൽ,
Address Line 1,വിലാസ ലൈൻ 1,
Address Line 2,വിലാസം വരി 2,
Address Name,വിലാസം പേര്,
Address and Contact,വിശദാംശവും ബന്ധപ്പെടാനുള്ള,
Address and Contacts,വിശദാംശവും ബന്ധങ്ങൾ,
Address used to determine Tax Category in transactions,ഇടപാടുകളിൽ നികുതി വിഭാഗം നിർണ്ണയിക്കാൻ ഉപയോഗിക്കുന്ന വിലാസം,
Addresses,വിലാസങ്ങൾ,
Administrator,അഡ്മിനിസ്ട്രേറ്റർ,
Advance Account,മുൻകൂർ അക്കൗണ്ട്,
Advance Amount,മുൻകൂർ തുക,
Advance Paid,മുൻകൂർ പണമടച്ചു,
Advance Payments,പേയ്മെൻറുകൾ അഡ്വാൻസ്,
Advance amount,മുൻകൂർ തുക,
Advanced Settings,വിപുലമായ ക്രമീകരണങ്ങൾ,
Advances,അഡ്വാൻസുകളും,
Against,എഗെൻസ്റ്റ്,
Against Account,അക്കൗണ്ടിനെതിരായ,
Against Blanket Order,പുതപ്പ് ഉത്തരവിനെതിരെ,
Against Delivery Note Item,ഡെലിവറി കുറിപ്പ് ഇനത്തിനെതിരെ,
Against Docname,Docname എഗെൻസ്റ്റ്,
Against Doctype,Doctype എഗെൻസ്റ്റ്,
Against Document Detail No,ഡോക്യുമെന്റ് വിശദാംശം പോസ്റ്റ് എഗൻസ്റ്റ്,
Against Document No,ഡോക്യുമെന്റ് പോസ്റ്റ് എഗെൻസ്റ്റ്,
Against Expense Account,ചിലവേറിയ എഗെൻസ്റ്റ്,
Against Income Account,ആദായ അക്കൗണ്ടിനെതിരായ,
Against Sales Invoice,സെയിൽസ് ഇൻവോയിസ് എഗെൻസ്റ്റ്,
Against Sales Invoice Item,സെയിൽസ് ഇൻവോയിസ് ഇനം എഗെൻസ്റ്റ്,
Against Sales Order,സെയിൽസ് എതിരായ,
Against Sales Order Item,സെയിൽസ് ഓർഡർ ഇനം എഗെൻസ്റ്റ്,
Against Stock Entry,സ്റ്റോക്ക് എൻട്രിക്കെതിരെ,
Against Voucher,വൗച്ചർ എഗെൻസ്റ്റ്,
Against Voucher Type,വൗച്ചർ തരം എഗെൻസ്റ്റ്,
Ageing Based On,എയ്ജിങ് അടിസ്ഥാനത്തിൽ ഓൺ,
Agenda,അജണ്ട,
Agent Details,ഏജന്റ് വിശദാംശങ്ങൾ,
Agents,ഏജന്റുമാർ,
Agriculture Manager,കൃഷി മാനേജർ,
Agriculture User,കൃഷി ഉപയോക്താവ്,
All,എല്ലാം,
All Contact,എല്ലാ കോൺടാക്റ്റ്,
All Customer Contact,എല്ലാ കസ്റ്റമർ കോൺടാക്റ്റ്,
All Employee (Active),എല്ലാ ജീവനക്കാരുടെ (സജീവമായ),
All Lead (Open),എല്ലാ ലീഡ് (തുറക്കുക),
All Sales Partner Contact,എല്ലാ സെയിൽസ് പങ്കാളി കോണ്ടാക്ട്,
All Sales Person,എല്ലാ സെയിൽസ് വ്യാക്തി,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,എല്ലാ സെയിൽസ് ഇടപാട് ഒന്നിലധികം ** സെയിൽസ് പേഴ്സൺസ് നേരെ ടാഗ് ചെയ്യാൻ കഴിയും ** നിങ്ങൾ ലക്ഷ്യങ്ങളിലൊന്നാണ് സജ്ജമാക്കാൻ നിരീക്ഷിക്കുവാനും കഴിയും.,
All Supplier Contact,എല്ലാ വിതരണക്കാരൻ കോൺടാക്റ്റ്,
Allocate Advances Automatically (FIFO),ഓട്ടോമാറ്റിക്കായി സ്പോൺസർ ചെയ്യുക (ഫിഫ),
Allocate Payment Based On Payment Terms,പേയ്‌മെന്റ് നിബന്ധനകളെ അടിസ്ഥാനമാക്കി പേയ്‌മെന്റ് അനുവദിക്കുക,
Allocated,അലോക്കേറ്റഡ്,
Allocated Amount,പദ്ധതി തുക,
Allocated amount,പദ്ധതി തുക,
Allocation,വിഹിതം,
Allow,അനുവദിക്കുക,
Allow Account Creation Against Child Company,ചൈൽഡ് കമ്പനിക്കെതിരെ അക്കൗണ്ട് സൃഷ്ടിക്കൽ അനുവദിക്കുക,
Allow Alternative Item,ഇതര ഇനം അനുവദിക്കുക,
Allow In Returns,റിട്ടേണുകളിൽ അനുവദിക്കുക,
Allow Item To Be Added Multiple Times in a Transaction,ഒരു ഇടപാടിൽ ഒന്നിലധികം തവണ ഇനം ചേർക്കാൻ അനുവദിക്കുക,
Allow Material Transfer from Delivery Note to Sales Invoice,ഡെലിവറി കുറിപ്പിൽ നിന്ന് സെയിൽസ് ഇൻവോയ്സിലേക്ക് മെറ്റീരിയൽ കൈമാറ്റം അനുവദിക്കുക,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,പർച്ചേസ് രസീതിൽ നിന്ന് വാങ്ങൽ ഇൻവോയ്സിലേക്ക് മെറ്റീരിയൽ കൈമാറ്റം അനുവദിക്കുക,
Allow Multiple Sales Orders Against a Customer's Purchase Order,ഒരു ഉപഭോക്താവിന്റെ വാങ്ങൽ ഓർഡറിനെതിരെ ഒന്നിലധികം വിൽപ്പന ഓർഡറുകൾ അനുവദിക്കുക,
Allow Negative Stock,നെഗറ്റീവ് സ്റ്റോക്ക് അനുവദിക്കുക,
Allow Overtime,അധികസമയം അനുവദിക്കുക,
Allow Production on Holidays,അവധിദിനങ്ങളിൽ പ്രൊഡക്ഷൻ അനുവദിക്കുക,
Allow Purchase Invoice Creation Without Purchase Order,വാങ്ങൽ ഓർഡർ ഇല്ലാതെ വാങ്ങൽ ഇൻവോയ്സ് സൃഷ്ടിക്കൽ അനുവദിക്കുക,
Allow Purchase Invoice Creation Without Purchase Receipt,വാങ്ങൽ രസീത് ഇല്ലാതെ വാങ്ങൽ ഇൻവോയ്സ് സൃഷ്ടിക്കൽ അനുവദിക്കുക,
Allow Rename Attribute Value,ഗുണനാമത്തിന്റെ പ്രതീക മൂല്യം അനുവദിക്കുക,
Allow Resetting Service Level Agreement,സേവന ലെവൽ കരാർ പുന et സജ്ജമാക്കാൻ അനുവദിക്കുക,
Allow Sales Invoice Creation Without Delivery Note,ഡെലിവറി കുറിപ്പില്ലാതെ സെയിൽസ് ഇൻവോയ്സ് സൃഷ്ടിക്കാൻ അനുവദിക്കുക,
Allow Sales Invoice Creation Without Sales Order,സെയിൽസ് ഓർഡർ ഇല്ലാതെ സെയിൽസ് ഇൻവോയ്സ് സൃഷ്ടിക്കാൻ അനുവദിക്കുക,
Allow Stale Exchange Rates,സ്റ്റേലെറ്റ് എക്സ്ചേഞ്ച് നിരക്കുകൾ അനുവദിക്കുക,
Allow User to Edit Price List Rate in Transactions,ഇടപാടുകളിലെ വില പട്ടിക നിരക്ക് എഡിറ്റുചെയ്യാൻ ഉപയോക്താവിനെ അനുവദിക്കുക,
Allow Zero Valuation Rate,സീറോ മൂലധനം നിരക്ക് അനുവദിക്കുക,
Allowed,അനുവദനീയം,
Allowed To Transact With,കൈമാറാൻ അനുവദിച്ചിരിക്കുന്നു,
Alternative Item Code,ഇതര ഇന കോഡ്,
Alternative Item Name,ഇതര ഇന നാമം,
Amended From,നിന്ന് ഭേദഗതി,
Amount,തുക,
Amount (Company Currency),തുക (കമ്പനി കറൻസി),
Amount Difference,തുക വ്യത്യാസം,
Amount In Figure,ചിത്രം തുക,
Amount in customer's currency,ഉപഭോക്താവിന്റെ കറൻസി തുക,
Annual Expenses,വാർഷിക ചെലവുകൾ,
Annual Income,വാർഷിക വരുമാനം,
