%  Delivered,% वितरण,
% Amount Billed,% रक्कम बिल,
% Billed,% बिल,
% Complete Method,% पूर्ण पद्धत,
% Completed,% पूर्ण,
% Installed,% स्थापित,
% Ordered,% आदेश दिले,
% Progress,% प्रगती,
% Received,% मिळाले,
% of materials billed against this Sales Order,साहित्याचे % या विक्री ऑर्डर विरोधात बिल केले आहे,
% of materials delivered against this Sales Order,साहित्याचे % या विक्री ऑर्डर  विरोधात वितरित केले आहे,
(Hour Rate / 60) * Actual Operation Time,(तास रेट / 60) * प्रत्यक्ष ऑपरेशन वेळ,
(including),(यासह),
* Will be calculated in the transaction.,* व्यवहारामधे  हिशोब केला जाईल.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**आर्थिक वर्ष** एक आर्थिक वर्ष प्रस्तुत करते. सर्व लेखा नोंदणी व इतर प्रमुख व्यवहार **आर्थिक वर्ष** विरुद्ध नियंत्रीत केले जाते.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** मासिक वितरण ** आपण आपल्या व्यवसायात हंगामी असेल तर बजेट / लक्ष्य महिने ओलांडून वितरण मदत करते.,
1 Loyalty Points = How much base currency?,१ लॉयल्टी पॉइंट्स = किती आधार चलन?,
1 hr,1 ता,
2 Yearly,२ वार्षिक,
30 mins,30 मि,
6 hrs,6 तास,
"A Product or a Service that is bought, sold or kept in stock.","एक उत्पादन किंवा सेवा म्हणजे जी विकत घेतली जाते, विकली जाते किंवा स्टॉक मध्ये ठेवली जाते",
A condition for a Shipping Rule,एक शिपिंग नियम एक अट,
A logical Warehouse against which stock entries are made.,तार्किक वखार च्या विरोधात स्टॉक नोंदी केल्या जातात,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,तृतीय पक्ष वितरक / विक्रेता / दलाल / संलग्न / विक्रेते म्हणजे जो कमिशनसाठी कंपन्यांचे उत्पादन विकतो,
A+,अ +,
A-,अ-,
A4,ए 4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,एसीसी- एएमएल- .YYY.-,
ACC-ASR-.YYYY.-,एसीसी- एएसआर- .YYY.-,
ACC-ASS-.YYYY.-,एसीसी- ASS- .YYY.-,
ACC-BTN-.YYYY.-,एसीसी-बीटीएन- .YYYY.-,
ACC-JV-.YYYY.-,एसीसी-जेव्ही- .YYYY.-,
ACC-PAY-.YYYY.-,एसीसी-पे-य्यवाय.-,
ACC-PINV-.YYYY.-,एसीसी-पीएनव्ही-वाई वाई वाई.-,
ACC-PINV-RET-.YYYY.-,एसीसी-पिनव्ही-रीट-.YYYY.-,
ACC-PRQ-.YYYY.-,एसीसी- PRQ- .YYY.-,
ACC-PSINV-.YYYY.-,एसीसी-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,एसीसी-एसएच-. वाई वाई वाई.-,
ACC-SINV-.YYYY.-,एसीसी- SINV- .YYY.-,
ACC-SINV-RET-.YYYY.-,एसीसी-एसआयएनव्ही-रीट-.YYYY.-,
AMC Expiry Date,एएमसी कालावधी समाप्ती तारीख,
API,API,
API Endpoint,API Endpoint,
API Key,एपीआय किल्ली,
Abbr,Abbr,
Abbreviation,संक्षेप,
Academics User,शैक्षणिक वापरकर्ता,
Accepted,स्वीकारले,
Accepted Qty,स्वीकृत क्वाटी,
Accepted Quantity,स्वीकृत प्रमाण,
Accepted Warehouse,स्वीकृत कोठार,
Access Token,प्रवेश टोकन,
Account,खाते,
Account Balance,खाते शिल्लक,
Account Currency,खाते चलन,
Account Details,खाते तपशील,
Account Head,खाते प्रमुख,
Account Manager,खाते व्यवस्थापक,
Account Name,खाते नाव,
Account Number,खाते क्रमांक,
Account Paid From,खात्यातून शुल्क दिले,
Account Paid To,खाते अदा,
Account Subtype,खाते उपप्रकार,
Account Type,खाते प्रकार,
Account for Change Amount,खाते रक्कम बदल,
Accounting,लेखा,
Accounting Details,लेखा माहिती,
Accounting Dimension,लेखा परिमाण,
Accounting Dimension Detail,लेखा परिमाण तपशील,
Accounting Dimensions,लेखा परिमाण,
Accounting Dimensions ,लेखा परिमाण,
Accounting Entries,लेखा नोंदी,
Accounting Period,लेखा कालावधी,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,या तारखेपर्यंत लेखा नोंदी गोठविल्या गेल्या आहेत. खाली निर्दिष्ट केलेल्या भूमिकेसह वापरकर्त्यांशिवाय कोणीही प्रविष्ट्या तयार किंवा सुधारित करू शकत नाही,
Accounts,खाते,
Accounts Frozen Till Date,आजपर्यंतची खाती गोठविली,
Accounts Manager,खाते व्यवस्थापक,
Accounts Payable,देय खाती,
Accounts Payable Summary,खाती देय सारांश,
Accounts Receivable,प्राप्तीयोग्य खाते,
Accounts Receivable Credit Account,खाती प्राप्तीयोग्य क्रेडिट खाते,
Accounts Receivable Discounted Account,खाती प्राप्तीयोग्य सूट खाते,
Accounts Receivable Summary,खाते प्राप्तीयोग्य सारांश,
Accounts Receivable Unpaid Account,खाती प्राप्तीयोग्य नसलेले खाते,
Accounts Settings,खाती सेटिंग्ज,
Accounts User,वापरकर्ता खाती,
Accumulated Depreciation,जमा घसारा,
Accumulated Depreciation Account,जमा घसारा खाते,
Accumulated Depreciation Amount,जमा घसारा रक्कम,
Acquisition Date,संपादन दिनांक,
Action,क्रिया,
Action If Quality Inspection Is Not Submitted,गुणवत्ता तपासणी सबमिट न केल्यास कारवाई,
Action if Accumulated Monthly Budget Exceeded on Actual,वास्तविक वर जमा झालेली संचयित मासिक बजेट झाल्यास कारवाई करा,
Action if Accumulated Monthly Budget Exceeded on MR,संचित मासिक बजेट एमआर वर अधिक असेल तर कारवाई,
Action if Accumulated Monthly Budget Exceeded on PO,पीओ वर जमा केलेले संचित मासिक बजेट केल्यास कारवाई,
Action if Annual Budget Exceeded on Actual,वार्षिक अंदाजपत्रक वास्तविक वर गेला तर कारवाई,
Action if Annual Budget Exceeded on MR,वार्षिक बजेट एमआर वर पार केल्यास क्रिया,
Action if Annual Budget Exceeded on PO,वार्षिक अंदाजपत्रक PO वर ओलांडल्यास कारवाई,
Actions,क्रिया,
Actions performed,क्रिया पूर्ण,
Active,सक्रिय,
Activities,क्रियाकलाप,
Activity Cost,क्रियाकलाप खर्च,
Activity Type,क्रियाकलाप प्रकार,
Actual,वास्तविक,
Actual Batch Quantity,वास्तविक बॅचची मात्रा,
