%  Delivered,% ကယ်နှုတ်တော်မူ၏,
% Amount Billed,ကြေညာတဲ့% ပမာဏ,
% Billed,% Bill,
% Complete Method,% အပြီးအစီး Method ကို,
% Completed,% ပြီးစီး,
% Installed,% Installed,
% Ordered,% မိန့်ထုတ်,
% Progress,% တိုးတက်ရေးပါတီ,
% Received,% ရရှိထားသည့်,
% of materials billed against this Sales Order,ဒီအရောင်းအမိန့်ဆန့်ကျင်ကြေညာတဲ့ပစ္စည်း%,
% of materials delivered against this Sales Order,ဒီအရောင်းအမိန့်ဆန့်ကျင်ကယ်နှုတ်တော်မူ၏ပစ္စည်း%,
(Hour Rate / 60) * Actual Operation Time,(အချိန်နာရီနှုန်း / 60) * အမှန်တကယ်စစ်ဆင်ရေးအချိန်,
(including),(အပါအဝငျ),
* Will be calculated in the transaction.,* ထိုအရောင်းအဝယ်အတွက်တွက်ချက်ခြင်းကိုခံရလိမ့်မည်။,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** ဘဏ္ဍာရေးနှစ်တစ်နှစ်တာ ** တစ်ဘဏ္ဍာရေးတစ်နှစ်တာကိုကိုယ်စားပြုပါတယ်။ အားလုံးသည်စာရင်းကိုင် posts များနှင့်အခြားသောအဓိကကျသည့်ကိစ္စများကို ** ** ဘဏ္ဍာရေးနှစ်တစ်နှစ်တာဆန့်ကျင်ခြေရာခံထောက်လှမ်းနေကြပါတယ်။,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** လစဉ်ဖြန့်ဖြူး ** သင်သည်သင်၏စီးပွားရေးလုပ်ငန်းမှာရာသီအလိုက်ရှိပါကသင်သည်လအတွင်းဖြတ်ပြီးဘတ်ဂျက် / Target ကဖြန့်ဝေကူညီပေးသည်။,
1 Loyalty Points = How much base currency?,1 သစ္စာရှိမှုအမှတ်ဘယ်လောက်အခြေစိုက်စခန်းငွေကြေး =?,
1 hr,၁ နာရီ,
2 Yearly,နှစ်အလိုက် 2,
30 mins,၃၀ မိနစ်,
6 hrs,၆ နာရီ,
"A Product or a Service that is bought, sold or kept in stock.",အဖြေထုတ်ကုန်ပစ္စည်းသို့မဟုတ်စတော့ရှယ်ယာအတွက်ဝယ်ရောင်းမစောင့်ဘဲပြုလုပ်ထားတဲ့န်ဆောင်မှု။,
A condition for a Shipping Rule,တစ် Shipping Rule များအတွက်အခြေအနေ,
A logical Warehouse against which stock entries are made.,စတော့ရှယ်ယာ entries တွေကိုဖန်ဆင်းထားတဲ့ဆန့်ကျင်နေတဲ့ယုတ္တိဂိုဒေါင်။,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,ကော်မရှင်များအတွက်ကုမ္ပဏီများကထုတ်ကုန်ရောင်းချတဲ့သူတစ်ဦးကိုတတိယပါတီဖြန့်ဖြူး / အရောင်း / ကော်မရှင်အေးဂျင့် / Affiliate / ပြန်လည်ရောင်းချသူ။,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-Asr-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-မြည်းကို-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-ဖက်စပ်-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-Pay-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC သက်တမ်းကုန်ဆုံးသည့်ရက်စွဲ,
API,API ကို,
API Endpoint,API ကိုဆုံးမှတ်,
API Key,API ကို Key ကို,
Abbr,Abbr,
Abbreviation,အကျဉ်း,
Academics User,ပညာရှင်တွေအသုံးပြုသူတို့၏,
Accepted,လက်ခံထားတဲ့,
Accepted Qty,လက်ခံအရည်အတွက်,
Accepted Quantity,လက်ခံခဲ့သည်ပမာဏ,
Accepted Warehouse,လက်ခံထားတဲ့ဂိုဒေါင်,
Access Token,Access Token,
Account,အကောင့်ဖွင့်,
Account Balance,အကောင့်ကို Balance,
Account Currency,အကောင့်ကိုငွေကြေးစနစ်,
Account Details,အကောင့်အသေးစိတ်,
Account Head,အကောင့်ဖွင့်ဦးခေါင်း,
Account Manager,စာရင်းကိုင်မန်နေဂျာ,
Account Name,အကောင့်အမည်,
Account Number,အကောင့်နံပါတ်,
Account Paid From,ကနေ Paid အကောင့်,
Account Paid To,ရန် Paid အကောင့်,
Account Subtype,အကောင့် Subtype,
Account Type,Account Type,
Account for Change Amount,ပြောင်းလဲမှုပမာဏအဘို့အကောင့်,
Accounting,စာရင်းကိုင်,
Accounting Details,စာရင်းကိုင် Details ကို,
Accounting Dimension,စာရင်းကိုင် Dimension,
Accounting Dimension Detail,စာရင်းကိုင် Dimension အသေးစိတ်,
Accounting Dimensions,စာရင်းကိုင်အရွယ်အစား,
Accounting Dimensions ,စာရင်းကိုင်အရွယ်အစား,
Accounting Entries,စာရင်းကိုင် Entries,
Accounting Period,စာရင်းကိုင်ကာလ,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,စာရင်းကိုင် entries တွေကိုဒီရက်အထိအေးခဲနေကြသည်။ အောက်ဖော်ပြပါအခန်းကဏ္ with ရှိအသုံးပြုသူများ မှလွဲ၍ မည်သူမျှ entries များကို ဖန်တီး၍ ပြုပြင်နိုင်သည်,
Accounts,ငွေစာရင်း,
Accounts Frozen Till Date,ရက်စွဲမှီတိုင်အောင်အေးခဲနေသောအကောင့်များ,
Accounts Manager,အကောင့်အသစ်များ၏ Manager က,
Accounts Payable,ပေးရန်ရှိသောစာရင်း,
Accounts Payable Summary,Accounts ကိုပေးဆောင်အကျဉ်းချုပ်,
Accounts Receivable,ငွေစာရင်းရရန်ရှိသော,
Accounts Receivable Credit Account,Accounts ကို receiver Credit အကောင့်,
Accounts Receivable Discounted Account,Accounts ကို receiver လျှော့အကောင့်,
Accounts Receivable Summary,Accounts ကို receiver အကျဉ်းချုပ်,
Accounts Receivable Unpaid Account,Accounts ကို receiver မရတဲ့အကောင့်,
Accounts Settings,Settings ကိုအကောင့်,
Accounts User,အသုံးပြုသူအကောင့်,
Accumulated Depreciation,စုဆောင်းတန်ဖိုး,
Accumulated Depreciation Account,စုဆောင်းတန်ဖိုးအကောင့်,
Accumulated Depreciation Amount,စုဆောင်းတန်ဖိုးပမာဏ,
Acquisition Date,သိမ်းယူမှုနေ့စွဲ,
Action,action,
Action If Quality Inspection Is Not Submitted,အရေးယူအရည်အသွေးစစ်ဆေးရေးတင်ပြမထားဘူးဆိုရင်,
Action if Accumulated Monthly Budget Exceeded on Actual,လှုပ်ရှားမှုစုဆောင်းဒီလအတွက်ဘတ်ဂျက်အမှန်တကယ်အပေါ်ကိုကျြောသှားပါလျှင်,
Action if Accumulated Monthly Budget Exceeded on MR,လှုပ်ရှားမှုစုဆောင်းဒီလအတွက်ဘတ်ဂျက် MR အပေါ်ကိုကျြောသှားပါလျှင်,
Action if Accumulated Monthly Budget Exceeded on PO,လှုပ်ရှားမှုစုဆောင်းဒီလအတွက်ဘတ်ဂျက်စာတိုက်အပေါ်ကိုကျြောသှားပါလျှင်,
Action if Annual Budget Exceeded on Actual,လှုပ်ရှားမှုနှစ်ပတ်လည်ဘတ်ဂျက်အမှန်တကယ်အပေါ်ကိုကျြောသှားပါလျှင်,
Action if Annual Budget Exceeded on MR,လှုပ်ရှားမှုနှစ်ပတ်လည်ဘတ်ဂျက် MR အပေါ်ကိုကျြောသှားပါလျှင်,
Action if Annual Budget Exceeded on PO,လှုပ်ရှားမှုနှစ်ပတ်လည်ဘတ်ဂျက်စာတိုက်အပေါ်ကိုကျြောသှားပါလျှင်,
Actions,* Actions,
Actions performed,ဖျော်ဖြေလုပ်ဆောင်ချက်များ,
Active,active,
Activities,လှုပ်ရှားမှုများ,
Activity Cost,လုပ်ဆောင်ချက်ကုန်ကျစရိတ်,
Activity Type,လုပ်ဆောင်ချက်ကအမျိုးအစား,
Actual,တကယ်,
Actual Batch Quantity,အမှန်တကယ်သုတ်အရေအတွက်,
Actual Date,အမှန်တကယ်နေ့စွဲ,
Actual End Date,အမှန်တကယ် End Date ကို,
Actual End Date (via Timesheet),(အချိန်စာရွက်မှတဆင့်) အမှန်တကယ်ပြီးဆုံးရက်စွဲ,
Actual End Time,အမှန်တကယ် End အချိန်,
Actual Operating Cost,အမှန်တကယ် Operating ကုန်ကျစရိတ်,
Actual Operation Time,အမှန်တကယ်စစ်ဆင်ရေးအချိန်,
Actual Qty,အမှန်တကယ် Qty,
Actual Qty (at source/target),(အရင်းအမြစ် / ပစ်မှတ်မှာ) အမှန်တကယ် Qty,
Actual Start Date,အမှန်တကယ် Start ကိုနေ့စွဲ,
Actual Start Date (via Timesheet),(အချိန်စာရွက်မှတဆင့်) အမှန်တကယ် Start ကိုနေ့စွဲ,
Actual Start Time,အမှန်တကယ် Start ကိုအချိန်,
Actual Time and Cost,အမှန်တကယ်အချိန်နှင့်ကုန်ကျစရိတ်,
Actual Time in Hours (via Timesheet),(နာရီအတွက်) အမှန်တကယ်အချိန်,
Add,ပေါင်း,
Add Quote,Quote Add,
Add Weekly Holidays,အပတ်စဉ်အားလပ်ရက် Add,
Add or Deduct,Add သို့မဟုတ်ထုတ်ယူ,
Add to Holidays,ပိတ်ရက်များပေါင်းထည့်ရန်,
Add to Transit,Transit သို့ထည့်ပါ,
Additional Cost,အပိုဆောင်းကုန်ကျစရိတ်,
Additional Costs,အပိုဆောင်းကုန်ကျစရိတ်,
Additional DIscount Amount,အပိုဆောင်းလျှော့ငွေပမာဏ,
Additional DIscount Percentage,အပိုဆောင်းလျှော့ရာခိုင်နှုန်း,
Additional Details,နောက်ထပ်အသေးစိတ်,
Additional Discount,အပိုဆောင်းလျှော့,
Additional Discount Amount,အပိုဆောင်းလျှော့ငွေပမာဏ,
Additional Discount Amount (Company Currency),အပိုဆောင်းလျှော့ငွေပမာဏ (ကုမ္ပဏီငွေကြေးစနစ်),
Additional Discount Percentage,အပိုဆောင်းလျှော့ရာခိုင်နှုန်း,
Additional Information,အခြားဖြည့်စွက်ရန်အချက်အလက်များ,
Additional Notes,အပိုဆောင်းမှတ်စုများ,
Additional Operating Cost,နောက်ထပ် Operating ကုန်ကျစရိတ်,
Additional information regarding the customer.,ဖောက်သည်နှင့်ပတ်သတ်သောအချက်အလက်ပို။,
Address,လိပ်စာ,
Address & Contact,လိပ်စာ &amp; ဆက်သွယ်ရန်,
Address & Contacts,လိပ်စာ &amp; ဆက်သွယ်ရန်,
Address Desc,Desc လိပ်စာ,
Address HTML,လိပ်စာက HTML,
Address Line 1,လိပ်စာစာကြောင်း 1,
Address Line 2,လိပ်စာလိုင်း 2,
Address Name,လိပ်စာအမည်,
Address and Contact,လိပ်စာနှင့်ဆက်သွယ်ရန်,
Address and Contacts,လိပ်စာနှင့်ဆက်သွယ်ရန်,
Address used to determine Tax Category in transactions,အရောင်းအဝယ်အတွက်အခွန်အမျိုးအစားကိုဆုံးဖြတ်ရန်အသုံးပြုသောလိပ်စာ,
Addresses,လိပ်စာများ,
Administrator,အုပ်ချုပ်သူ,
Advance Account,ကြိုတင်မဲအကောင့်,
Advance Amount,ကြိုတင်ငွေပမာဏ,
Advance Paid,ကြိုတင်မဲ Paid,
Advance Payments,ငွေပေးချေရှေ့တိုး,
Advance amount,ကြိုတင်ငွေပမာဏ,
Advanced Settings,အဆင့်မြင့်ချိန်ညှိမှုများ,
Advances,ကြိုတင်ငွေ,
Against,ဆန့်ကျင်,
Against Account,အကောင့်ဆန့်ကျင်,
Against Blanket Order,စောင်အမိန့်ကိုဆန့်ကျင်,
Against Delivery Note Item,Delivery Note ကို Item ဆန့်ကျင်,
Against Docname,Docname ဆန့်ကျင်,
Against Doctype,DOCTYPE ဆန့်ကျင်,
Against Document Detail No,Document ဖိုင် Detail မရှိဆန့်ကျင်,
Against Document No,Document ဖိုင်မျှဆန့်ကျင်,
Against Expense Account,အသုံးအကောင့်ဆန့်ကျင်,
Against Income Account,ဝင်ငွေခွန်အကောင့်ဆန့်ကျင်,
Against Sales Invoice,အရောင်းပြေစာဆန့်ကျင်,
Against Sales Invoice Item,အရောင်းပြေစာ Item ဆန့်ကျင်,
Against Sales Order,အရောင်းအမိန့်ဆန့်ကျင်,
Against Sales Order Item,အရောင်းအမိန့် Item ဆန့်ကျင်,
Against Stock Entry,စတော့အိတ် Entry &#39;ဆန့်ကျင်,
Against Voucher,ဘောက်ချာဆန့်ကျင်,
Against Voucher Type,ဘောက်ချာ Type ဆန့်ကျင်,
Ageing Based On,Ageing အခြေပြုတွင်,
Agenda,ကိစ္စအစီအစဉ်,
Agent Details,Agent အသေးစိတ်,
Agents,ကိုယ်စားလှယ်များ,
Agriculture Manager,စိုက်ပျိုးရေး Manager ကို,
Agriculture User,စိုက်ပျိုးရေးအသုံးပြုသူ,
All,အားလုံး,
All Contact,အားလုံးသည်ဆက်သွယ်ရန်,
All Customer Contact,အားလုံးသည်ဖောက်သည်ဆက်သွယ်ရန်,
All Employee (Active),အားလုံးသည်န်ထမ်း (Active),
All Lead (Open),အားလုံးသည်ခဲ (ပွင့်လင်း),
All Sales Partner Contact,အားလုံးသည်အရောင်း Partner ဆက်သွယ်ရန်,
All Sales Person,အားလုံးသည်အရောင်းပုဂ္ဂိုလ်,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,အားလုံးသည်အရောင်းငွေကြေးကိစ္စရှင်းလင်းမှုမျိုးစုံ ** အရောင်း Persons ဆန့်ကျင် tagged နိုင်ပါတယ် ** သင်ပစ်မှတ် ထား. စောင့်ကြည့်နိုင်အောင်။,
All Supplier Contact,အားလုံးသည်ပေးသွင်းဆက်သွယ်ရန်,
Allocate Advances Automatically (FIFO),အလိုအလျောက် (FIFO) တိုးတက်လာတာနဲ့အမျှခွဲဝေချထားပေးရန်,
Allocate Payment Based On Payment Terms,ငွေပေးချေမှုသတ်မှတ်ချက်များအပေါ်အခြေခံပြီးငွေပေးချေမှုခွဲဝေ,
Allocated,ခွဲဝေ,
Allocated Amount,ခွဲဝေပမာဏ,
Allocated amount,ခွဲဝေပမာဏ,
Allocation,နေရာချထားခြင်း,
Allow,ခွင့်ပြု,
Allow Account Creation Against Child Company,ကလေးကုမ္ပဏီဆန့်ကျင်အကောင့်ဖန်ဆင်းခြင်း Allow,
Allow Alternative Item,အခြားရွေးချယ်စရာ Item Allow,
Allow In Returns,ပြန်ခွင့်ပြုပါ,
Allow Item To Be Added Multiple Times in a Transaction,ကုန်ပစ္စည်းတစ်ခုတွင်ပစ္စည်းအားအကြိမ်များစွာထပ်မံထည့်သွင်းရန်ခွင့်ပြုပါ,
Allow Material Transfer from Delivery Note to Sales Invoice,ပစ္စည်းပေးပို့မှုမှတ်စုမှအရောင်းပြေစာသို့ပစ္စည်းလွှဲပြောင်းခွင့်ပြုသည်,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,ပစ္စည်းဝယ်ယူမှုလက်ခံဖြတ်ပိုင်းမှပစ္စည်းဝယ်ယူမှုငွေစာရင်းသို့ပစ္စည်းလွှဲပြောင်းခြင်းကိုခွင့်ပြုသည်,
Allow Multiple Sales Orders Against a Customer's Purchase Order,ဖောက်သည်တစ် ဦး ၏ ၀ ယ်ခြင်းအမိန့်ကိုရောင်းဝယ်ရန်အမှာစာအမြောက်အမြားခွင့်ပြုပါ,
Allow Negative Stock,အပြုသဘောမဆောင်သောစတော့အိတ် Allow,
Allow Overtime,အချိန်ပို Allow,
Allow Production on Holidays,အားလပ်ရက်အပေါ်ထုတ်လုပ်မှု Allow,
Allow Purchase Invoice Creation Without Purchase Order,၀ ယ်ရန်အမိန့်မပါဘဲ ၀ ယ်လိုအားငွေစာရင်းဖန်တီးခြင်းကိုခွင့်ပြုပါ,
Allow Purchase Invoice Creation Without Purchase Receipt,၀ ယ်မည့်ငွေလက်ခံဖြတ်ပိုင်းမပါဘဲ ၀ ယ်သူ၏ငွေတောင်းခံလွှာကိုပြုလုပ်ရန်ခွင့်ပြုပါ,
Allow Rename Attribute Value,Rename Attribute Value ကို Allow,
Allow Resetting Service Level Agreement,ပြန်စခြင်းသည်ဝန်ဆောင်မှုအဆင့်သဘောတူညီချက် Allow,
Allow Sales Invoice Creation Without Delivery Note,Delivery မှတ်ချက်မပါဘဲအရောင်းငွေတောင်းခံလွှာ Creation Allow,
