%  Delivered,% Geleverd,
% Amount Billed,% Gefactureerd Bedrag,
% Billed,% Gefactureerd,
% Complete Method,% Voltooid Methode,
% Completed,% Voltooid,
% Installed,% Geïnstalleerd,
% Ordered,% Besteld,
% Progress,% Voortgang,
% Received,% Ontvangen,
% of materials billed against this Sales Order,% van de materialen in rekening gebracht voor deze Verkooporder,
% of materials delivered against this Sales Order,% van de geleverde materialen voor deze verkooporder,
(Hour Rate / 60) * Actual Operation Time,(Uurtarief / 60) * Werkelijk Gepresteerde Tijd,
(including),(inclusief),
* Will be calculated in the transaction.,* Zal worden berekend in de transactie.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Boekjaar** staat voor een financieel jaar. Alle boekingen en andere belangrijke transacties worden bijgehouden in **boekjaar**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Maandelijkse Distributie ** helpt u om de begroting / Target verdelen over maanden als u de seizoensgebondenheid in uw bedrijf.,
1 Loyalty Points = How much base currency?,1 Loyaliteitspunten = Hoeveel basisvaluta?,
1 hr,1 uur,
2 Yearly,2 Jaarlijks,
30 mins,30 minuten,
6 hrs,6 uur,
"A Product or a Service that is bought, sold or kept in stock.","Een Product of een Dienst dat wordt gekocht, verkocht of in voorraad wordt gehouden.",
A condition for a Shipping Rule,Een voorwaarde voor een Verzendregel,
A logical Warehouse against which stock entries are made.,Een logisch Magazijn waartegen voorraadboekingen worden gemaakt.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Een derde partij distributeur / dealer / commissionair / affiliate / reseller die uw producten voor een commissie verkoopt.,
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Vervaldatum,
API,API,
API Endpoint,API-eindpunt,
API Key,API Key,
Abbr,Afk,
Abbreviation,Afkorting,
Academics User,Academici Gebruiker,
Accepted,Geaccepteerd,
Accepted Qty,Geaccepteerd Aantal,
Accepted Quantity,Geaccepteerd Aantal,
Accepted Warehouse,Geaccepteerd Magazijn,
Access Token,Toegang Token,
Account,Rekening,
Account Balance,Rekeningbalans,
Account Currency,Account Valuta,
Account Details,Account Details,
Account Head,Hoofdrekening,
Account Manager,Account Manager,
Account Name,Rekening Naam,
Account Number,Rekeningnummer,
Account Paid From,Account betaald uit,
Account Paid To,Rekening betaald aan,
Account Subtype,Subtype account,
Account Type,Rekening Type,
Account for Change Amount,Account for Change Bedrag,
Accounting,Boekhouding,
Accounting Details,Boekhouding Details,
Accounting Dimension,Boekhoudkundige dimensie,
Accounting Dimension Detail,Detail boekhoudingsdimensie,
Accounting Dimensions,Boekhoudkundige dimensies,
Accounting Dimensions ,Boekhoudafmetingen,
Accounting Entries,Boekingen,
Accounting Period,Financiele periode,
