%  Delivered,% Leveres,
% Amount Billed,% Mengde Fakturert,
% Billed,% Fakturert,
% Complete Method,% Komplett Method,
% Completed,% Fullført,
% Installed,% Installert,
% Ordered,% Bestilt,
% Progress,% Progress,
% Received,% Mottatt,
% of materials billed against this Sales Order,% Av materialer fakturert mot denne kundeordre,
% of materials delivered against this Sales Order,% Av materialer leveres mot denne kundeordre,
(Hour Rate / 60) * Actual Operation Time,(Timepris / 60) * Faktisk Operation Tid,
(including),(gjelder også),
* Will be calculated in the transaction.,* Vil bli beregnet i transaksjonen.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Regnskapsår ** representerer et regnskapsår. Alle regnskapspostene og andre store transaksjoner spores mot ** regnskapsår **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Månedlig Distribusjon ** hjelper deg distribuere Budsjett / Target over måneder hvis du har sesongvariasjoner i din virksomhet.,
1 Loyalty Points = How much base currency?,1 Lojalitetspoeng = Hvor mye grunnvaluta?,
1 hr,1 time,
2 Yearly,2 årlig,
30 mins,30 minutter,
6 hrs,6 timer,
"A Product or a Service that is bought, sold or kept in stock.","Et produkt eller en tjeneste som er kjøpt, solgt eller holdes på lager.",
A condition for a Shipping Rule,En forutsetning for en Shipping Rule,
A logical Warehouse against which stock entries are made.,En logisk Warehouse mot som lager oppføringer er gjort.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,En tredjepart distributør / forhandler / kommisjonær / agent / forhandler som selger selskaper produkter for en kommisjon.,
A+,A +,
A-,EN-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Utløpsdato,
API,API,
API Endpoint,API Endpoint,
API Key,API-nøkkel,
Abbr,Abbr,
Abbreviation,Forkortelse,
Academics User,akademikere Bruker,
Accepted,Akseptert,
Accepted Qty,Godkjent mengde,
Accepted Quantity,Akseptert Antall,
Accepted Warehouse,Akseptert Warehouse,
Access Token,Tilgang Token,
Account,Konto,
Account Balance,Saldo,
Account Currency,Account Valuta,
Account Details,kontodetaljer,
Account Head,Account Leder,
Account Manager,Kontosjef,
Account Name,Brukernavn,
Account Number,Kontonummer,
Account Paid From,Konto betalt fra,
Account Paid To,Konto Betalt for å,
Account Subtype,Kontotype,
Account Type,Kontotype,
Account for Change Amount,Konto for Change Beløp,
Accounting,regnskap,
Accounting Details,Regnskap Detaljer,
Accounting Dimension,Regnskapsdimensjon,
Accounting Dimension Detail,Regnskapsdimensjon Detalj,
Accounting Dimensions,Regnskapsdimensjoner,
Accounting Dimensions ,Regnskapsdimensjoner,
Accounting Entries,Regnskaps Entries,
Accounting Period,Regnskapsperiode,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Regnskapsoppføringer er frosset frem til denne datoen. Ingen kan opprette eller endre oppføringer unntatt brukere med rollen som er spesifisert nedenfor,
Accounts,kontoer,
Accounts Frozen Till Date,Regner med frossen til dato,
Accounts Manager,Accounts Manager,
Accounts Payable,Leverandørgjeld,
Accounts Payable Summary,Leverandørgjeld Sammendrag,
Accounts Receivable,Kundefordringer,
Accounts Receivable Credit Account,Kundefordringer Kredittkonto,
Accounts Receivable Discounted Account,Kundefordringer Rabattert konto,
Accounts Receivable Summary,Kundefordringer Sammendrag,
Accounts Receivable Unpaid Account,Kundefordringer Ubetalt konto,
Accounts Settings,Regnskap Innstillinger,
Accounts User,Regnskap User,
Accumulated Depreciation,akkumulerte avskrivninger,
Accumulated Depreciation Account,Akkumulerte avskrivninger konto,
Accumulated Depreciation Amount,Akkumulerte avskrivninger beløp,
Acquisition Date,Innkjøpsdato,
Action,Handling,
Action If Quality Inspection Is Not Submitted,Handling hvis kvalitetskontroll ikke er sendt inn,
Action if Accumulated Monthly Budget Exceeded on Actual,Handling hvis akkumulert månedlig budsjett oversteg faktisk,
Action if Accumulated Monthly Budget Exceeded on MR,Handling hvis akkumulert månedlig budsjett oversteg MR,
Action if Accumulated Monthly Budget Exceeded on PO,Handling hvis akkumulert månedlig budsjett oversteg PO,
Action if Annual Budget Exceeded on Actual,Handling hvis årlig budsjett overskrider faktisk,
Action if Annual Budget Exceeded on MR,Handling hvis årlig budsjett overskrider MR,
Action if Annual Budget Exceeded on PO,Handling hvis årlig budsjett overskrides på PO,
Actions,Handlinger,
Actions performed,Handlinger utført,
Active,Aktiv,
Activities,aktiviteter,
Activity Cost,Aktivitet Kostnad,
Activity Type,Aktivitetstype,
Actual,Faktiske,
Actual Batch Quantity,Faktisk batchmengde,
Actual Date,Selve Dato,
Actual End Date,Selve sluttdato,
Actual End Date (via Timesheet),Faktisk Sluttdato (via Timeregistrering),
Actual End Time,Faktisk Sluttid,
Actual Operating Cost,Faktiske driftskostnader,
Actual Operation Time,Selve Operasjon Tid,
Actual Qty,Selve Antall,
Actual Qty (at source/target),Faktiske antall (ved kilden / target),
Actual Start Date,Faktisk startdato,
Actual Start Date (via Timesheet),Faktisk startdato (via Timeregistrering),
Actual Start Time,Faktisk Starttid,
Actual Time and Cost,Faktisk leveringstid og pris,
Actual Time in Hours (via Timesheet),Virkelig tid (i timer),
Add,Legg,
Add Quote,Legg Sitat,
Add Weekly Holidays,Legg til ukesferier,
Add or Deduct,Legge til eller trekke fra,
Add to Holidays,Legg til helligdager,
Add to Transit,Legg til i kollektivtransport,
Additional Cost,Tilleggs Cost,
Additional Costs,Tilleggskostnader,
Additional DIscount Amount,Ekstra rabatt Beløp,
Additional DIscount Percentage,Ekstra rabatt Prosent,
Additional Details,ekstra detaljer,
Additional Discount,Ekstra rabatt,
Additional Discount Amount,Ekstra rabattbeløp,
Additional Discount Amount (Company Currency),Ekstra rabatt Beløp (Selskap Valuta),
Additional Discount Percentage,Ekstra rabattprosent,
Additional Information,Tilleggsinformasjon,
Additional Notes,Ytterligere merknader,
Additional Operating Cost,Ekstra driftskostnader,
Additional information regarding the customer.,Ytterligere informasjon om kunden.,
Address,Adresse,
Address & Contact,Adresse og kontakt,
Address & Contacts,Adresse og Kontakt,
Address Desc,Adresse Desc,
Address HTML,Adresse HTML,
Address Line 1,Adresselinje 1,
Address Line 2,Adresselinje 2,
Address Name,Adressenavn,
Address and Contact,Adresse og Kontakt,
Address and Contacts,Adresse og kontakter,
Address used to determine Tax Category in transactions,Adresse som brukes til å bestemme skattekategori i transaksjoner,
Addresses,Adresser,
Administrator,Administrator,
Advance Account,Forhåndskonto,
Advance Amount,Forskuddsbeløp,
Advance Paid,Advance Betalt,
Advance Payments,Forskudd,
Advance amount,Forskuddsbeløp,
Advanced Settings,Avanserte innstillinger,
Advances,Fremskritt,
Against,Against,
Against Account,Mot konto,
Against Blanket Order,Mot teppeordre,
Against Delivery Note Item,Mot leveringsnotat,
Against Docname,Mot Docname,
Against Doctype,Mot Doctype,
Against Document Detail No,Mot Document Detail Nei,
Against Document No,Mot Dokument nr,
Against Expense Account,Mot regning,
Against Income Account,Mot Inntekt konto,
Against Sales Invoice,Mot Salg Faktura,
Against Sales Invoice Item,Mot Salg Faktura Element,
Against Sales Order,Mot Salgsordre,
Against Sales Order Item,Mot kundeordreposisjon,
Against Stock Entry,Mot aksjeoppføring,
Against Voucher,Mot Voucher,
Against Voucher Type,Mot Voucher Type,
Ageing Based On,Aldring Based On,
Agenda,Dagsorden,
Agent Details,Agentdetaljer,
Agents,agenter,
Agriculture Manager,Landbruksansvarlig,
Agriculture User,Landbruker Bruker,
All,Alle,
All Contact,All kontakt,
All Customer Contact,All Kundekontakt,
All Employee (Active),All Employee (Active),
All Lead (Open),All Lead (Open),
All Sales Partner Contact,All Sales Partner Kontakt,
All Sales Person,All Sales Person,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Alle salgstransaksjoner kan være merket mot flere ** Salgs Personer ** slik at du kan stille inn og overvåke mål.,
All Supplier Contact,All Leverandør Kontakt,
Allocate Advances Automatically (FIFO),Tilordne forhåndsfordeler automatisk (FIFO),
Allocate Payment Based On Payment Terms,Tildel betaling basert på betalingsbetingelser,
Allocated,Avsatt,
Allocated Amount,Bevilget beløp,
Allocated amount,Bevilget beløp,
Allocation,Tildeling,
Allow,Tillate,
Allow Account Creation Against Child Company,Tillat kontooppretting mot barneselskap,
Allow Alternative Item,Tillat alternativ gjenstand,
Allow In Returns,Tillat retur,
Allow Item To Be Added Multiple Times in a Transaction,Tillat at varen legges til flere ganger i en transaksjon,
Allow Material Transfer from Delivery Note to Sales Invoice,Tillat materialoverføring fra leveringsnota til salgsfaktura,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,Tillat materiell overføring fra kjøpskvittering til kjøpsfaktura,
Allow Multiple Sales Orders Against a Customer's Purchase Order,Tillat flere salgsordrer mot en kundes innkjøpsordre,
Allow Negative Stock,Tillat Negative Stock,
Allow Overtime,Tillat Overtid,
Allow Production on Holidays,Tillat Produksjonen på helligdager,
Allow Purchase Invoice Creation Without Purchase Order,Tillat oppretting av faktura uten innkjøpsordre,
Allow Purchase Invoice Creation Without Purchase Receipt,Tillat oppretting av faktura uten kjøpskvittering,
Allow Rename Attribute Value,Tillat omdøpe attributtverdi,
Allow Resetting Service Level Agreement,Tillat tilbakestilling av servicenivåavtale,
Allow Sales Invoice Creation Without Delivery Note,Tillat oppretting av salgsfaktura uten leveringsnota,
Allow Sales Invoice Creation Without Sales Order,Tillat oppretting av salgsfaktura uten salgsordre,
Allow Stale Exchange Rates,Tillat uaktuelle valutakurser,
Allow User to Edit Price List Rate in Transactions,Tillat brukeren å endre prisliste i transaksjoner,
Allow Zero Valuation Rate,Tillat null verdivurdering,
Allowed,Tillatt,
Allowed To Transact With,Tillat å transaksere med,
Alternative Item Code,Alternativ produktkode,
Alternative Item Name,Alternativt varenavn,
Amended From,Endret Fra,
Amount,Beløp,
Amount (Company Currency),Beløp (Selskap Valuta),
Amount Difference,beløp Difference,
Amount In Figure,Beløp I figur,
Amount in customer's currency,Beløp i kundens valuta,
Annual Expenses,årlige utgifter,
Annual Income,Årsinntekt,
Applicable Charges,Gjeldende avgifter,
Applicable For,Aktuelt For,
Applicable Holiday List,Gjelder Holiday List,
Applicable Modules,Gjeldende moduler,
Applicable To (Designation),Gjelder til (Betegnelse),
Applicable To (Employee),Gjelder til (Employee),
Applicable To (Role),Gjelder til (Role),
Applicable To (User),Gjelder til (User),
Applicable for Countries,Gjelder for Land,
Applicable for Users,Gjelder for brukere,
Applicable for external driver,Gjelder for ekstern driver,
Applicable on Material Request,Gjelder på materialforespørsel,
Applicable on Purchase Order,Gjelder på innkjøpsordre,
Applicable on booking actual expenses,Gjelder på bestilling faktiske utgifter,
Application Settings,Applikasjon innstillinger,
Apply Additional Discount On,Påfør Ytterligere rabatt på,
Apply Discount On,Påfør rabatt på,
Apply Discount on Discounted Rate,Bruk rabatt på nedsatt pris,
Apply Discount on Rate,Bruk rabatt på pris,
Apply Multiple Pricing Rules,Bruk flere prisregler,
Apply On,Påfør på,
Apply Rule On Brand,Bruk regel på merke,
Apply Rule On Item Code,Bruk regel om varekode,
Apply Rule On Item Group,Bruk regel om varegrupper,
Apply Rule On Other,Bruk regel på andre,
Apply Tax Withholding Amount,Påfør gjeldsbeløp,
Appointment,Avtale,
Appointment Booking Settings,Innstillinger for avbestilling av avtale,
Appointment Booking Slots,Avtalingsbestilling spor,
Appointment Details,Avtaledetaljer,
Appointment Duration (In Minutes),Avtaletid (i løpet av minutter),
Appointment With,Avtale med,
Appraisal Template,Appraisal Mal,
Approvers,Tilstridende,
Approving Role (above authorized value),Godkjenne Role (ovenfor autorisert verdi),
Approving User  (above authorized value),Godkjenne Bruker (ovenfor autorisert verdi),
Area,Område,
Area UOM,Område UOM,
As per Stock UOM,Pr Stock målenheter,
Asset,Asset,
Asset Account,Asset-konto,
Asset Category,Asset Kategori,
Asset Category Account,Asset Kategori konto,
Asset Category Name,Asset Category Name,
Asset Depreciation Cost Center,Asset Avskrivninger kostnadssted,
Asset Depreciation Ledger,Asset Avskrivninger Ledger,
Asset Depreciations and Balances,Asset Avskrivninger og Balanserer,
Asset Details,Eiendomsdetaljer,
Asset Finance Book,Asset Finance Book,
Asset Location,Asset Location,
Asset Maintenance,Asset Maintenance,
Asset Maintenance Log,Asset Maintenance Log,
Asset Maintenance Task,Asset Maintenance Task,
Asset Maintenance Team,Asset Maintenance Team,
Asset Movement,Asset Movement,
Asset Movement Item,Varebevegelseselement,
Asset Name,Asset Name,
Asset Naming Series,Asset Naming Series,
Asset Owner,Asset Eier,
Asset Owner Company,Asset Owner Company,
Asset Received But Not Billed,"Asset mottatt, men ikke fakturert",
Asset Repair,Asset Repair,
Asset Status,Asset Status,
Asset Value,Eiendomsverdi,
Asset Value Adjustment,Asset Value Adjustment,
Assets,Eiendeler,
Assign To,Tildele Å,
Assign to Name,Tildel til navn,
"Attach .csv file with two columns, one for the old name and one for the new name","Fest CSV-fil med to kolonner, en for det gamle navnet og en for det nye navnet",
Attach custom Chart of Accounts file,Legg ved tilpasset kontoplan,
Attachment,Vedlegg,
Attendance Device ID (Biometric/RF tag ID),Oppmøte enhets-ID (biometrisk / RF-tag-ID),
Attribute,Attributt,
Attribute Name,Attributt navn,
Attribute Value,Attributtverdi,
Auditor,Revisor,
Authorised By,Autorisert av,
Authorization Control,Autorisasjon kontroll,
Authorization Endpoint,Autorisasjonsendepunkt,
Authorization Rule,Autorisasjon Rule,
Authorization Settings,Autorisasjonsinnstillinger,
Authorization URL,Autorisasjonsadresse,
Authorized Value,Autorisert Verdi,
Auto Create Assets on Purchase,Lag automatisk eiendeler ved kjøp,
Auto Created,Automatisk opprettet,
Auto Material Request,Auto Materiell Request,
Auto Name,Auto Name,
Auto Opt In (For all customers),Auto Opt In (For alle kunder),
Auto Repeat,Auto Repeat,
Auto Repeat Detail,Auto Repeat Detail,
Auto re-order,Auto re-order,
Automatically Add Taxes and Charges from Item Tax Template,Legg automatisk til skatter og avgifter fra varighetsskattmal,
Automatically Create New Batch,Opprett automatisk ny batch automatisk,
Automatically Process Deferred Accounting Entry,Behandle utsatt regnskapsføring automatisk,
Availability Of Slots,Tilgjengelighet av spor,
Available Batch Qty at From Warehouse,Tilgjengelig Batch Antall på From Warehouse,
Available Batch Qty at Warehouse,Tilgjengelig Batch Antall på Warehouse,
Available Qty,Tilgjengelig antall,
Available Qty at From Warehouse,Tilgjengelig Antall på From Warehouse,
Available Qty at Source Warehouse,Tilgjengelig antall på Source Warehouse,
Available Qty at WIP Warehouse,Tilgjengelig antall på WIP Warehouse,
Available Qty at Warehouse,Tilgjengelig Antall på Warehouse,
Available Quantity,Tilgjengelig mengde,
Available Stock for Packing Items,Tilgjengelig på lager for pakk gjenstander,
Available-for-use Date,Tilgjengelig dato for bruk,
Average Commission Rate,Gjennomsnittlig kommisjon,
Average Discount,Gjennomsnittlig Rabatt,
Average Response Time,Gjennomsnittlig svartid,
Average time taken by the supplier to deliver,Gjennomsnittlig tid tatt av leverandøren til å levere,
B+,B +,
B-,B-,
BOM,BOM,
BOM Comparison Tool,BOM-sammenligningsverktøy,
BOM Detail No,BOM Detail Nei,
BOM Explorer,BOM Explorer,
BOM Explosion Item,BOM Explosion Element,
BOM Item,BOM Element,
BOM No,BOM Nei,
BOM No. for a Finished Good Item,BOM No. for et ferdig God Sak,
BOM Operation,BOM Operation,
BOM Operations Time,BOM-driftstid,
BOM Scrap Item,BOM Scrap Element,
BOM Search,BOM Søk,
BOM Stock Calculated,BOM Stock Beregnet,
BOM Stock Report,BOM aksjerapport,
BOM Update Tool,BOM Update Tool,
BOM Variance Report,BOM Variansrapport,
