%  Delivered,% dostarczono,
% Amount Billed,% wartości rozliczonej,
% Billed,% rozliczonych,
% Complete Method,Kompletna Metoda%,
% Completed,% ukończone,
% Installed,% Zainstalowanych,
% Ordered,% Zamówione,
% Progress,% Postęp,
% Received,% Otrzymanych,
% of materials billed against this Sales Order,% materiałów rozliczonych w ramach tego zlecenia sprzedaży,
% of materials delivered against this Sales Order,% materiałów dostarczonych w ramach zlecenia sprzedaży,
(Hour Rate / 60) * Actual Operation Time,(Godzina Kursy / 60) * Rzeczywista Czas pracy,
(including),(włącznie z),
* Will be calculated in the transaction.,* Zostanie policzony dla transakcji.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Rok finansowy** reprezentuje rok finansowy. Wszystkie zapisy księgowe oraz inne znaczące transakcje są śledzone przed ** roku podatkowego **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Miesięczna Dystrybucja ** pomaga rozłożyć budżet/cel w miesiącach, jeśli masz okresowość w firmie.",
1 Loyalty Points = How much base currency?,1 punkty lojalnościowe = ile waluty bazowej?,
1 hr,1 godz,
2 Yearly,2 Rocznie,
30 mins,30 minut,
6 hrs,6 godz,
"A Product or a Service that is bought, sold or kept in stock.","Produkt lub usługa, która jest kupiona, sprzedana lub przechowywana w magazynie.",
A condition for a Shipping Rule,Warunki wysyłki,
A logical Warehouse against which stock entries are made.,Logiczny Magazyn przeciwny do zapisów.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Dystrybutor strona trzecia / handlowiec / prowizji agenta / partner / sprzedawcę, który sprzedaje produkty firm z tytułu prowizji.",
A+,A+,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.RRRR.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.RRRR.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.RRRR.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.RRRR.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.RRRR.-,
ACC-SINV-.YYYY.-,ACC-SINV-.RRRR.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Data Ważności,
API,API,
API Endpoint,Punkt końcowy API,
API Key,Klucz API,
Abbr,Skrót,
Abbreviation,Skrót,
Academics User,Studenci,
Accepted,Przyjęte,
Accepted Qty,Akceptowana ilość,
Accepted Quantity,Przyjęta Ilość,
Accepted Warehouse,Przyjęty magazyn,
Access Token,Dostęp za pomocą Tokenu,
Account,Konto,
Account Balance,Bilans konta,
Account Currency,Waluta konta,
Account Details,Szczegóły konta,
Account Head,Konto główne,
Account Manager,Menadżer konta,
Account Name,Nazwa konta,
Account Number,Numer konta,
Account Paid From,Konto do płatności,
Account Paid To,Konto do zapłaty,
Account Subtype,Podtyp konta,
Account Type,typ konta,
Account for Change Amount,Konto dla zmiany kwoty,
Accounting,Księgowość,
Accounting Details,Dane księgowe,
Accounting Dimension,Wymiar księgowy,
Accounting Dimension Detail,Szczegóły wymiaru księgowości,
Accounting Dimensions,Wymiary księgowe,
Accounting Dimensions ,Wymiary księgowe,
Accounting Entries,Zapisy księgowe,
Accounting Period,Okres Księgowy,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Do tej daty zapisy księgowe są zamrożone. Nikt nie może tworzyć ani modyfikować wpisów z wyjątkiem użytkowników z rolą określoną poniżej,
Accounts,Księgowość,
Accounts Frozen Till Date,Konta zamrożone do daty,
Accounts Manager,Specjalista ds. Sprzedaży,
Accounts Payable,Zobowiązania,
Accounts Payable Summary,Zobowiązania Podsumowanie,
Accounts Receivable,Należności,
Accounts Receivable Credit Account,Rachunek kredytowy należności,
Accounts Receivable Discounted Account,Konto z rabatem należności,
Accounts Receivable Summary,Należności Podsumowanie,
Accounts Receivable Unpaid Account,Niezapłacone konto należności,
Accounts Settings,Ustawienia Kont,
Accounts User,Konta Użytkownika,
Accumulated Depreciation,Umorzenia (skumulowana amortyzacja),
Accumulated Depreciation Account,Skumulowana Amortyzacja konta,
Accumulated Depreciation Amount,Kwota Skumulowanej amortyzacji,
Acquisition Date,Data nabycia,
Action,Działanie,
Action If Quality Inspection Is Not Submitted,"Działanie, jeśli kontrola jakości nie zostanie przesłana",
Action if Accumulated Monthly Budget Exceeded on Actual,"Działanie, jeżeli skumulowany budżet miesięczny przekroczył rzeczywisty",
Action if Accumulated Monthly Budget Exceeded on MR,"Działanie, jeżeli skumulowany budżet miesięczny przekroczył MR",
Action if Accumulated Monthly Budget Exceeded on PO,"Działanie, jeśli skumulowany miesięczny budżet został przekroczony dla zamówienia",
Action if Annual Budget Exceeded on Actual,"Działanie, jeśli budżet roczny przekroczyłby rzeczywisty",
Action if Annual Budget Exceeded on MR,"Działanie, jeśli budżet roczny przekroczy MR",
Action if Annual Budget Exceeded on PO,"Działanie, jeśli budżet roczny został przekroczony dla zamówienia",
Actions,działania,
Actions performed,Wykonane akcje,
Active,Aktywny,
Activities,Zajęcia,
Activity Cost,Aktywny Koszt,
Activity Type,Rodzaj aktywności,
Actual,Rzeczywisty,
Actual Batch Quantity,Rzeczywista ilość partii,
Actual Date,Rzeczywista Data,
Actual End Date,Rzeczywista Data Zakończenia,
Actual End Date (via Timesheet),Faktyczna data zakończenia (przez czas arkuszu),
Actual End Time,Rzeczywisty czas zakończenia,
Actual Operating Cost,Rzeczywisty koszt operacyjny,
Actual Operation Time,Rzeczywisty Czas pracy,
Actual Qty,Rzeczywista ilość,
Actual Qty (at source/target),Rzeczywista Ilość (u źródła/celu),
Actual Start Date,Rzeczywista data rozpoczęcia,
Actual Start Date (via Timesheet),Faktyczna data rozpoczęcia (przez czas arkuszu),
Actual Start Time,Rzeczywisty Czas Rozpoczęcia,
Actual Time and Cost,Rzeczywisty Czas i Koszt,
Actual Time in Hours (via Timesheet),Rzeczywisty czas (w godzinach),
Add,Dodaj,
Add Quote,Dodaj Cytat,
Add Weekly Holidays,Dodaj cotygodniowe święta,
Add or Deduct,Dodatki lub Potrącenia,
Add to Holidays,Dodaj do świąt,
Add to Transit,Dodaj do transportu publicznego,
Additional Cost,Dodatkowy koszt,
Additional Costs,Dodatkowe koszty,
Additional DIscount Amount,Kwota dodatkowego rabatu,
Additional DIscount Percentage,Dodatkowy rabat procentowy,
Additional Details,Dodatkowe Szczegóły,
Additional Discount,Dodatkowe Zniżki,
Additional Discount Amount,Dodatkowa kwota rabatu,
Additional Discount Amount (Company Currency),Dodatkowa kwota rabatu (waluta firmy),
Additional Discount Percentage,Dodatkowy procent rabatu,
Additional Information,Dodatkowe informacje,
Additional Notes,Dodatkowe uwagi,
Additional Operating Cost,Dodatkowy koszt operacyjny,
Additional information regarding the customer.,Dodatkowe informacje na temat klienta.,
Address,Adres,
Address & Contact,Adres i kontakt,
Address & Contacts,Adresy i kontakty,
Address Desc,Opis adresu,
Address HTML,Adres HTML,
Address Line 1,Pierwszy wiersz adresu,
Address Line 2,Drugi wiersz adresu,
Address Name,Adres,
Address and Contact,Adres i Kontakt,
Address and Contacts,Adres i kontakty,
Address used to determine Tax Category in transactions,Adres używany do określenia kategorii podatku w transakcjach,
Addresses,Adresy,
Administrator,Administrator,
Advance Account,Rachunek zaawansowany,
Advance Amount,Kwota Zaliczki,
Advance Paid,Zaliczka,
Advance Payments,Zaliczki,
Advance amount,Kwota Zaliczki,
Advanced Settings,Zaawansowane ustawienia,
Advances,Zaliczki,
Against,Wyklucza,
Against Account,Konto korespondujące,
Against Blanket Order,Przeciw Kocowi,
Against Delivery Note Item,Za list przewozowy,
Against Expense Account,Konto wydatków,
Against Income Account,Konto przychodów,
Against Sales Invoice,Na podstawie faktury sprzedaży,
Against Sales Invoice Item,Na podstawie pozycji faktury sprzedaży,
Against Sales Order,Na podstawie zamówienia sprzedaży,
Against Sales Order Item,Na podstawie pozycji zamówienia sprzedaży,
Against Stock Entry,Przeciwko wprowadzeniu akcji,
Against Voucher,Dowód księgowy,
Against Voucher Type,Rodzaj dowodu,
Ageing Based On,Starzenie na podstawie,
Agenda,Program,
Agent Details,Dane agenta,
Agents,Agenci,
Agriculture Manager,Dyrektor ds. Rolnictwa,
Agriculture User,Użytkownik rolnictwa,
All,Wszystko,
All Contact,Wszystkie dane Kontaktu,
All Customer Contact,Wszystkie dane kontaktowe klienta,
All Employee (Active),Wszyscy pracownicy (aktywni),
All Lead (Open),Wszystkie Leady (Otwarte),
All Sales Partner Contact,Wszystkie dane kontaktowe Partnera Sprzedaży,
All Sales Person,Wszyscy Sprzedawcy,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Wszystkie transakcje sprzedaży mogą być oznaczone przed wieloma ** Osoby sprzedaży **, dzięki czemu można ustawić i monitorować cele.",
All Supplier Contact,Dane wszystkich dostawców,
Allocate Advances Automatically (FIFO),Automatycznie przydzielaj zaliczki (FIFO),
Allocate Payment Based On Payment Terms,Przydziel płatność na podstawie warunków płatności,
Allocated,Przydzielone,
Allocated Amount,Przyznana kwota,
Allocated amount,Przyznana kwota,
Allocation,Przydział,
Allow,Zezwól,
Allow Account Creation Against Child Company,Zezwól na tworzenie konta przeciwko firmie podrzędnej,
Allow Alternative Item,Zezwalaj na alternatywną pozycję,
Allow In Returns,Zezwalaj na zwroty,
Allow Item To Be Added Multiple Times in a Transaction,Zezwalaj na wielokrotne dodawanie przedmiotu w transakcji,
Allow Material Transfer from Delivery Note to Sales Invoice,Zezwól na przeniesienie materiału z potwierdzenia dostawy do faktury sprzedaży,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,Zezwól na przeniesienie materiału z paragonu zakupu do faktury zakupu,
Allow Multiple Sales Orders Against a Customer's Purchase Order,Zezwalaj na wiele zamówień sprzedaży w ramach zamówienia klienta,
Allow Negative Stock,Dozwolony ujemny stan,
Allow Overtime,Pozwól na Nadgodziny,
Allow Production on Holidays,Pozwól Produkcja na święta,
Allow Purchase Invoice Creation Without Purchase Order,Zezwalaj na tworzenie faktur zakupu bez zamówienia zakupu,
Allow Purchase Invoice Creation Without Purchase Receipt,Zezwalaj na tworzenie faktur zakupu bez pokwitowania zakupu,
Allow Rename Attribute Value,Zezwalaj na zmianę nazwy wartości atrybutu,
Allow Resetting Service Level Agreement,Zezwalaj na resetowanie umowy o poziomie usług,
Allow Sales Invoice Creation Without Delivery Note,Zezwalaj na tworzenie faktur sprzedaży bez potwierdzenia dostawy,
Allow Sales Invoice Creation Without Sales Order,Zezwalaj na tworzenie faktur sprzedaży bez zamówienia sprzedaży,
Allow Stale Exchange Rates,Zezwalaj na Stałe Kursy walut,
Allow User to Edit Price List Rate in Transactions,Pozwól użytkownikowi edytować stawkę cennika w transakcjach,
Allow Zero Valuation Rate,Zezwalaj na zerową wartość wyceny,
Allowed,Dozwolone,
Allowed To Transact With,Zezwolono na zawieranie transakcji przy użyciu,
Alternative Item Code,Alternatywny kod towaru,
Alternative Item Name,Alternatywna nazwa przedmiotu,
Amended From,Zmodyfikowany od,
Amount,Wartość,
Amount (Company Currency),Kwota (Waluta firmy),
Amount Difference,kwota różnicy,
Amount In Figure,Kwota Na rysunku,
Amount in customer's currency,Kwota w walucie klienta,
Annual Expenses,roczne koszty,
Annual Income,Roczny dochód,
Applicable Charges,Obowiązujące opłaty,
Applicable For,Stosowne dla,
Applicable Holiday List,Stosowna Lista Urlopów,
Applicable Modules,Odpowiednie moduły,
Applicable To (Designation),Stosowne dla (Nominacja),
Applicable To (Employee),Stosowne dla (Pracownik),
Applicable To (Role),Stosowne dla (Rola),
Applicable To (User),Stosowne dla (Użytkownik),
Applicable for Countries,Zastosowanie dla krajów,
Applicable for Users,Dotyczy użytkowników,
Applicable for external driver,Dotyczy zewnętrznego sterownika,
Applicable on Material Request,Obowiązuje na wniosek materiałowy,
Applicable on Purchase Order,Obowiązuje w przypadku zamówienia zakupu,
Applicable on booking actual expenses,Obowiązuje przy rezerwacji rzeczywistych wydatków,
Application Settings,Ustawienia aplikacji,
Apply Additional Discount On,Zastosuj dodatkowe zniżki na,
Apply Discount On,Zastosuj RABAT,
Apply Discount on Discounted Rate,Zastosuj zniżkę na obniżoną stawkę,
Apply Discount on Rate,Zastosuj zniżkę na stawkę,
Apply Multiple Pricing Rules,Zastosuj wiele zasad ustalania cen,
Apply On,Zastosuj Na,
Apply Rule On Brand,Zastosuj regułę do marki,
Apply Rule On Item Code,Zastosuj regułę do kodu towaru,
Apply Rule On Item Group,Zastosuj regułę dla grupy pozycji,
Apply Rule On Other,Zastosuj regułę do innych,
Apply Tax Withholding Amount,Zastosuj kwotę podatku u źródła,
Appointment,Spotkanie,
Appointment Booking Settings,Ustawienia rezerwacji terminu,
Appointment Booking Slots,Terminy rezerwacji spotkań,
Appointment Details,Szczegóły terminu,
Appointment Duration (In Minutes),Czas trwania spotkania (w minutach),
Appointment With,Spotkanie z,
Appraisal Template,Szablon oceny,
Approvers,Osoby zatwierdzające,
Approving Role (above authorized value),Zatwierdzanie rolę (powyżej dopuszczonego wartości),
Approving User  (above authorized value),Zatwierdzanie autoryzowanego użytkownika (powyżej wartości),
Area,Powierzchnia,
Area UOM,Obszar UOM,
Asset,Składnik aktywów,
Asset Account,Konto aktywów,
Asset Category,Aktywa Kategoria,
Asset Category Account,Konto Aktywów Kategoria,
Asset Category Name,Zaleta Nazwa kategorii,
Asset Depreciation Cost Center,Zaleta Centrum Amortyzacja kosztów,
Asset Depreciation Ledger,Księga amortyzacji,
Asset Depreciations and Balances,Aktywów Amortyzacja i salda,
Asset Details,Szczegóły dotyczące aktywów,
Asset Finance Book,Książka o finansach aktywów,
Asset Location,Lokalizacja zasobów,
Asset Maintenance,Konserwacja aktywów,
Asset Maintenance Log,Dziennik konserwacji zasobów,
Asset Maintenance Task,Zadanie utrzymania aktywów,
Asset Maintenance Team,Zespół ds. Utrzymania aktywów,
