%  Delivered,٪ تحویلوونکی,
% Amount Billed,٪ بیل د,
% Billed,٪ محاسبې ته,
% Complete Method,٪ بشپړ Method,
% Completed,٪ بشپړ شوي,
% Installed,٪ ولګول شو,
% Ordered,٪ د سپارښتنې,
% Progress,٪ پرمختګ,
% Received,٪ د ترلاسه,
% of materials billed against this Sales Order,٪ د توکو د خرڅلاو د دې نظم په وړاندې د بلونو د,
% of materials delivered against this Sales Order,٪ د توکو د خرڅلاو د دې نظم په وړاندې کولو,
(Hour Rate / 60) * Actual Operation Time,(قيامت Rate / 60) * د عملیاتو د وخت,
(including),(په ګډون),
* Will be calculated in the transaction.,* به په راکړې ورکړې محاسبه شي.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** مالي کال ** د مالي کال استازيتوب کوي. ټول د محاسبې زياتونې او نورو لويو معاملو ** مالي کال په وړاندې تعقیبیږي **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** میاشتنی ویش ** تاسو سره مرسته کوي که تاسو د خپل کاروبار د موسمي لري د بودجې د / د هدف په ټول مياشتو وویشي.,
1 Loyalty Points = How much base currency?,د وفاداري ټکي = څومره پیسې؟,
1 hr,1 ساعت,
2 Yearly,دوه کلن,
30 mins,30 دقیقې,
6 hrs,6 ساعته,
"A Product or a Service that is bought, sold or kept in stock.",د تولید یا د خدمت دی چې اخيستي، پلورل او يا په ګدام کې وساتل.,
A condition for a Shipping Rule,لپاره يو نقل د حاکمیت شرط,
A logical Warehouse against which stock entries are made.,يو منطقي ګدام چې پر وړاندې د سټاک زياتونې دي.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,د دریمې ډلې د ویشونکی- / پلورونکي / کمیسیون اجنټ / غړيتوب لری / د پلورنې لپاره د يو کميسون د شرکتونو توليدات پلوري.,
A+,A +,
A-,خبرتیاوي,
A4,A4,
AB+,AB +,
AB-,عبداالله,
ACC-AML-.YYYY.-,ACC-AML -YYYY-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY-,
ACC-ASS-.YYYY.-,ACC-ASS -YYYY-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV -YYYY-,
ACC-PAY-.YYYY.-,ACC-PAY -YYYY-,
ACC-PINV-.YYYY.-,ACC-PINV -YYYY-,
ACC-PINV-RET-.YYYY.-,د ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ -YYYY-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY-,
ACC-SINV-.YYYY.-,ACC-SINV -YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC د پای نېټه,
API,API,
API Endpoint,د API پایټه,
API Key,API کلیدي,
Abbr,Abbr,
Abbreviation,لنډیزونه,
Academics User,پوهانو کارن,
Accepted,منل,
Accepted Qty,منل شوی مقدار,
Accepted Quantity,منل مقدار,
Accepted Warehouse,منل ګدام,
Access Token,د لاسرسي د نښې,
Account,ګڼون,
Account Balance,موجوده حساب,
Account Currency,حساب د اسعارو,
Account Details,د حساب توضیحات,
Account Head,ګڼون مشر,
Account Manager,ګڼون سمبالګر,
Account Name,دحساب نوم,
Account Number,ګڼون شمېره,
Account Paid From,حساب ورکړل له,
Account Paid To,حساب ته تحویلیږي.,
Account Subtype,ګ Accountون ډول,
Account Type,د حساب ډول,
Account for Change Amount,د بدلون لپاره د مقدار حساب,
Accounting,د محاسبې,
Accounting Details,د محاسبې په بشپړه توګه کتل,
Accounting Dimension,د محاسبې ابعاد,
Accounting Dimension Detail,د محاسبې ابعاد تفصیل,
Accounting Dimensions,د محاسبې ابعاد,
Accounting Dimensions ,د محاسبې ابعاد,
Accounting Entries,د محاسبې توکي,
Accounting Period,د محاسبې موده,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,د محاسبې ننوتل تر دې نیټې پورې کنګل شوي دي. هیڅوک نشی کولی داخلونه رامینځته کړي یا بدل کړي پرته لدې چې مشخص شوي د رول سره کارونکي,
Accounts,حسابونه,
Accounts Frozen Till Date,تر نیټې نیټې حسابونه,
Accounts Manager,حسابونه مدير,
Accounts Payable,ورکړې وړ حسابونه,
Accounts Payable Summary,حسابونه د راتلوونکې لنډيز,
Accounts Receivable,حسابونه ترلاسه,
Accounts Receivable Credit Account,حسابونه د ترلاسه کولو وړ کریډیټ حساب,
Accounts Receivable Discounted Account,حسابونه د ترلاسه کولو وړ تخفیف حساب,
