%  Delivered,% Entregue,
% Amount Billed,Valor Faturado %,
% Billed,Faturado %,
% Complete Method,Método Para % Concluído,
% Completed,% Concluído,
% Installed,Instalado %,
% Ordered,% Comprado,
% Progress,% de Progresso,
% Received,Recebido %,
% of materials billed against this Sales Order,% do material faturado deste Pedido de Venda,
% of materials delivered against this Sales Order,% do material entregue deste Pedido de Venda,
(Hour Rate / 60) * Actual Operation Time,(Valor por Hora / 60) * Tempo de operação real,
(including),(incluindo),
* Will be calculated in the transaction.,* Será calculado na transação.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,O **Ano Fiscal** representa um exercício financeiro. Todos os lançamentos contábeis e outras transações principais são rastreadas contra o **Ano Fiscal**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,A **Distribuição Mensal** ajuda-o a distribuir o Orçamento/Meta por vários meses caso o seu negócio seja sazonal.,
1 Loyalty Points = How much base currency?,1 Pontos de fidelidade = Quanto de moeda base?,
1 hr,1 hora,
2 Yearly,2 Anos,
30 mins,30 minutos,
6 hrs,6 horas,
"A Product or a Service that is bought, sold or kept in stock.","Um produto ou um serviço que é comprado, vendido ou mantido em estoque.",
A condition for a Shipping Rule,A condição para uma regra de Remessa,
A logical Warehouse against which stock entries are made.,Um Depósito lógico contra o qual as entradas de estoque são feitas.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Um distribuidor de terceiros / revendedor / comissão do agente / filial / revendedor que vende os produtos de empresas de uma comissão.,
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,Data de Validade do Cam,
API,API,
API Endpoint,API Endpoint,
API Key,Chave da API,
Abbr,Abrev,
Abbreviation,Abreviatura,
Academics User,Usuário Acadêmico,
Accepted,Aceito,
Accepted Qty,Quantidade Aceita,
Accepted Quantity,Quantidade Aceita,
Accepted Warehouse,Armazém Aceito,
Access Token,Token de Acesso,
Account,Conta,
Account Balance,Saldo da Conta,
Account Currency,Moeda da Conta,
Account Details,Detalhes da Conta,
Account Head,Conta,
Account Manager,Gerente de Contas,
Account Name,Nome da Conta,
Account Number,Número da Conta,
Account Paid From,Conta de Origem do Pagamento,
Account Paid To,Recebido na Conta,
Account Subtype,Subtipo de Conta,
Account Type,Tipo de Conta,
Account for Change Amount,Conta Para Troco,
Accounting,Contabilidade,
Accounting Details,Detalhes da Contabilidade,
Accounting Dimension,Dimensão Contábil,
Accounting Dimension Detail,Detalhe da Dimensão Contábil,
Accounting Dimensions,Dimensões Contábeis,
Accounting Dimensions ,Dimensões Contábeis,
Accounting Entries,Lançamentos Contábeis,
Accounting Period,Período Contábil,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Os lançamentos contábeis estão congelados até esta data. Ninguém pode criar ou modificar entradas exceto usuários com a função especificada abaixo,
Accounts,Contas,
Accounts Frozen Till Date,Contas Congeladas Até a Data,
Accounts Manager,Gerente de Contas,
Accounts Payable,Contas a Pagar,
Accounts Payable Summary,Resumo do Contas a Pagar,
Accounts Receivable,Contas a Receber,
Accounts Receivable Credit Account,Conta de Crédito de Contas a Receber,
Accounts Receivable Discounted Account,Conta Com Desconto de Contas a Receber,
Accounts Receivable Summary,Resumo do Contas a Receber,
Accounts Receivable Unpaid Account,Conta Não Paga de Contas a Receber,
Accounts Settings,Configurações de Contas,
Accounts User,Usuário de Contas,
Accumulated Depreciation,Depreciação Acumulada,
Accumulated Depreciation Account,Conta de Depreciação Acumulada,
Accumulated Depreciation Amount,Total de Depreciação Acumulada,
Acquisition Date,Data da Aquisição,
Action,Ação,
Action If Quality Inspection Is Not Submitted,Ação Se a Inspeção de Qualidade Não For Enviada,
Action if Accumulated Monthly Budget Exceeded on Actual,Ação Se Orçamento Mensal Acumulado Excedido Em Reais,
Action if Accumulated Monthly Budget Exceeded on MR,Ação Se o Orçamento Mensal Acumulado For Excedido Em Mr,
Action if Accumulated Monthly Budget Exceeded on PO,Ação Se o Orçamento Mensal Acumulado For Excedido no Po,
Action if Annual Budget Exceeded on Actual,Ação Se o Orçamento Anual Ultrapassar,
Action if Annual Budget Exceeded on MR,Ação Se o Orçamento Anual Ultrapassar,
Action if Annual Budget Exceeded on PO,Ação Se o Orçamento Anual Ultrapassar,
Actions,Ações,
Actions performed,Ações realizadas,
Active,Ativo,
Activities,Actividades,
Activity Cost,Custo da Atividade,
Activity Type,Tipo de Atividade,
Actual,Real,
Actual Batch Quantity,Quantidade Real do Lote,
Actual Date,Data Real,
Actual End Date,Data Final Real,
Actual End Date (via Timesheet),Data Final Real (via Registro de Tempo),
Actual End Time,Tempo Final Real,
Actual Operating Cost,Custo Operacional Real,
Actual Operation Time,Tempo Real da Operação,
Actual Qty,Qtde Real,
Actual Qty (at source/target),Qtde Real (na origem / destino),
Actual Start Date,Data de Início Real,
Actual Start Date (via Timesheet),Data de Início Real (via Registro de Tempo),
