%  Delivered,% Entregue,
% Amount Billed,% Valor Faturado,
% Billed,% Faturado,
% Complete Method,% de Método Completa,
% Completed,% Concluído,
% Installed,% Instalada,
% Ordered,% Pedida,
% Progress,% de Progresso,
% Received,% Recebida,
% of materials billed against this Sales Order,% de materiais faturados desta Ordem de Venda,
% of materials delivered against this Sales Order,% de materiais entregues nesta Ordem de Venda,
(Hour Rate / 60) * Actual Operation Time,(Valor por Hora / 60) * Tempo Real Operacional,
(including),(incluindo),
* Will be calculated in the transaction.,* Será calculado na transação.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,O **Ano Fiscal** representa um Ano de Exercício Financeiro. Todos os lançamentos contabilísticos e outras transações principais são controladas no **Ano Fiscal**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"A **Distribuição Mensal** ajuda-o a distribuir o Orçamento/Meta por vários meses, caso o seu negócio seja sazonal.",
1 Loyalty Points = How much base currency?,1 Pontos de fidelidade = Quanto de moeda base?,
1 hr,1 hora,
2 Yearly,2 Anual,
30 mins,30 minutos,
6 hrs,6 horas,
"A Product or a Service that is bought, sold or kept in stock.","Um Produto ou Serviço que é comprado, vendido ou mantido em stock.",
A condition for a Shipping Rule,Uma condição para uma Regra de Envio,
A logical Warehouse against which stock entries are made.,Um Armazém lógico no qual são efetuados registos de stock.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Um distribuidor de terceiros / negociante / agente à comissão / filial / revendedor que vende os produtos das empresas por uma comissão.,
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,Data de Validade do CMA,
API,API,
API Endpoint,Ponto final da API,
API Key,Key API,
Abbr,Abrev,
Abbreviation,Abreviatura,
Academics User,Utilizador Académico,
Accepted,Aceite,
Accepted Qty,Quantidade aceita,
Accepted Quantity,Quantidade Aceite,
Accepted Warehouse,Armazém Aceite,
Access Token,Símbolo de Acesso,
Account,Conta,
Account Balance,Saldo da Conta,
Account Currency,Moeda da Conta,
Account Details,Detalhes da conta,
Account Head,Título de Conta,
Account Manager,Gerente de contas,
Account Name,Nome da Conta,
Account Number,Número da conta,
Account Paid From,Conta Paga De,
Account Paid To,Conta Paga A,
Account Subtype,Subtipo de conta,
Account Type,tipo de conta,
Account for Change Amount,Conta para a Mudança de Montante,
Accounting,Contabilidade,
Accounting Details,Dados Contabilísticos,
Accounting Dimension,Dimensão Contábil,
Accounting Dimension Detail,Detalhe da dimensão contábil,
Accounting Dimensions,Dimensões contábeis,
Accounting Dimensions ,Dimensões Contábeis,
Accounting Entries,Registos Contabilísticos,
Accounting Period,Período contábil,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"Os lançamentos contábeis estão congelados até esta data. Ninguém pode criar ou modificar entradas, exceto usuários com a função especificada abaixo",
Accounts,Contas,
Accounts Frozen Till Date,Contas congeladas até a data,
Accounts Manager,Gestor de Contas,
Accounts Payable,Contas a pagar,
Accounts Payable Summary,Resumo das Contas a Pagar,
Accounts Receivable,Contas a Receber,
Accounts Receivable Credit Account,Conta de crédito de contas a receber,
Accounts Receivable Discounted Account,Conta com desconto de contas a receber,
Accounts Receivable Summary,Resumo das Contas a Receber,
Accounts Receivable Unpaid Account,Conta não paga de contas a receber,
Accounts Settings,Definições de Contas,
Accounts User,Utilizador de Contas,
Accumulated Depreciation,Depreciação acumulada,
Accumulated Depreciation Account,Conta de Depreciação Acumulada,
Accumulated Depreciation Amount,Montante de Depreciação Acumulada,
Acquisition Date,Data de Aquisição,
Action,Ação,
Action If Quality Inspection Is Not Submitted,Ação se a inspeção de qualidade não for enviada,
