%  Delivered,% Livrat,
% Amount Billed,% Suma facturata,
% Billed,% Facurat,
% Complete Method,% Metoda completă,
% Completed,% Finalizat,
% Installed,% Instalat,
% Ordered,% Comandat,
% Progress,% Progres,
% Received,% Primit,
% of materials billed against this Sales Order,% de materiale facturate versus această Comandă de Vânzări,
% of materials delivered against this Sales Order,% de materiale livrate versus aceasta Comanda,
(Hour Rate / 60) * Actual Operation Time,(Tarif orar / 60) * Timp efectiv de operare,
(including),(inclusiv),
* Will be calculated in the transaction.,* Va fi calculat în cadrul tranzacției.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Anul fiscal** reprezintă un an financiar. Toate intrările contabile și alte tranzacții majore sunt monitorizate comparativ cu ** Anul fiscal **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Lunar Distribuție ** vă ajută să distribuie bugetul / Target peste luni dacă aveți sezonier în afacerea dumneavoastră.,
1 Loyalty Points = How much base currency?,1 Puncte de loialitate = Cât de multă monedă de bază?,
1 hr,1 oră,
2 Yearly,2 Anual,
30 mins,30 de minute,
6 hrs,6 ore,
"A Product or a Service that is bought, sold or kept in stock.","Un produs sau un serviciu care este cumpărat, vândut sau păstrat în stoc.",
A condition for a Shipping Rule,O condiție pentru o normă de transport,
A logical Warehouse against which stock entries are made.,Un depozit logic față de care se efectuează înregistrări de stoc.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Un distribuitor terță parte / dealer / agent comisionar / afiliat / re-vânzător care vinde produsele companiei pentru un comision.,
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-CSB-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,Dată expirare AMC,
API,API-ul,
API Endpoint,API Endpoint,
API Key,Cheie API,
Abbr,Presc,
Abbreviation,Abreviere,
Academics User,Utilizator cadru pedagogic,
Accepted,Acceptat,
Accepted Qty,Cantitate acceptată,
Accepted Quantity,Cantitatea Acceptata,
Accepted Warehouse,Depozit Acceptat,
Access Token,Acces Token,
Account,Cont,
Account Balance,Soldul contului,
Account Currency,Moneda cont,
Account Details,Detalii cont,
Account Head,Titularul Contului,
Account Manager,Manager Conturi,
Account Name,Numele Contului,
Account Number,Numar de cont,
Account Paid From,Contul plătit De la,
Account Paid To,Contul Plătite,
Account Subtype,Subtipul contului,
Account Type,Tipul Contului,
Account for Change Amount,Contul pentru Schimbare Sumă,
Accounting,Contabilitate,
