%  Delivered,% Доставлен,
% Amount Billed,% Сумма счета,
% Billed,% Выставлено,
% Complete Method,% Метод оценки готовности,
% Completed,% Завершено,
% Installed,% Установлено,
% Ordered,% заказано,
% Progress,% Прогресс,
% Received,% Получено,
% of materials billed against this Sales Order,"% материалов, выставленных на счет этой Сделки",
% of materials delivered against this Sales Order,"% материалов, доставленных по данной Сделке",
(Hour Rate / 60) * Actual Operation Time,(часовая ставка ÷ 60) × фактическое время работы,
(including),(в том числе),
* Will be calculated in the transaction.,* Будет рассчитана в сделке.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Фискальный год** представляет собой финансовый год. Все бухгалтерские записи и другие крупные сделки отслеживаются по **Фискальному году**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,«Распределение по месяцам» позволяет распределить бюджет/цель по месяцам при наличии сезонности в вашем бизнесе.,
1 Loyalty Points = How much base currency?,1 балл лояльности = Сколько базовой валюты?,
1 hr,1 час,
2 Yearly,2 года,
30 mins,30 минут,
6 hrs,6 часов,
"A Product or a Service that is bought, sold or kept in stock.","Продукт или услуга, которая покупается, продается, или хранится на складе.",
A condition for a Shipping Rule,Условие доставки,
A logical Warehouse against which stock entries are made.,"Логический Склад, по которому сделаны складские записи",
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Сторонний дистрибьютер, дилер, агент, филиал или реселлер, который продаёт продукты компании за комиссионное вознаграждение.",
A4,A4,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
AMC Expiry Date,Срок действия AMC,
API,API,
API Endpoint,Конечная точка API,
API Key,API Ключ,
Abbr,Аббревиатура,
Abbreviation,Аббревиатура,
About,О системе,
Academics User,Пользователь,
Accepted,Принято,
Accepted Qty,Принятое кол-во,
Accepted Quantity,Количество принятых,
Accepted Warehouse,Принимающий склад,
Access Token,Маркер доступа,
Account,Аккаунт,
Account Balance,Остаток на счете,
Account Currency,Валюта счета,
Account Details,Подробности аккаунта,
Account Head,Основной счет,
