%  Delivered,% Yatanzwe,
% Amount Billed,Umubare w&#39;amafaranga yishyuwe,
% Billed,% Yishyuwe,
% Complete Method,% Uburyo bwuzuye,
% Completed,% Byarangiye,
% Installed,% Yashizweho,
% Ordered,% Yategetse,
% Progress,Iterambere,
% Received,% Yakiriwe,
% of materials billed against this Sales Order,% y&#39;ibikoresho byishyuwe kuri iri teka ryo kugurisha,
% of materials delivered against this Sales Order,% y&#39;ibikoresho byatanzwe binyuranyije n&#39;iri teka ryo kugurisha,
(Hour Rate / 60) * Actual Operation Time,(Igipimo cyamasaha / 60) * Igihe cyo Gukora,
(including),(harimo),
* Will be calculated in the transaction.,* Bizabarwa mubikorwa.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Umwaka w&#39;Imari ** ugereranya Umwaka w&#39;Imari. Ibaruramari ryose nibindi bikorwa byingenzi bikurikiranwa na ** Umwaka wingengo yimari **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Isaranganya rya buri kwezi ** rigufasha gukwirakwiza Bije / Intego mumezi niba ufite ibihe byubucuruzi bwawe.,
1 Loyalty Points = How much base currency?,Ingingo 1 Zubudahemuka = Ifaranga ryibanze bangahe?,
1 hr,1h,
2 Yearly,2 Buri mwaka,
30 mins,Iminota 30,
6 hrs,Amasaha 6,
"A Product or a Service that is bought, sold or kept in stock.","Igicuruzwa cyangwa Serivisi igurwa, igurishwa cyangwa ibitswe mububiko.",
A condition for a Shipping Rule,Ibisabwa kugirango amategeko yo kohereza,
A logical Warehouse against which stock entries are made.,Ububiko bwumvikana bwanditsemo ububiko.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Undi muntu ukwirakwiza / umucuruzi / umukozi wa komisiyo / umufatanyabikorwa / ugurisha ibicuruzwa bya sosiyete kuri komisiyo.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-YISHYURA-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-KUGARUKA-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-KUGARUKA-.YYYY.-,
AMC Expiry Date,AMC Itariki izarangiriraho,
API,API,
API Endpoint,API Iherezo,
API Key,Urufunguzo rwa API,
Abbr,Abbr,
Abbreviation,Amagambo ahinnye,
Academics User,Umukoresha,
Accepted,Byemewe,
Accepted Qty,Byemewe Qty,
Accepted Quantity,Umubare wemewe,
Accepted Warehouse,Ububiko bwemewe,
Access Token,Kwinjira,
Account,Konti,
Account Balance,Amafaranga asigaye,
Account Currency,Ifaranga rya Konti,
Account Details,Ibisobanuro bya Konti,
Account Head,Umuyobozi wa Konti,
Account Manager,Umuyobozi wa Konti,
Account Name,Izina rya Konti,
Account Number,Inomero ya Konti,
Account Paid From,Konti Yishyuwe Kuva,
Account Paid To,Konti Yishyuwe Kuri,
Account Subtype,Ubwoko bwa Konti,
Account Type,Ubwoko bwa Konti,
Account for Change Amount,Konti yo Guhindura Amafaranga,
Accounting,Ibaruramari,
Accounting Details,Ibaruramari,
Accounting Dimension,Igipimo cya Konti,
Accounting Dimension Detail,Ibaruramari Ibipimo birambuye,
Accounting Dimensions,Ibipimo bya Konti,
Accounting Dimensions ,Ibipimo bya Konti,
Accounting Entries,Ibaruramari,
Accounting Period,Ikiringo,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Ibaruramari ryarahagaritswe kugeza kuriyi tariki. Ntamuntu numwe ushobora gukora cyangwa guhindura ibyanditswe usibye abakoresha bafite uruhare rwerekanwe hepfo,
Accounts,Konti,
Accounts Frozen Till Date,Konti Yahagaritswe Kugeza Itariki,
Accounts Manager,Umuyobozi wa Konti,
Accounts Payable,Konti Yishyuwe,
Accounts Payable Summary,Konti Yishyurwa Incamake,
Accounts Receivable,Konti zishobora kwakirwa,
Accounts Receivable Credit Account,Konti Yakira Konti Yinguzanyo,
Accounts Receivable Discounted Account,Konti Yakira Konti Yagabanijwe,
Accounts Receivable Summary,Konti Zakirwa Incamake,
Accounts Receivable Unpaid Account,Konti yakirwa Konti itishyuwe,
Accounts Settings,Igenamiterere rya Konti,
Accounts User,Umukoresha Konti,
Accumulated Depreciation,Gutakaza agaciro,
Accumulated Depreciation Account,Konti yo guta agaciro,
Accumulated Depreciation Amount,Amafaranga yataye agaciro,
Acquisition Date,Itariki yo kugura,
Action,Igikorwa,
Action If Quality Inspection Is Not Submitted,Igikorwa Niba Ubugenzuzi Bwiza butatanzwe,
Action if Accumulated Monthly Budget Exceeded on Actual,Igikorwa niba Ingengo yimari ya buri kwezi Yarenze Kukuri,
Action if Accumulated Monthly Budget Exceeded on MR,Igikorwa niba Ingengo yimari Yukwezi Yarengeje MR,
Action if Accumulated Monthly Budget Exceeded on PO,Igikorwa niba Ingengo yimari Yukwezi Yarengeje PO,
Action if Annual Budget Exceeded on Actual,Igikorwa niba Ingengo Yumwaka Yarenze Kukuri,
Action if Annual Budget Exceeded on MR,Igikorwa niba Ingengo Yumwaka Yarenze kuri MR,
Action if Annual Budget Exceeded on PO,Igikorwa niba Ingengo Yumwaka Yarenze kuri PO,
Actions,Ibikorwa,
Actions performed,Ibikorwa byakozwe,
Active,Bikora,
Activities,Ibikorwa,
Activity Cost,Igiciro cyibikorwa,
Activity Type,Ubwoko bwibikorwa,
Actual,Mubyukuri,
Actual Batch Quantity,Umubare nyawo wuzuye,
Actual Date,Itariki nyayo,
Actual End Date,Itariki yo kurangiriraho,
Actual End Date (via Timesheet),Itariki yo kurangiriraho (ukoresheje urupapuro rwigihe),
Actual End Time,Igihe cyanyuma,
Actual Operating Cost,Igiciro Cyukuri,
Actual Operation Time,Igihe cyo Gukora,
Actual Qty,Qty,
Actual Qty (at source/target),Qty nyayo (ku isoko / intego),
Actual Start Date,Itariki yo Gutangiriraho,
Actual Start Date (via Timesheet),Itariki nyayo yo gutangiriraho (ukoresheje urupapuro rwigihe),
Actual Start Time,Igihe cyo Gutangira,
Actual Time and Cost,Igihe nyacyo nigiciro,
Actual Time in Hours (via Timesheet),Igihe nyacyo (mu masaha),
Add,Ongeraho,
Add Quote,Ongeramo Amagambo,
Add Weekly Holidays,Ongeraho iminsi mikuru ya buri cyumweru,
Add or Deduct,Ongeraho cyangwa Gukuramo,
Add to Holidays,Ongeraho mu biruhuko,
Add to Transit,Ongera kuri Transit,
Additional Cost,Ikiguzi cy&#39;inyongera,
Additional Costs,Amafaranga yinyongera,
Additional DIscount Amount,Amafaranga yinyongera ya DIscount,
Additional DIscount Percentage,Ijanisha rya DIscount Ijanisha,
Additional Details,Ibisobanuro birambuye,
Additional Discount,Kugabanuka kwinyongera,
Additional Discount Amount,Amafaranga yinyongera yagabanutse,
Additional Discount Amount (Company Currency),Amafaranga yinyongera yagabanutse (Ifaranga ryisosiyete),
Additional Discount Percentage,Ijanisha ry&#39;inyongera,
Additional Information,Amakuru yinyongera,
Additional Notes,Inyandiko z&#39;inyongera,
Additional Operating Cost,Igiciro cyinyongera cyo gukora,
Additional information regarding the customer.,Amakuru yinyongera yerekeye umukiriya.,
Address,Aderesi,
Address & Contact,Aderesi &amp; Twandikire,
Address & Contacts,Aderesi &amp; Ihuza,
Address Desc,Ibiro bya aderesi,
Address HTML,Aderesi ya HTML,
Address Line 1,Umurongo wa aderesi 1,
Address Line 2,Umurongo wa aderesi 2,
Address Name,Izina rya aderesi,
Address and Contact,Aderesi na Twandikire,
Address and Contacts,Aderesi hamwe,
Address used to determine Tax Category in transactions,Aderesi ikoreshwa muguhitamo Icyiciro cyimisoro mubikorwa,
Addresses,Aderesi,
Administrator,Umuyobozi,
Advance Account,Konti ya avance,
Advance Amount,Umubare w&#39;amafaranga,
Advance Paid,Amafaranga yishyuwe,
Advance Payments,Kwishyurwa mbere,
Advance amount,Amafaranga avansi,
Advanced Settings,Igenamiterere,
Advances,Iterambere,
Against,Kurwanya,
Against Account,Kurwanya Konti,
Against Blanket Order,Kurwanya Urutonde,
Against Delivery Note Item,Kurwanya Gutanga Icyitonderwa Ingingo,
Against Docname,Kurwanya Inyandiko,
Against Doctype,Kurwanya Inyandiko,
Against Document Detail No,Kurwanya Inyandiko Ibisobanuro Oya,
Against Document No,Kurwanya Inyandiko No.,
Against Expense Account,Kurwanya Konti,
Against Income Account,Kurwanya Konti Yinjiza,
Against Sales Invoice,Kurwanya Inyemezabuguzi,
Against Sales Invoice Item,Kurwanya Inyemezabuguzi,
Against Sales Order,Kurwanya Ibicuruzwa,
Against Sales Order Item,Kurwanya Kugurisha Ikintu,
Against Stock Entry,Kurwanya Kwinjira,
Against Voucher,Kurwanya Voucher,
Against Voucher Type,Kurwanya Ubwoko bwa Voucher,
Ageing Based On,Gusaza Bishingiye,
Agenda,Gahunda,
Agent Details,Ibisobanuro birambuye by&#39;abakozi,
Agents,Intumwa,
Agriculture Manager,Umuyobozi ushinzwe ubuhinzi,
Agriculture User,Umukoresha,
All,Byose,
All Contact,Twandikire,
All Customer Contact,Abakiriya bose,
All Employee (Active),Abakozi bose (Bikora),
All Lead (Open),Byose Biyobora (Gufungura),
All Sales Partner Contact,Abafatanyabikorwa bose bagurisha,
All Sales Person,Umuntu wese ugurisha,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Ibikorwa byose byo kugurisha birashobora gushushanywa kubantu benshi bagurisha ** kugirango ubashe gushiraho no gukurikirana intego.,
All Supplier Contact,Abatanga isoko bose,
Allocate Advances Automatically (FIFO),Tanga amajyambere mu buryo bwikora (FIFO),
Allocate Payment Based On Payment Terms,Tanga ubwishyu bushingiye kumasezerano yo kwishyura,
Allocated,Yagabanijwe,
Allocated Amount,Amafaranga yagabanijwe,
Allocated amount,Amafaranga yatanzwe,
Allocation,Kugabana,
Allow,Emera,
Allow Account Creation Against Child Company,Emera Gushiraho Konti Kurwanya Isosiyete Yabana,
Allow Alternative Item,Emerera ikindi kintu,
Allow In Returns,Emera kugaruka,
Allow Item To Be Added Multiple Times in a Transaction,Emerera Ikintu Kwongerwaho Inshuro nyinshi Mubikorwa,
Allow Material Transfer from Delivery Note to Sales Invoice,Emerera ihererekanyabubasha riva mubitabo byatanzwe kuri fagitire yo kugurisha,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,Emerera ihererekanyabubasha rivuye mu nyemezabuguzi yo kugura inyemezabuguzi,
Allow Multiple Sales Orders Against a Customer's Purchase Order,Emerera Ibicuruzwa byinshi byo kugurisha Kurwanya kugura abakiriya,
Allow Negative Stock,Emerera ububiko bubi,
Allow Overtime,Emera amasaha y&#39;ikirenga,
Allow Production on Holidays,Emerera umusaruro muminsi mikuru,
Allow Purchase Invoice Creation Without Purchase Order,Emera kugura inyemezabuguzi yo gukora nta gahunda yo kugura,
Allow Purchase Invoice Creation Without Purchase Receipt,Emera kugura inyemezabuguzi yo gukora nta nyemezabuguzi yo kugura,
Allow Rename Attribute Value,Emera Guhindura Izina Ikiranga Agaciro,
Allow Resetting Service Level Agreement,Emera gusubiramo urwego rwa serivisi,
Allow Sales Invoice Creation Without Delivery Note,Emera inyemezabuguzi yo kugurisha nta nyandiko yatanzwe,
Allow Sales Invoice Creation Without Sales Order,Emerera Inyemezabuguzi yo kugurisha idafite gahunda yo kugurisha,
Allow Stale Exchange Rates,Emerera ibiciro byo guhanahana amakuru,
Allow User to Edit Price List Rate in Transactions,Emerera Umukoresha Guhindura Ibiciro Urutonde Igipimo,
Allow Zero Valuation Rate,Emerera igipimo cya Zeru,
Allowed,Biremewe,
Allowed To Transact With,Yemerewe Gucuruza Na,
Alternative Item Code,Ibindi Bikoresho Kode,
Alternative Item Name,Ubundi Ikintu Cyizina,
Amended From,Yahinduwe Kuva,
Amount,Umubare,
Amount (Company Currency),Umubare (Ifaranga rya Sosiyete),
Amount Difference,Amafaranga atandukanye,
Amount In Figure,Umubare Mu gishushanyo,
Amount in customer's currency,Umubare w&#39;amafaranga y&#39;abakiriya,
Annual Expenses,Amafaranga yakoreshejwe buri mwaka,
Annual Income,Amafaranga yinjira buri mwaka,
Applicable Charges,Amafaranga akoreshwa,
Applicable For,Bikenewe Kuri,
Applicable Holiday List,Urutonde rwibiruhuko,
Applicable Modules,Ikoreshwa,
Applicable To (Designation),Bikurikizwa Kuri (Kugenwa),
