%  Delivered,% භාර,
% Amount Billed,% මුදල අසූහත,
% Billed,% අසූහත,
% Complete Method,% සම්පූර්ණ ක්රමය,
% Completed,% සම්පූර්ණ,
% Installed,% ප්රාප්ත,
% Ordered,% අනුපිළිවලින්,
% Progress,% ප්රගතිය,
% Received,% ලැබී,
% of materials billed against this Sales Order,මෙම වෙළෙඳ න්යාය එරෙහිව ගොඩනගන ද්රව්ය%,
% of materials delivered against this Sales Order,මෙම වෙළෙඳ න්යාය එරෙහිව පවත්වන ද්රව්ය%,
(Hour Rate / 60) * Actual Operation Time,(පැය අනුපාතිකය / 60) * සත මෙහෙයුම කාල,
(including),(ඇතුලුව),
* Will be calculated in the transaction.,* ගනුදෙනුව ගණනය කරනු ඇත.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** මුදල් වර්ෂය ** මූල්ය වර්ෂය නියෝජනය කරයි. ** ** මුදල් වර්ෂය එරෙහි සියලු ගිණුම් සටහන් ඇතුළත් කිරීම් සහ අනෙකුත් ප්රධාන ගනුදෙනු දම්වැල් මත ධාවනය වන ඇත.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** මාසික බෙදාහැරීම් ** ඔබගේ ව්යාපාරය තුළ යමක සෘතුමය බලපෑම ඇති නම්, ඔබ මාස හරහා අයවැය / ඉලක්ක, බෙදා හැරීමට උපකාරී වේ.",
1 Loyalty Points = How much base currency?,1 පක්ෂපාතීත්ව ලක්ෂ්ය = කොපමණ පාදක මුදලක්?,
1 hr,පැය 1 යි,
2 Yearly,2 වාර්ෂිකව,
30 mins,මිනිත්තු 30 යි,
6 hrs,පැය 6 යි,
"A Product or a Service that is bought, sold or kept in stock.",භාණ්ඩයක් හෝ කොටස් මිලදී ගෙන විකුණා හෝ තබා ඇති සේවය.,
A condition for a Shipping Rule,"එය නාවික, නීතියේ ආධිපත්යය සඳහා වන තත්ත්වය",
A logical Warehouse against which stock entries are made.,කොටස් ඇතුළත් කිරීම් සිදු කරනු ලබන එරෙහිව තාර්කික ගබඩාව.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,තුන්වන පක්ෂය බෙදාහැරීමේ / අලෙවි නියෝජිත / කොමිස් සඳහා සමාගම් නිෂ්පාදන අලෙවි කරන කොමිෂන් නියෝජිතයා / අනුබද්ධ / දේශීය වෙළඳ සහකරුවන්.,
A+,A +,
A-,ඒ-,
A4,A4 ප්රමාණයේ,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,"විදේශ මුදල් හුවමාරු කරන්නන්, කල් ඉකුත්වන දිනය,",
API,API,
API Endpoint,API අවසානය,
API Key,API යතුර,
Abbr,Abbr,
Abbreviation,කෙටි යෙදුම්,
Academics User,විද්වතුන් පරිශීලක,
Accepted,පිළිගත්තා,
Accepted Qty,පිළිගත් Qty,
Accepted Quantity,පිළිගත් ප්රමාණ,
Accepted Warehouse,පිළිගත් ගබඩා,
Access Token,ටෝකනය,
Account,ගිණුම,
Account Balance,ගිණුම් ශේෂය,
Account Currency,ගිණුම ව්යවහාර මුදල්,
Account Details,ගිණුම් විස්තර,
Account Head,ගිණුම් අංශයේ ප්රධානී,
Account Manager,ගිණුම් කළමනාකරු,
Account Name,ගිණුමේ නම,
Account Number,ගිණුම් අංකය,
Account Paid From,සිට ගෙවුම් ගිණුම,
Account Paid To,කිරීම ගෙවුම් ගිණුම,
Account Subtype,ගිණුම් උප වර්ගය,
Account Type,ගිණුම් වර්ගය,
Account for Change Amount,වෙනස් මුදල ගිණුම්,
Accounting,ගිණුම්කරණය,
Accounting Details,මුල්ය විස්තර,
Accounting Dimension,ගිණුම්කරණ මානය,
Accounting Dimension Detail,ගිණුම්කරණ මානයන් පිළිබඳ විස්තර,
Accounting Dimensions,ගිණුම්කරණ මානයන්,
Accounting Dimensions ,ගිණුම්කරණ මානයන්,
Accounting Entries,මුල්ය අයැදුම්පත්,
Accounting Period,ගිණුම්කරණ කාලය,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,ගිණුම් ඇතුළත් කිරීම් මේ දක්වා ශීත කර ඇත. පහත දක්වා ඇති භූමිකාව සහිත පරිශීලකයින් හැර වෙනත් කිසිවෙකුට ඇතුළත් කිරීම් නිර්මාණය කිරීමට හෝ වෙනස් කිරීමට නොහැකිය,
Accounts,ගිණුම්,
Accounts Frozen Till Date,දිනය දක්වා ගිණුම් ශීත කළ,
Accounts Manager,ගිණුම් කළමනාකරු,
Accounts Payable,ගෙවිය යුතු ගිණුම්,
Accounts Payable Summary,ගෙවිය යුතු ගිණුම් සාරාංශය,
Accounts Receivable,ලැබිය යුතු ගිණුම්,
Accounts Receivable Credit Account,ලැබිය යුතු ණය ගිණුම,
Accounts Receivable Discounted Account,ලැබිය යුතු වට්ටම් ගිණුම,
Accounts Receivable Summary,ලැබිය යුතු ගිණුම් සාරාංශය,
Accounts Receivable Unpaid Account,ලැබිය යුතු නොගෙවූ ගිණුම,
Accounts Settings,ගිණුම් සැකසුම්,
Accounts User,ගිණුම් පරිශීලක,
Accumulated Depreciation,සමුච්චිත ක්ෂය,
Accumulated Depreciation Account,සමුච්චිත ක්ෂය ගිණුම,
Accumulated Depreciation Amount,සමුච්චිත ක්ෂය ප්රමාණය,
Acquisition Date,අත්පත් කර ගැනීම දිනය,
Action,කටයුතු,
Action If Quality Inspection Is Not Submitted,තත්ත්ව පරීක්ෂාව ඉදිරිපත් නොකළේ නම් ක්‍රියාව,
Action if Accumulated Monthly Budget Exceeded on Actual,සමුච්චිත මාසික අයවැය සත්යතාවයෙන් ඉක්මවා ගියහොත් ක්රියා කිරීම,
Action if Accumulated Monthly Budget Exceeded on MR,සමුච්චිත මාසික අයවැය ඉක්මවා ගියහොත් ක්රියා කිරීම,
Action if Accumulated Monthly Budget Exceeded on PO,සමුච්චිත මාසික අයවැය ඉක්මවා ගියහොත් ක්රියා කිරීම,
Action if Annual Budget Exceeded on Actual,ඇත්ත වශයෙන්ම වාර්ෂික අයවැය ඉක්මවා ගියහොත් ක්රියාකාරී වේ,
Action if Annual Budget Exceeded on MR,වාර්ෂික අයවැය ඉක්මවා ගියහොත් ක්රියා කිරීම,
Action if Annual Budget Exceeded on PO,තැ. ප,
Actions,ක්රියා,
Actions performed,ක්රියාත්මක කළ ක්රියාවන්,
Active,ක්රියාකාරී,
Activities,කටයුතු,
Activity Cost,ලද වියදම,
Activity Type,ක්රියාකාරකම් වර්ගය,
Actual,ඇත්ත,
Actual Batch Quantity,තථ්‍ය කණ්ඩායම් ප්‍රමාණය,
Actual Date,සැබෑ දිනය,
Actual End Date,සැබෑ අවසානය දිනය,
Actual End Date (via Timesheet),(කාල පත්රය හරහා) සැබෑ අවසානය දිනය,
Actual End Time,සැබෑ අවසානය කාල,
Actual Operating Cost,සැබෑ මෙහෙයුම් පිරිවැය,
Actual Operation Time,සැබෑ මෙහෙයුම කාල,
Actual Qty,සැබෑ යවන ලද,
Actual Qty (at source/target),සැබෑ යවන ලද (මූල / ඉලක්ක දී),
Actual Start Date,සැබෑ ඇරඹුම් දිනය,
Actual Start Date (via Timesheet),(කාල පත්රය හරහා) සැබෑ ඇරඹුම් දිනය,
Actual Start Time,සැබෑ ආරම්භය කාල,
Actual Time and Cost,සැබෑ කාලය හා වියදම,
Actual Time in Hours (via Timesheet),සැබෑ කාලය (පැය දී),
Add,එක් කරන්න,
Add Quote,Quote එකතු කරන්න,
Add Weekly Holidays,සතිපතා නිවාඩු දින එකතු කරන්න,
Add or Deduct,එක් කරන්න හෝ අඩු,
Add to Holidays,නිවාඩු දින එකතු කරන්න,
Add to Transit,සංක්‍රාන්තියට එක් කරන්න,
Additional Cost,අමතර පිරිවැය,
Additional Costs,අතිරේක පිරිවැය,
Additional DIscount Amount,අතිරේක වට්ටම් මුදල,
Additional DIscount Percentage,අතිරේක වට්ටම් ප්රතිශතය,
Additional Details,අතිරේක විස්තර,
Additional Discount,අතිරේක වට්ටම්,
Additional Discount Amount,අමතර වට්ටම් මුදල,
Additional Discount Amount (Company Currency),අතිරේක වට්ටම් මුදල (සමාගම ව්යවහාර මුදල්),
Additional Discount Percentage,අතිරේක වට්ටම් ප්‍රතිශතය,
Additional Information,අමතර තොරතුරු,
Additional Notes,අමතර සටහන්,
Additional Operating Cost,අතිරේක මෙහෙයුම් පිරිවැය,
Additional information regarding the customer.,පාරිභෝගික සම්බන්ධ අතිරේක තොරතුරු.,
Address,ලිපිනය,
Address & Contact,ලිපිනය සහ ඇමතුම්,
Address & Contacts,ලිපිනය සහ අප අමතන්න,
Address Desc,ෙමරට ලිපිනය DESC,
Address HTML,ලිපිනය HTML,
Address Line 1,ලිපින පේළි 1,
Address Line 2,ලිපින පේළිය 2,
Address Name,ලිපිනය නම,
Address and Contact,ලිපිනය සහ ඇමතුම්,
Address and Contacts,ලිපිනය සහ සම්බන්ධතා,
Address used to determine Tax Category in transactions,ගනුදෙනු වලදී බදු වර්ගය තීරණය කිරීම සඳහා භාවිතා කරන ලිපිනය,
Addresses,ලිපින,
Administrator,පරිපාලක,
Advance Account,අත්තිකාරම් ගිණුම,
Advance Amount,උසස් මුදල,
Advance Paid,උසස් ගෙවුම්,
Advance Payments,ගෙවීම් ඉදිරියට,
Advance amount,උසස් මුදල,
Advanced Settings,උසස් සැකසුම්,
Advances,අත්තිකාරම්,
Against,එරෙහි,
Against Account,ගිණුම එරෙහිව,
Against Blanket Order,බ්ලැන්කට් නියෝගයට එරෙහිව,
Against Delivery Note Item,බෙදා හැරීමේ සටහන් අයිතමයට එරෙහිව,
Against Docname,Docname එරෙහිව,
Against Doctype,Doctype එරෙහිව,
Against Document Detail No,මත ලේඛන විස්තර නොමැත,
Against Document No,ලේඛන නොමැත එරෙහිව,
Against Expense Account,ගෙවීමේ ගිණුම් එරෙහිව,
Against Income Account,ආදායම් ගිණුම එරෙහිව,
Against Sales Invoice,විකුණුම් ඉන්වොයිසිය එරෙහිව,
Against Sales Invoice Item,විකුණුම් ඉන්වොයිසිය අයිතමය එරෙහිව,
Against Sales Order,විකුණුම් සාමය එරෙහිව,
Against Sales Order Item,විකුණුම් සාමය අයිතමය එරෙහිව,
Against Stock Entry,කොටස් ප්‍රවේශයට එරෙහිව,
Against Voucher,වවුචරයක් එරෙහිව,
Against Voucher Type,වවුචරයක් වර්ගය එරෙහිව,
Ageing Based On,වයස්ගතවීම ආශ්රිත දා,
Agenda,න්‍යාය පත්‍රය,
Agent Details,නියෝජිත විස්තර,
Agents,නියෝජිතයන්,
Agriculture Manager,කෘෂිකර්ම කළමනාකරු,
Agriculture User,කෘෂිකර්ම පරිශීලක,
All,සෑම,
All Contact,සියලු විමසීම්,
