%  Delivered,% Dodaných,
% Amount Billed,% Fakturovanej čiastky,
% Billed,% Fakturovaných,
% Complete Method,Dokončené% Method,
% Completed,% Dokončených,
% Installed,% Inštalovaných,
% Ordered,% Objednané,
% Progress,% Progress,
% Received,% Prijaté,
% of materials billed against this Sales Order,% Materiálov fakturovaných proti tejto Predajnej objednávke,
% of materials delivered against this Sales Order,% materiálov dodaných proti tejto Predajnej objednávke,
(Hour Rate / 60) * Actual Operation Time,(Hodina Rate / 60) * Skutočná Prevádzková doba,
(including),(počítajúc do toho),
* Will be calculated in the transaction.,* Bude vypočítané v transakcii.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Fiškálny rok ** predstavuje finančný rok. Všetky účtovné záznamy a ďalšie významné transakcie sú sledované pod ** Fiškálny rok **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Mesačný Distribúcia ** umožňuje distribuovať Rozpočet / Target celé mesiace, ak máte sezónnosti vo vašej firme.",
1 Loyalty Points = How much base currency?,1 Vernostné body = Koľko základnej meny?,
1 hr,1 hod,
2 Yearly,2 ročne,
30 mins,30 minút,
6 hrs,6 hod,
"A Product or a Service that is bought, sold or kept in stock.","Produkt nebo služba, která se Nakupuje, Prodává nebo Skladuje.",
A condition for a Shipping Rule,Podmínka pro pravidla dopravy,
A logical Warehouse against which stock entries are made.,"Logická Warehouse na položky, které mohou být vyrobeny.",
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Distributor / dealer / jednatel / partner / prodejce, který prodává produkty společnosti za provizi.",
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-pInv-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.RRRR.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.RRRR.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-Sinv-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Datum vypršení platnosti,
API,API,
API Endpoint,Koncový bod rozhrania API,
API Key,kľúč API,
Abbr,Zkr,
Abbreviation,Zkratka,
Academics User,akademici Užívateľ,
Accepted,Přijato,
Accepted Qty,Prijaté množstvo,
Accepted Quantity,Schválené Množstvo,
Accepted Warehouse,Schválené Sklad,
Access Token,Přístupový Token,
Account,účet,
Account Balance,Zůstatek na účtu,
Account Currency,Mena účtu,
Account Details,Údaje o účtu,
Account Head,Účet Head,
Account Manager,Account Manager,
Account Name,Názov účtu,
Account Number,Číslo účtu,
Account Paid From,Účet sú platení z prostriedkov,
Account Paid To,účet Venovaná,
Account Subtype,Podtyp účtu,
Account Type,Typ účtu,
Account for Change Amount,Účet pre zmenu Suma,
Accounting,Účtovníctvo,
Accounting Details,Účtovné Podrobnosti,
Accounting Dimension,Účtovná dimenzia,
Accounting Dimension Detail,Detail účtovnej dimenzie,
Accounting Dimensions,Účtovné dimenzie,
Accounting Dimensions ,Účtovné dimenzie,
Accounting Entries,Účetní záznamy,
Accounting Period,Účtovného obdobia,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Účtovné záznamy sú zmrazené až do tohto dátumu. Nikto nemôže vytvárať ani upravovať položky okrem používateľov s rolou uvedenou nižšie,
Accounts,účty,
Accounts Frozen Till Date,Účty zmrazené do dátumu,
Accounts Manager,Manažér účtov,
Accounts Payable,Účty za úplatu,
Accounts Payable Summary,Splatné účty Shrnutí,
Accounts Receivable,Pohledávky,
Accounts Receivable Credit Account,Úverový účet pohľadávok,
Accounts Receivable Discounted Account,Zľavový účet pohľadávok,
Accounts Receivable Summary,Pohledávky Shrnutí,
Accounts Receivable Unpaid Account,Nesplatené účty pohľadávok,
Accounts Settings,Nastavenie účtu,
Accounts User,Uživatel Účtů,
Accumulated Depreciation,oprávky,
Accumulated Depreciation Account,účet oprávok,
Accumulated Depreciation Amount,oprávky Suma,
Acquisition Date,akvizície Dátum,
Action,Akce,
Action If Quality Inspection Is Not Submitted,"Opatrenie, ak nie je predložená kontrola kvality",
Action if Accumulated Monthly Budget Exceeded on Actual,Ak akumulovaný mesačný rozpočet prekročil skutočný,
Action if Accumulated Monthly Budget Exceeded on MR,Ak je akumulovaný mesačný rozpočet prekročen na MR,
Action if Accumulated Monthly Budget Exceeded on PO,Ak akumulovaný mesačný rozpočet prekročil PO,
Action if Annual Budget Exceeded on Actual,"Opatrenie, ak bol ročný rozpočet prekročený na skutočný",
Action if Annual Budget Exceeded on MR,Opatrenie v prípade prekročenia ročného rozpočtu na MR,
Action if Annual Budget Exceeded on PO,"Opatrenie, ak bol prekročený ročný rozpočet na PO",
Actions,Akcie,
Actions performed,Vykonané akcie,
Active,Aktívny,
Activities,aktivity,
Activity Cost,Náklady Aktivita,
Activity Type,Druh činnosti,
Actual,skutočný,
Actual Batch Quantity,Skutočné množstvo šarže,
Actual Date,Skutečné datum,
Actual End Date,Skutečné datum ukončení,
Actual End Date (via Timesheet),Skutočný dátum ukončenia (cez Time Sheet),
Actual End Time,Aktuální End Time,
Actual Operating Cost,Skutečné provozní náklady,
Actual Operation Time,Aktuální Provozní doba,
Actual Qty,Skutečné Množství,
Actual Qty (at source/target),Skutečné množství (u zdroje/cíle),
Actual Start Date,Skutečné datum zahájení,
Actual Start Date (via Timesheet),Skutočný dátum začatia (cez Časový rozvrh),
Actual Start Time,Skutečný čas začátku,
Actual Time and Cost,Skutečný Čas a Náklady,
Actual Time in Hours (via Timesheet),Skutočná doba (v hodinách),
Add,Pridať,
Add Quote,Pridať ponuku,
Add Weekly Holidays,Pridajte týždenné sviatky,
Add or Deduct,Přidat nebo Odečíst,
Add to Holidays,Pridať do sviatkov,
Add to Transit,Pridať do verejnej dopravy,
Additional Cost,Dodatočné náklady,
Additional Costs,Dodatočné náklady,
Additional DIscount Amount,Dodatočná zľava Suma,
Additional DIscount Percentage,Ďalšie zľavy Percento,
Additional Details,Ďalšie podrobnosti,
Additional Discount,Ďalšie zľavy,
Additional Discount Amount,Dodatočná suma zľavy,
Additional Discount Amount (Company Currency),Dodatočná zľava Suma (Mena Company),
Additional Discount Percentage,Dodatočné percento zľavy,
Additional Information,Ďalšie informácie,
Additional Notes,Doplňujúce Poznámky,
Additional Operating Cost,Další provozní náklady,
Additional information regarding the customer.,Ďalšie informácie týkajúce sa zákazníka.,
Address,Adresa,
Address & Contact,Adresa a kontakt,
Address & Contacts,Adresa a kontakty,
Address Desc,Popis adresy,
Address HTML,Adresa HTML,
Address Line 1,Riadok adresy 1,
Address Line 2,Riadok adresy 2,
Address Name,Meno adresy,
Address and Contact,Adresa a Kontakt,
Address and Contacts,Adresa a kontakty,
Address used to determine Tax Category in transactions,Adresa použitá na určenie daňovej kategórie v transakciách,
Addresses,Adresy,
Administrator,Správce,
Advance Account,Advance účet,
Advance Amount,Záloha ve výši,
Advance Paid,Vyplacené zálohy,
Advance Payments,Zálohové platby,
Advance amount,Záloha ve výši,
Advanced Settings,Pokročilé nastavenia,
Advances,Zálohy,
Against,proti,
Against Account,Proti účet,
Against Blanket Order,Proti paušálnej objednávke,
Against Delivery Note Item,Proti položke poznámky k dodaniu,
Against Docname,Proti Docname,
Against Doctype,Proti DOCTYPE,
Against Document Detail No,Proti Detail dokumentu č,
Against Document No,Proti dokumentu č,
Against Expense Account,Proti výdajového účtu,
Against Income Account,Proti účet příjmů,
Against Sales Invoice,Proti prodejní faktuře,
Against Sales Invoice Item,Proti položce vydané faktury,
Against Sales Order,Proti přijaté objednávce,
Against Sales Order Item,Proti položce přijaté objednávky,
Against Stock Entry,Proti zásobám,
Against Voucher,Proti poukazu,
Against Voucher Type,Proti poukazu typu,
Ageing Based On,Stárnutí dle,
Agenda,program,
Agent Details,Podrobnosti o agentovi,
Agents,agents,
Agriculture Manager,Poľnohospodársky manažér,
Agriculture User,Poľnohospodársky užívateľ,
All,ALL,
All Contact,Vše Kontakt,
All Customer Contact,Všetky Kontakty Zákazníka,
All Employee (Active),Všichni zaměstnanci (Aktivní),
All Lead (Open),Všetky Iniciatívy (Otvorené),
All Sales Partner Contact,Všechny Partneři Kontakt,
All Sales Person,Všichni obchodní zástupci,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Všechny prodejní transakce mohou být označeny proti více ** prodejcům **, takže si můžete nastavit a sledovat cíle.",
All Supplier Contact,Vše Dodavatel Kontakt,
