%  Delivered,% Dostavljeno,
% Amount Billed,% Zaračunani znesek,
% Billed,% zaračunano,
% Complete Method,% končano,
% Completed,% končano,
% Installed,% nameščeno,
% Ordered,% Naročeno,
% Progress,% napredka,
% Received,% Prejeto,
% of materials billed against this Sales Order,% materiala zaračunano po tej naročilnici,
% of materials delivered against this Sales Order,% materiala dobavljeno po tej naročilnici,
(Hour Rate / 60) * Actual Operation Time,(Urna postavka / 60) * Dejanski  čas operacije,
(including),(vključno),
* Will be calculated in the transaction.,* Bo izračunano v transakciji.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Poslovno leto** predstavlja knjigovodsko leto. Vse vknjižbe in druge transakcije so povezane s **poslovnim letom**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"**Mesečna razporeditev** vam pomaga razporejati proračun/cilje po mesecih, če imate sezonskost v vaši dejavnosti.",
1 Loyalty Points = How much base currency?,1 Točke za zvestobe = Koliko osnovna valuta?,
1 hr,1 uro,
2 Yearly,pred 2 letoma,
30 mins,30 min,
6 hrs,6 ur,
"A Product or a Service that is bought, sold or kept in stock.","Izdelek ali storitev, ki je kupil, prodal ali jih hranijo na zalogi.",
A condition for a Shipping Rule,Pogoj za Pravilo pošiljanja,
A logical Warehouse against which stock entries are made.,"Logično Warehouse, zoper katerega so narejeni vnosov zalog.",
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Distributer tretja oseba / trgovec / provizije agent / podružnica / prodajalec, ki prodaja podjetja, izdelke za provizijo.",
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-YYYY-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.LLLL.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.LLLL.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.LLLL.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.LLLL.-,
AMC Expiry Date,AMC preteka Datum,
API,API,
API Endpoint,Končna točka API,
API Key,ključ API,
Abbr,Abbr,
Abbreviation,Kratica,
Academics User,akademiki Uporabnik,
Accepted,Sprejeto,
Accepted Qty,Sprejeto Količina,
Accepted Quantity,Accepted Količina,
Accepted Warehouse,Accepted Skladišče,
Access Token,Dostopni žeton,
Account,račun,
Account Balance,Stanje na računu,
Account Currency,Valuta računa,
Account Details,podrobnosti računa,
Account Head,Račun Head,
Account Manager,Upravitelj računa,
Account Name,Ime računa,
Account Number,Številka računa,
Account Paid From,Račun se plača iz,
Account Paid To,Račun Izplača,
Account Subtype,Podtip računa,
Account Type,Vrsta računa,
Account for Change Amount,Račun za znesek spremembe,
Accounting,Računovodstvo,
Accounting Details,Računovodstvo Podrobnosti,
Accounting Dimension,Računovodska razsežnost,
Accounting Dimension Detail,Podrobnosti o dimenzijah računovodstva,
Accounting Dimensions,Računovodske razsežnosti,
Accounting Dimensions ,Računovodske dimenzije,
Accounting Entries,Vknjižbe,
Accounting Period,Obračunsko obdobje,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"Knjigovodske postavke so do tega datuma zamrznjene. Nihče ne more ustvarjati ali spreminjati vnosov, razen uporabnikov s spodnjo vlogo",
Accounts,Računi,
Accounts Frozen Till Date,Računi zamrznjeni do datuma,
Accounts Manager,Accounts Manager,
