%  Delivered,% Dorëzuar,
% Amount Billed,% Shuma faturuar,
% Billed,% Faturuar,
% Complete Method,% Complete Metoda,
% Completed,% Kompletuar,
% Installed,% Installed,
% Ordered,% Urdhërohet,
% Progress,% Progress,
% Received,% Marra,
% of materials billed against this Sales Order,% E materialeve faturuar kundër këtij Rendit Shitje,
% of materials delivered against this Sales Order,% E materialeve dorëzuar kundër këtij Rendit Shitje,
(Hour Rate / 60) * Actual Operation Time,(Ore Rate / 60) * aktuale Operacioni Koha,
(including),(Duke përfshirë),
* Will be calculated in the transaction.,* Do të llogaritet në transaksion.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Viti Fiskal ** përfaqëson një viti financiar. Të gjitha shënimet e kontabilitetit dhe transaksionet tjera të mëdha janë gjurmuar kundër Vitit Fiskal ** **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Shpërndarja mujore ** ju ndihmon të shpërndani Buxhetore / Target gjithë muaj nëse keni sezonalitetit në biznesin tuaj.,
1 Loyalty Points = How much base currency?,1 Pikë besueshmerie = Sa ne monedhë bazë?,
1 hr,1 orë,
2 Yearly,2 vjetore,
30 mins,30 minuta,
6 hrs,6 orë,
"A Product or a Service that is bought, sold or kept in stock.","Një produkt apo një shërbim që është blerë, shitur apo mbajtur në magazinë.",
A condition for a Shipping Rule,Një kusht për Sundimin Shipping,
A logical Warehouse against which stock entries are made.,Një Magazina logjik kundër të cilit janë bërë të hyra të aksioneve.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Një shpërndarës i palës së tretë / tregtari / komision agjent / degë / reseller që shet produkte kompani për një komision.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,barkut,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.VVVV.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.VVVV.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.VVVV.-,
AMC Expiry Date,AMC Data e Mbarimit,
API,API,
API Endpoint,API Endpoint,
API Key,API Key,
Abbr,Abbr,
Abbreviation,Shkurtim,
Academics User,akademikët User,
Accepted,Pranuar,
Accepted Qty,Sasia e pranuar,
Accepted Quantity,Sasi të pranuar,
Accepted Warehouse,Magazina pranuar,
Access Token,Qasja Token,
Account,llogari,
Account Balance,Bilanci i llogarisë,
Account Currency,Llogaria Valuta,
Account Details,detajet e llogarise,
Account Head,Shef llogari,
Account Manager,Menaxher i llogarisë,
Account Name,Emri i llogarisë,
Account Number,Numri i llogarisë,
Account Paid From,Llogaria e paguar nga,
Account Paid To,Llogaria Paid To,
