%  Delivered,Испоручено %,
% Amount Billed,% Фактурисаних износа,
% Billed,Фактурисано %,
% Complete Method,% Комплетна Метод,
% Completed,Завршено %,
% Installed,Инсталирано %,
% Ordered,% Од А до Ж,
% Progress,% Напредак,
% Received,% Примљено,
% of materials billed against this Sales Order,% Материјала наплаћени против овог налога за продају,
% of materials delivered against this Sales Order,% испоручених материјала на основу овог Налога за продају,
(Hour Rate / 60) * Actual Operation Time,(Час курс / 60) * Пуна Операција време,
(including),(укључујући),
* Will be calculated in the transaction.,* Биће обрачунато у овој трансакцији.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Фискална година** представља Финансијску годину. Све рачуноводствене уносе и остале главне трансакције се прате наспрам **Фискалне фодине**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Месечни Дистрибуција ** помаже да дистрибуирате буџет / Таргет преко месеци ако имате сезонски у свом послу.,
1 Loyalty Points = How much base currency?,1 Лоиалти Поинтс = Колико основних валута?,
1 hr,1 сат,
2 Yearly,2 годишње,
30 mins,30 мин,
6 hrs,6 сати,
"A Product or a Service that is bought, sold or kept in stock.","Производ или сервис који се купити, продати или држати у складишту.",
A condition for a Shipping Rule,Услов за владавину Схиппинг,
A logical Warehouse against which stock entries are made.,Логичан Магацин против које уноси хартије су направљени.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Треће лице дистрибутер / дилер / заступника / сарадник / дистрибутер који продаје компанијама производе за провизију.,
A+,А +,
A-,А-,
A4,А4,
AB+,АБ +,
AB-,АБ-,
ACC-AML-.YYYY.-,АЦЦ-АМЛ-ИИИИ.-,
ACC-ASR-.YYYY.-,АЦЦ-АСР-.ИИИИ.-,
ACC-ASS-.YYYY.-,АЦЦ-АСС-.ИИИИ.-,
ACC-BTN-.YYYY.-,АЦЦ-БТН-.ИИИИ.-,
ACC-JV-.YYYY.-,АЦЦ-ЈВ-ИИИИ.-,
ACC-PAY-.YYYY.-,АЦЦ-ПАИ-.ИИИИ.-,
ACC-PINV-.YYYY.-,АЦЦ-ПИНВ-.ИИИИ.-,
ACC-PINV-RET-.YYYY.-,АЦЦ-ПИНВ-РЕТ-.ГГГГ.-,
ACC-PRQ-.YYYY.-,АЦЦ-ПРК-.ИИИИ.-,
ACC-PSINV-.YYYY.-,АЦЦ-ПСИНВ-.ГГГГ.-,
ACC-SH-.YYYY.-,АЦЦ-СХ-.ИИИИ.-,
ACC-SINV-.YYYY.-,АЦЦ-СИНВ-.ИИИИ.-,
ACC-SINV-RET-.YYYY.-,АЦЦ-СИНВ-РЕТ-.ГГГГ.-,
AMC Expiry Date,АМЦ Датум истека,
API,АПИ,
API Endpoint,Ендпоинт АПИ,
API Key,АПИ кључ,
Abbr,Аббр,
Abbreviation,Скраћеница,
Academics User,akademici Корисник,
Accepted,Примљен,
Accepted Qty,Прихваћено Количина,
Accepted Quantity,Прихваћено Количина,
Accepted Warehouse,Прихваћено Магацин,
Access Token,Приступ токен,
Account,Рачун,
Account Balance,Рачун Биланс,
Account Currency,Рачун Валута,
Account Details,Детаљи рачуна,
Account Head,Рачун шеф,
Account Manager,Менаџер налога,
Account Name,Име налога,
Account Number,Број рачуна,
Account Paid From,Рачун Паид Од,
Account Paid To,Рачун Паид То,
Account Subtype,Подтип рачуна,
Account Type,Тип налога,
Account for Change Amount,Рачун за промене Износ,
Accounting,Рачуноводство,
Accounting Details,Књиговодство Детаљи,
Accounting Dimension,Рачуноводствена димензија,
Accounting Dimension Detail,Детаљи димензије рачуноводства,
