%  Delivered,% Levereras,
% Amount Billed,% Belopp fakturerat,
% Billed,% Fakturerad,
% Complete Method,% Komplett metod,
% Completed,% Slutfört,
% Installed,% Installerad,
% Ordered,% Beställt,
% Progress,% Framgång,
% Received,% Emot,
% of materials billed against this Sales Order,% Av material faktureras mot denna kundorder,
% of materials delivered against this Sales Order,% Av material som levereras mot denna kundorder,
(Hour Rate / 60) * Actual Operation Time,(Timkostnad/60) * Faktisk produktionstid,
(including),(inklusive),
* Will be calculated in the transaction.,* Kommer att beräknas i transaktionen.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Räkenskapsåret** representerar budgetåret. Alla bokföringsposter och andra större transaktioner spåras mot **räkenskapsår**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**Månatlig Distribution** hjälper dig distribuera budgeten/målen över månader om du har säsongsförsäljning i din verksamhet.,
1 Loyalty Points = How much base currency?,1 Lojalitetspoäng = Hur mycket basvaluta?,
1 hr,1 timme,
2 Yearly,2 årligen,
30 mins,30 minuter,
6 hrs,6 timmar,
"A Product or a Service that is bought, sold or kept in stock.","En produkt eller en tjänst som köps, säljs eller hålls i lager.",
A condition for a Shipping Rule,En förutsättning för en frakt Regel,
A logical Warehouse against which stock entries are made.,Ett logiskt lager mot vilken lagerposter görs.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,En tredjepartsdistributör/återförsäljare/kommissionär/influencer som säljer företagets produkter mot provision.,
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.ÅÅÅÅ.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Förfallodatum,
API,API,
API Endpoint,API slutpunkt,
API Key,API-nyckel,
Abbr,Förkortning,
Abbreviation,Förkortning,
Academics User,Akademisk - användare,
Accepted,Godkända,
Accepted Qty,Godkänd antal,
Accepted Quantity,Godkänd kvantitet,
Accepted Warehouse,Godkänt lager,
Access Token,Tillträde token,
Account,konto,
Account Balance,Balanskonto,
Account Currency,Konto Valuta,
Account Details,Kontouppgifter,
Account Head,Kontohuvud,
Account Manager,Kontohanterare,
Account Name,Kontonamn,
Account Number,Kontonummer,
Account Paid From,Konto betalas från,
Account Paid To,Konto betalt för att,
Account Subtype,Kontotyp,
Account Type,Användartyp,
Account for Change Amount,Konto för förändring Belopp,
Accounting,Redovisning,
Accounting Details,Redovisning Detaljer,
Accounting Dimension,Redovisningsdimension,
Accounting Dimension Detail,Redovisningsdimensiondetalj,
Accounting Dimensions,Redovisningsdimensioner,
Accounting Dimensions ,Redovisningsdimensioner,
Accounting Entries,Bokföringsposter,
Accounting Period,Redovisningsperiod,
