%  Delivered,Imetolewa,
% Amount Billed,Kiasi kinachojazwa,
% Billed,Imelipwa,
% Complete Method,Njia kamili,
% Completed,Imekamilika,
% Installed,Imewekwa,
% Ordered,Aliamriwa,
% Progress,Maendeleo,
% Received,Imepokea,
% of materials billed against this Sales Order,% ya vifaa vilivyotokana na Utaratibu huu wa Mauzo,
% of materials delivered against this Sales Order,% ya vifaa vinavyotolewa dhidi ya Maagizo ya Mauzo haya,
(Hour Rate / 60) * Actual Operation Time,(Kiwango cha Saa / 60) * Muda halisi wa Uendeshaji,
(including),(ikiwa ni pamoja na),
* Will be calculated in the transaction.,* Itahesabiwa katika shughuli.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Mwaka wa Fedha ** inawakilisha Mwaka wa Fedha. Entries zote za uhasibu na shughuli nyingine kubwa zinapatikana dhidi ya ** Mwaka wa Fedha **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Usambazaji wa kila mwezi ** husaidia kusambaza Bajeti / Target miezi miwili ikiwa una msimu katika biashara yako.,
1 Loyalty Points = How much base currency?,1 Uaminifu Pointi = Fedha ya msingi kiasi gani?,
1 hr,Saa 1,
2 Yearly,2 kwa mwaka,
30 mins,Dakika 30,
6 hrs,Saa 6,
"A Product or a Service that is bought, sold or kept in stock.","Bidhaa au Huduma inayotunuliwa, kuuzwa au kuhifadhiwa katika hisa.",
A condition for a Shipping Rule,Hali ya Utawala wa Usafirishaji,
A logical Warehouse against which stock entries are made.,Ghala la mantiki ambalo vituo vya hisa vinafanywa.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Washirika wa tatu / muuzaji / wakala wa tume / mshirika / wauzaji ambaye anauza bidhaa za kampuni kwa tume.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML -YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR -YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY--,
ACC-JV-.YYYY.-,ACC-JV -YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY -YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV -YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ -YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV -YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,Tarehe ya Kumalizika ya AMC,
API,API,
