%  Delivered,% จัดส่งแล้ว,
% Amount Billed,% ของยอดเงินที่เรียกเก็บแล้ว,
% Billed,% เรียกเก็บแล้ว,
% Complete Method,% วิธีการที่สมบูรณ์แบบ,
% Completed,% เสร็จสมบูรณ์,
% Installed,% ที่ติดตั้งแล้ว,
% Ordered,% สั่งแล้ว,
% Progress,% ความคืบหน้า,
% Received,% ที่ได้รับแล้ว,
% of materials billed against this Sales Order,% ของวัสดุที่เรียกเก็บเงินเทียบกับคำสั่งขายนี้,
% of materials delivered against this Sales Order,% ของวัสดุที่ส่งเทียบกับคำสั่งซื้อนี้,
(Hour Rate / 60) * Actual Operation Time,(อัตราค่าแรง / 60) * เวลาที่ดำเนินงานจริง,
(including),(รวม),
* Will be calculated in the transaction.,* จะถูกคำนวณในขณะทำรายการ,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** ปีงบประมาณ ** หมายถึงปีทางการเงิน ทุกรายการบัญชีและการทำธุรกรรมอื่น ๆ ที่สำคัญมีการติดตามต่อปี ** ** การคลัง,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** การกระจายรายเดือน ** จะช่วยให้คุณแจกจ่ายงบประมาณ / เป้าหมายข้ามเดือนถ้าคุณมีฤดูกาลในธุรกิจของคุณ,
1 Loyalty Points = How much base currency?,1 Loyalty Points = สกุลเงินหลักเท่าใด?,
1 hr,1 ชม,
2 Yearly,2 Yearly,
30 mins,30 นาที,
6 hrs,6 ชม,
"A Product or a Service that is bought, sold or kept in stock.",สินค้าหรือบริการที่มีการซื้อขายหรือเก็บไว้ในสต็อก,
A condition for a Shipping Rule,เงื่อนไขสำหรับกฎการจัดส่งสินค้า,
A logical Warehouse against which stock entries are made.,โกดังตรรกะกับที่รายการหุ้นที่ทำ,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,จำหน่ายบุคคลที่สาม / ตัวแทนจำหน่าย / ตัวแทนคณะกรรมการ / พันธมิตร / ผู้ค้าปลีกที่ขายสินค้า บริษัท สำหรับคณะกรรมการ,
A+,A+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,วันที่หมดอายุ AMC,
API,API,
API Endpoint,จุดเชื่อมต่อ API,
API Key,คีย์ API,
Abbr,ตัวอักษรย่อ,
Abbreviation,ตัวย่อ,
Academics User,นักวิชาการผู้ใช้,
Accepted,ได้รับการยอมรับแล้ว,
Accepted Qty,ยอมรับจำนวน,
Accepted Quantity,จำนวนที่ยอมรับ,
Accepted Warehouse,คลังสินค้าได้รับการยอมรับ,
Access Token,เข้าสู่ Token,
Account,บัญชี,
Account Balance,ยอดเงินในบัญชี,
Account Currency,สกุลเงินของบัญชี,
Account Details,รายละเอียดบัญชี,
Account Head,หัวบัญชี,
Account Manager,ผู้จัดการบัญชี,
Account Name,ชื่อบัญชี,
Account Number,หมายเลขบัญชี,
Account Paid From,บัญชีจ่ายจาก,
Account Paid To,บัญชีชำระเงิน,
Account Subtype,ประเภทย่อยบัญชี,
Account Type,ประเภทบัญชี,
Account for Change Amount,บัญชีเพื่อการเปลี่ยนแปลงจำนวน,
Accounting,การบัญชี,
Accounting Details,รายละเอียดบัญชี,
Accounting Dimension,มิติทางการบัญชี,
Accounting Dimension Detail,รายละเอียดมิติทางการบัญชี,
Accounting Dimensions,มิติการบัญชี,
Accounting Dimensions ,มิติทางการบัญชี,
Accounting Entries,บัญชีรายการ,
Accounting Period,รอบระยะเวลาบัญชี,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,รายการบัญชีถูกระงับจนถึงวันนี้ ไม่มีใครสามารถสร้างหรือแก้ไขรายการยกเว้นผู้ใช้ที่มีบทบาทตามที่ระบุไว้ด้านล่าง,
Accounts,บัญชี,
Accounts Frozen Till Date,บัญชีแช่แข็งจนถึงวันที่,
Accounts Manager,ผู้จัดการบัญชี,
Accounts Payable,บัญชีเจ้าหนี้,
Accounts Payable Summary,สรุปบัญชีเจ้าหนี้,
Accounts Receivable,ลูกหนี้,
Accounts Receivable Credit Account,บัญชีลูกหนี้บัญชีเครดิต,
Accounts Receivable Discounted Account,บัญชีลูกหนี้ลดราคา,
Accounts Receivable Summary,สรุปบัญชีลูกหนี้,
Accounts Receivable Unpaid Account,บัญชีลูกหนี้ที่ยังไม่ได้ชำระ,
Accounts Settings,ตั้งค่าบัญชี,
Accounts User,ผู้ใช้งานบัญชี,
Accumulated Depreciation,ค่าเสื่อมราคาสะสม,
Accumulated Depreciation Account,บัญชีค่าเสื่อมราคาสะสม,
Accumulated Depreciation Amount,จำนวนเงินค่าเสื่อมราคาสะสม,
Acquisition Date,การได้มาซึ่งวัน,
Action,ดำเนินการ,
Action If Quality Inspection Is Not Submitted,การดำเนินการหากไม่ได้ส่งการตรวจสอบคุณภาพ,
Action if Accumulated Monthly Budget Exceeded on Actual,การดำเนินการหากงบประมาณรายเดือนสะสมเกินกว่าที่เป็นจริง,
Action if Accumulated Monthly Budget Exceeded on MR,การดำเนินการหากงบประมาณรายเดือนสะสมเกินกว่า MR,
Action if Accumulated Monthly Budget Exceeded on PO,การดำเนินการหากงบประมาณรายเดือนสะสมมากกว่าที่ PO,
Action if Annual Budget Exceeded on Actual,การดำเนินการหากงบประมาณรายปีเกินจริง,
Action if Annual Budget Exceeded on MR,การดำเนินการหากงบประมาณรายปีเกินกว่า MR,
Action if Annual Budget Exceeded on PO,การดำเนินการหากงบประมาณรายปีเกินกว่า PO,
Actions,การดำเนินการ,
Actions performed,ดำเนินการแล้ว,
Active,ใช้งาน,
