%  Delivered,% Teslim Edildi,
% Amount Billed,% Faturalanan Tutar,
% Billed,% Faturalandı,
% Complete Method,% Tamamlama Yöntemi,
% Completed,% Tamamlandı,
% Installed,% Montajlanan,
% Ordered,% Sipariş verildi,
% Process Loss,% İşletme Zararı,
% Progress,İlerleme % Yüzdesi,
% Received,% Alındı,
% of materials billed against this Sales Order,% malzemenin faturası bu Satış Emri karşılığında oluşturuldu,
% of materials delivered against this Sales Order,% malzeme bu satış emri karşılığında teslim edildi,
(Hour Rate / 60) * Actual Operation Time,(Saat Hızı / 60) * Gerçek Operasyon Süresi,
(including),(dahildir),
* Will be calculated in the transaction.,* İşlemde hesaplanacaktır.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Mali Yılı ** Mali Yılı temsil eder. Tüm muhasebe kayıtları ve diğer önemli işlemler ** ** Mali Yılı karşı izlenir.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,İşinizde sezonluk değişkenlik varsa **Aylık Dağılım** Bütçe/Hedef'i aylara dağıtmanıza yardımcı olur.,
1 Loyalty Points = How much base currency?,1 Sadakat Puanı = Ne kadar para birimi?,
1 hr,1 saat,
2 Yearly,2 Yıllık,
30 mins,30 dakika,
6 hrs,6 saat,
"A Product or a Service that is bought, sold or kept in stock.","Bir Ürün veya satın alınan, satılan veya stokta verileri bir hizmet.",
A condition for a Shipping Rule,Nakliye Kuralı için şart,
A logical Warehouse against which stock entries are made.,Stok girişleri Depoya karşı yapıldı,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Bir komisyon için kuruluşlar birimleri şeytan bir üçüncü taraf sağlayıcı / bayi / komisyon ajan / ortaklık / bayi.,
A+,+,
A-,A-,
A4,A4,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSTERS-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC Bitiş Tarihi,
API,API,
API Endpoint,API Endpoint,
API Key,API Key,
Abbr,Kısaltma,
Abbreviation,Kısaltma,
About,Hakkında,
Academics User,Akademik Kullanıcı,
Accepted,Kabül Edildi,
Accepted Qty,Kabul edilen Miktar,
Accepted Qty in Stock UOM,Stok Biriminde Kabul edilen Miktar,
Accepted Quantity,Kabul edilen Miktar,
Accepted Warehouse,Kabul edilen Depo,
Access Token,Erişim Anahtarı,
Account,Hesap,
Account Balance,Hesap Bakiyesi,
Account Currency,Hesabın Döviz Cinsi,
Account Details,Hesap Detayları,
Account Head,Hesap Başlığı,
Account Manager,Muhasebe Yöneticisi,
Account Name,Hesap Adı,
Account Number,Hesap Numarası,
Account Paid From,Ödeme Çıkış Hesabı,
Account Paid To,Ödeme Giriş Hesabı,
Account Subtype,Hesap Alt Türü,
Account Type,Hesap Türü,
Account for Change Amount,Değişim Miktarı Hesabı,
Accounting,Muhasebe,
Accounting Details,Muhasebe Detayları,
Accounting Dimension,Muhasebe Boyutu,
Accounting Dimension Detail,Muhasebe Boyut Detayı,
Accounting Dimensions,Muhasebe Boyutları,
Accounting Dimensions ,Muhasebe Boyutları,
Accounting Entries,Muhasebe Kayıtları,
Accounting Period,Muhasebe Dönemi,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Muhasebe girişleri bu tarihe kadar dondurulmuştur. Aşağıda belirtilen role sahip kullanıcılar dışında hiç kimse giremez oluşturamaz veya değiştiremez,
Accounts,Hesaplar,
Accounts Frozen Till Date,Tarihe Kadar Dondurulan Hesaplar,
Accounts Manager,Hesap Yöneticisi,
Accounts Payable,Borç Hesabı,
Accounts Payable Summary,Borç Hesabı Özeti,
Accounts Receivable,Alacak Hesabı,
Accounts Receivable Credit Account,Alacak Alacak Hesabı,
Accounts Receivable Discounted Account,Alacak Hesapları,
Accounts Receivable Summary,Alacak Hesabı Özeti,
Accounts Receivable Unpaid Account,Alacaksız Alacak Hesabı,
Accounts Settings,Hesap Ayarları,
Accounts User,Muhasebe Kullanıcısı,
Accumulated Depreciation,Birikmiş Amortisman,
Accumulated Depreciation Account,Birikmiş Amortisman Hesabı,
Accumulated Depreciation Amount,Birikmiş Amortisman Tutarı,
Acquisition Date,Alım Tarihi,
Action,İşlem,
Action If Quality Inspection Is Not Submitted,Kalite Denetimi Gönderilmezse Yapılacak İşlem,
Action If Quality Inspection Is Rejected,Kalite Muayenesi Reddedilirse Yapılacak İşlem,
Action If Same Rate is Not Maintained,Aynı Oran Sağlanmazsa Yapılacak İşlem,
Action if Accumulated Monthly Budget Exceeded on Actual,"Gerçekleşen, Aylık Bütçeyi Aşdıysa İşlemleri",
Action if Accumulated Monthly Budget Exceeded on MR,MR Üzerinde Aylık Bütçe Aşıldıysa İşlemleri,
Action if Accumulated Monthly Budget Exceeded on PO,Birikmiş Aylık Bütçe Bütçesi Aşıldıysa Eylem,
Action if Annual Budget Exceeded on Actual,Yıllık Bütçe Gerçekleşen Durumunda Aşıldıysa Eylem,
Action if Annual Budget Exceeded on MR,MR Üzerinde Yıllık Bütçe Aşıldıysa Eylem,
Action if Annual Budget Exceeded on PO,Yıllık Bütçe Bütçesi Aşıldıysa Eylem,
Actions,İşlemler,
Actions performed,Yapılan eylemler,
Active,Aktif,
Activities,faaliyetler,
Activity Cost,Faaliyet Maliyeti,
Activity Type,Faaliyet Türü,
Actual,Gerçek,
Actual Batch Quantity,Gerçek Parti Miktarı,
Actual Date,Gerçek Tarih,
Actual End Date,Fiili Bitiş Tarihi,
Actual End Date (via Timesheet),Gerçek bitiş tarihi (Zaman Tablosu'ndan),
Actual End Time,Gerçek Bitiş Zamanı,
Actual Operating Cost,Fiili Operasyon Maliyeti,
Actual Operation Time,Gerçek Operasyon Süresi,
Actual Qty,Fiili Miktar,
Actual Qty (at source/target),Fiili Miktar (kaynak / hedef),
Actual Start Date,Fiili Başlangıç Tarihi,
Actual Start Date (via Timesheet),Gerçek başlangış tarihi (Zaman Tablosu'ndan),
Actual Start Time,Gerçek Başlangıç Zamanı,
Actual Time and Cost,Gerçek Süre ve Maliyet,
Actual Time in Hours (via Timesheet),Gerçek Zaman (Saat olarak),
Add,Ekle,
Add Corrective Operation Cost in Finished Good Valuation,Mamul Değerlemede Düzeltici Operasyon Maliyetini Ekleyin,
Add Quote,Teklif Ekle,
Add Weekly Holidays,Haftalık Tatilleri Ekle,
Add or Deduct,Ekle veya Çıkar,
Add to Holidays,tatillere ekle,
Add to Transit,Transit Ekle,
Additional Cost,Ek Maliyet,
Additional Costs,Ek geçitler,
Additional DIscount Amount,Ek İndirim Tutarı,
Additional DIscount Percentage,Ek iskonto yüzdesi,
Additional Details,Ek Detaylar,
Additional Discount,Ek İndirim,
Additional Discount Amount,Ek İndirim Tutarı,
Additional Discount Amount (Company Currency),Ek İndirim Tutarı (Şirket Para Birimi),
Additional Discount Percentage,Ek İndirim Yüzdesi,
Additional Info,Ek Bilgi,
Additional Information,Ek Bilgi,
Additional Notes,Ek Notlar,
Additional Operating Cost,Ek Operasyon Maliyeti,
Additional information regarding the customer.,Müşteri ile ilgili ek bilgi.,
Address,Adres,
