%  Delivered,Доставлено%,
% Amount Billed,Виставлено рахунків на %,
% Billed,% Оплачено,
% Complete Method,% Виконаного методу,
% Completed,% Виконано,
% Installed,% Встановлено,
% Ordered,% Замовлено,
% Progress,% Прогрес,
% Received,% Отримано,
% of materials billed against this Sales Order,% матеріалів у виставлених рахунках згідно Замовлення клієнта,
% of materials delivered against this Sales Order,% Матеріалів доставлено по цьому замовленні клієнта,
(Hour Rate / 60) * Actual Operation Time,(Тарифна ставка / 60) * Фактичний Час роботи,
(including),(включаючи),
* Will be calculated in the transaction.,* Розраховуватиметься у операції,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Бюджетний період ** являє собою бюджетний період. Всі бухгалтерські та інші основні операції відслідковуються у розрізі **Бюджетного періоду**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"**Щомісячний розподіл** дозволяє розподілити Бюджет/Мету по місяцях, якщо у вашому бізнесі є сезонність.",
1 Loyalty Points = How much base currency?,1 балів лояльності = скільки базова валюта?,
1 hr,1 год,
2 Yearly,2 раз на рік,
30 mins,30 хв,
6 hrs,6 год,
"A Product or a Service that is bought, sold or kept in stock.","Продукт або послуга, що купується, продається, або зберігається на складі.",
A condition for a Shipping Rule,Умова для Правила доставки,
A logical Warehouse against which stock entries are made.,"Уявний склад, на якому зроблено Рух ТМЦ.",
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Сторонній дистриб'ютор / дилер / комісіонер / Партнер / реселер, що продає продукти компанії за комісію.",
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.РРРР.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.РРРР.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.РРРР.-,
AMC Expiry Date,Дата закінчення річного обслуговування,
API,API,
API Endpoint,Кінцева точка API,
API Key,ключ API,
Abbr,Абревіатура,
Abbreviation,Скорочення,
Academics User,академіки Користувач,
Accepted,Прийняті,
Accepted Qty,Прийнято Кількість,
Accepted Quantity,Прийнята кількість,
Accepted Warehouse,Прийнято на склад,
Access Token,Маркер доступу,
Account,Рахунок,
Account Balance,Баланс,
Account Currency,Валюта рахунку,
Account Details,Деталі облікового запису,
Account Head,Рахунок,
Account Manager,Менеджер облікових записів,
Account Name,Ім&#39;я рахунку,
Account Number,Номер рахунку,
Account Paid From,Рахунок Оплачено з,
Account Paid To,Рахунок оплати,
Account Subtype,Підтип облікового запису,
Account Type,Тип рахунку,
Account for Change Amount,Рахунок для суми змін,
Accounting,Бухгалтерський облік,
Accounting Details,Бухгалтеський облік. Детальніше,
Accounting Dimension,Вимір обліку,
Accounting Dimension Detail,Детальніше про розмір обліку,
Accounting Dimensions,Бухгалтерські виміри,
Accounting Dimensions ,Розмір обліку,
Accounting Entries,Бухгалтерські проводки,
Accounting Period,Період обліку,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"До цієї дати бухгалтерські записи заморожені. Ніхто не може створювати або змінювати записи, крім користувачів із зазначеною нижче роллю",
Accounts,Бухгалтерські рахунки,
Accounts Frozen Till Date,Рахунки заморожені до дати,
Accounts Manager,Диспетчер облікових записів,
Accounts Payable,Кредиторська заборгованість,
Accounts Payable Summary,Зведена кредиторська заборгованість,
Accounts Receivable,Дебіторська заборгованість,
Accounts Receivable Credit Account,Кредитний рахунок дебіторської заборгованості,
Accounts Receivable Discounted Account,Дисконтований рахунок дебіторської заборгованості,
Accounts Receivable Summary,Зведена дебіторська заборгованість,
Accounts Receivable Unpaid Account,Неоплачений рахунок дебіторської заборгованості,
Accounts Settings,Налаштування рахунків,
Accounts User,Облікові записи користувачів,
Accumulated Depreciation,Накопичений знос,
Accumulated Depreciation Account,Рахунок накопиченого зносу,
Accumulated Depreciation Amount,Сума накопиченого зносу,
Acquisition Date,придбання Дата,
Action,Дія,
Action If Quality Inspection Is Not Submitted,"Дія, якщо перевірка якості не подається",
Action if Accumulated Monthly Budget Exceeded on Actual,"Дія, якщо накопичений місячний бюджет перевищено на фактичному",
Action if Accumulated Monthly Budget Exceeded on MR,"Дія, якщо накопичений місячний бюджет перевищено на ЗМ",
