%  Delivered,پھچ چوکا ٪,
% Amount Billed,٪ رقم بل,
% Billed,٪ بل,
% Complete Method,٪ مکمل طریقہ,
% Completed,٪ مکمل,
% Installed,٪ نصب,
% Ordered,٪سامان آرڈرھوگیا,
% Progress,٪ پروگریس,
% Received,٪ موصول,
% of materials billed against this Sales Order,مواد کی٪ اس کی فروخت کے خلاف بل,
% of materials delivered against this Sales Order,مواد کی٪ اس کی فروخت کے خلاف ہونے والا,
(Hour Rate / 60) * Actual Operation Time,ڰنٹےکی شرح / 60) * اصل آپریشن کے وقت),
(including),(بشمول),
* Will be calculated in the transaction.,* ٹرانزیکشن میں حساب کیا جائے گا.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** مالی سال ** ایک مالی سال کی نمائندگی کرتا ہے. تمام اکاؤنٹنگ اندراجات اور دیگر اہم لین دین *** مالی سال کے ساقھ ٹریک کر رہے ہیں.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** ماہانہ ڈسٹریبیوش ** آپ کو مہینوں بھر بجٹ / نشانے کی تقسیم سے آپ کو آپ کے کاروبار میں seasonality کے ہو تو میں مدد ملتی ہے.,
1 Loyalty Points = How much base currency?,1 وفادار پوائنٹس = کتنا بیس کرنسی؟,
1 hr,1 گھنٹہ,
2 Yearly,2 سالہ,
30 mins,30 منٹ,
6 hrs,6 بجے,
"A Product or a Service that is bought, sold or kept in stock.",ایک پروڈکٹ یا، خریدا فروخت یا اسٹاک میں رکھا جاتا ہے کہ ایک سروس.,
A condition for a Shipping Rule,ایک شپنگ حکمرانی کے لئے ایک شرط,
A logical Warehouse against which stock entries are made.,اسٹاک اندراجات بنا رہے ہیں جس کے خلاف ایک منطقی گودام.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,ایک کمیشن کے کمپنیوں کی مصنوعات فروخت کرتا ہے جو ایک تیسری پارٹی ڈسٹریبیوٹر / ڈیلر / کمیشن ایجنٹ / الحاق / ری سیلر.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,اے اے اے اے ایل- .YYYY-,
ACC-ASR-.YYYY.-,ACC-ASR -YYYY-,
ACC-ASS-.YYYY.-,اے اے اے ایس ایس - .YYYY-,
ACC-BTN-.YYYY.-,ACC-BTN - .YYYY.-,
ACC-JV-.YYYY.-,اے اے اے جی وی- .YYYY-,
ACC-PAY-.YYYY.-,ACC-PAY -YYYY-,
ACC-PINV-.YYYY.-,ACC-PINV -YYYY-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,اے اے پی پی آر- .YYYY-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH -YYYY.-,
ACC-SINV-.YYYY.-,اے اے سی - این - .YYYY-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC ختم ہونے کی تاریخ,
API,API,
API Endpoint,API اختتام پوائنٹ,
API Key,API کلید,
Abbr,Abbr,
Abbreviation,مخفف,
Academics User,ماہرین تعلیم یوزر,
Accepted,قبول کر لیا,
Accepted Qty,قبول کیا مقدار,
Accepted Quantity,منظور مقدار,
Accepted Warehouse,منظور گودام,
Access Token,رسائی کا ٹوکن,
Account,اکاؤنٹ,
Account Balance,اکاؤنٹ بیلنس,
Account Currency,اکاؤنٹ کی کرنسی,
Account Details,اکاؤنٹ کی تفصیلات,
Account Head,اکاؤنٹ ہیڈ,
Account Manager,اکاؤنٹ مینیجر,
Account Name,کھاتے کا نام,
Account Number,اکاؤنٹ نمبر,
Account Paid From,اکاؤنٹ سے ادا,
Account Paid To,اکاؤنٹ کے لئے ادا کی,
Account Subtype,اکاؤنٹ کی ذیلی قسم۔,
Account Type,اکاؤنٹ کی اقسام,
Account for Change Amount,رقم تبدیلی کے لئے اکاؤنٹ,
Accounting,اکاؤنٹنگ,
Accounting Details,اکاؤنٹنگ تفصیلات,
Accounting Dimension,اکاؤنٹنگ طول و عرض۔,
Accounting Dimension Detail,اکاؤنٹنگ طول و عرض کی تفصیل,
Accounting Dimensions,اکاؤنٹنگ کے طول و عرض,
Accounting Dimensions ,اکاؤنٹنگ کے طول و عرض۔,
Accounting Entries,اکاؤنٹنگ اندراجات,
Accounting Period,اکاؤنٹنگ مدت,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,اس تاریخ تک اکاؤنٹنگ اندراجات منجمد ہیں۔ ذیل میں بیان کردہ کردار والے صارفین کے علاوہ کوئی بھی اندراجات تشکیل یا ترمیم نہیں کرسکتا ہے,
Accounts,اکاؤنٹس,
Accounts Frozen Till Date,تاریخ تک منجمد اکاؤنٹس,
Accounts Manager,اکاؤنٹس منیجر,
Accounts Payable,واجب الادا کھاتہ,
Accounts Payable Summary,قابل ادائیگی اکاؤنٹس کے خلاصے,
Accounts Receivable,وصولی اکاؤنٹس,
Accounts Receivable Credit Account,اکاؤنٹس قابل وصول کریڈٹ اکاؤنٹ۔,
Accounts Receivable Discounted Account,اکاؤنٹس قابل وصول رعایتی اکاؤنٹ۔,
Accounts Receivable Summary,اکاؤنٹس وصولی کا خلاصہ,
Accounts Receivable Unpaid Account,اکاؤنٹس قابل وصول اکاؤنٹ۔,
Accounts Settings,ترتیبات اکاؤنٹس,
Accounts User,صارف اکاؤنٹس,
Accumulated Depreciation,جمع ہراس,
Accumulated Depreciation Account,جمع ہراس اکاؤنٹ,
Accumulated Depreciation Amount,جمع ہراس رقم,
Acquisition Date,ارجن تاریخ,
Action,ایکشن,
Action If Quality Inspection Is Not Submitted,اگر کوالٹی انسپیکشن پیش نہیں کیا گیا تو ایکشن,
Action if Accumulated Monthly Budget Exceeded on Actual,اگر ایک ماہانہ بجٹ جمع ہونے سے پہلے اصل میں ختم ہو گیا ہے,
Action if Accumulated Monthly Budget Exceeded on MR,اگر ماہانہ بجٹ جمع ہوئی تو ایم کیو ایم سے ایکشن ختم ہوگئی,
Action if Accumulated Monthly Budget Exceeded on PO,اگر ایک ماہانہ بجٹ جمع ہو چکا ہے تو پیسہ,
Action if Annual Budget Exceeded on Actual,سالانہ بجٹ اصل میں ختم ہونے پر ایکشن,
Action if Annual Budget Exceeded on MR,اگر سالانہ بجٹ ایم جی پر ہوا تو ایکشن,
Action if Annual Budget Exceeded on PO,اگر سالانہ بجٹ پی پی سے زیادہ ہو تو عمل,
Actions,عوامل,
Actions performed,عمل انجام دیا,
Active,ایکٹو,
Activities,سرگرمیاں,
Activity Cost,سرگرمی لاگت,
Activity Type,سرگرمی کی قسم,
Actual,اصل,
Actual Batch Quantity,اصل بیچ مقدار,
Actual Date,اصل تاریخ,
Actual End Date,اصل تاریخ اختتام,
Actual End Date (via Timesheet),اصل تاریخ اختتام (وقت شیٹ کے ذریعے),
Actual End Time,اصل وقت اختتام,
Actual Operating Cost,اصل آپریٹنگ لاگت,
Actual Operation Time,اصل آپریشن کے وقت,
Actual Qty,اصل مقدار,
Actual Qty (at source/target),(ماخذ / ہدف میں) اصل مقدار,
Actual Start Date,اصل شروع کرنے کی تاریخ,
Actual Start Date (via Timesheet),اصل آغاز کی تاریخ (وقت شیٹ کے ذریعے),
Actual Start Time,اصل وقت آغاز,
Actual Time and Cost,اصل وقت اور لاگت,
Actual Time in Hours (via Timesheet),(گھنٹوں میں) اصل وقت,
Add,شامل,
Add Quote,اقتباس میں شامل,
Add Weekly Holidays,ہفتہ وار چھٹیاں شامل کریں,
Add or Deduct,شامل کریں منہا,
Add to Holidays,چھٹیوں میں شامل کریں,
Add to Transit,ٹرانزٹ میں شامل کریں,
Additional Cost,اضافی لاگت,
Additional Costs,اضافی اخراجات,
Additional DIscount Amount,اضافی ڈسکاؤنٹ رقم,
Additional DIscount Percentage,اضافی ڈسکاؤنٹ فی صد,
Additional Details,ایڈیشنل تفصیلات,
Additional Discount,اضافی رعایت,
Additional Discount Amount,اضافی چھوٹ کی رقم,
Additional Discount Amount (Company Currency),اضافی ڈسکاؤنٹ رقم (کمپنی کرنسی),
Additional Discount Percentage,اضافی ڈسکاؤنٹ فیصد,
Additional Information,اضافی معلومات,
Additional Notes,اضافی نوٹس,
Additional Operating Cost,اضافی آپریٹنگ لاگت,
Additional information regarding the customer.,کسٹمر کے بارے میں اضافی معلومات.,
Address,پتہ,
Address & Contact,ایڈریس اور رابطہ,
Address & Contacts,ایڈریس اور رابطے,
Address Desc,DESC ایڈریس,
Address HTML,ایڈریس HTML,
Address Line 1,پتہ لائن 1,
Address Line 2,پتہ لائن 2,
Address Name,ایڈریس نام,
Address and Contact,ایڈریس اور رابطہ,
Address and Contacts,پتہ اور رابطے,
Address used to determine Tax Category in transactions,لین دین میں ٹیکس کیٹیگری کا تعی Addressن کرنے کے لئے استعمال کیا گیا پتہ,
Addresses,پتے,
Administrator,ایڈمنسٹریٹر,
Advance Account,ایڈوانس اکاؤنٹ,
Advance Amount,ایڈوانس رقم,
Advance Paid,ایڈوانس ادا,
Advance Payments,ایڈوانس ادائیگی,
Advance amount,ایڈوانس رقم,
Advanced Settings,اعلی درجے کی ترتیبات,
Advances,پیشگی,
Against,کے خلاف,
Against Account,کے اکاؤنٹ کے خلاف,
Against Blanket Order,کمبل آرڈر کے خلاف,
Against Delivery Note Item,حوالگی نوٹ آئٹم کے خلاف,
Against Docname,Docname خلاف,
Against Doctype,DOCTYPE خلاف,
Against Document Detail No,دستاویز تفصیل کے خلاف کوئی,
Against Document No,دستاویز کے خلاف,
Against Expense Account,اخراجات کے اکاؤنٹ کے خلاف,
Against Income Account,انکم اکاؤنٹ کے خلاف,
Against Sales Invoice,فروخت انوائس کے خلاف,
Against Sales Invoice Item,فروخت انوائس آئٹم خلاف,
Against Sales Order,سیلز کے خلاف,
Against Sales Order Item,سیلز آرڈر آئٹم خلاف,
Against Stock Entry,اسٹاک اندراج کے خلاف,
Against Voucher,واؤچر کے خلاف,
Against Voucher Type,واؤچر قسم کے خلاف,
Ageing Based On,کی بنیاد پر خستہ,
Agenda,ایجنڈا۔,
Agent Details,ایجنٹ کی تفصیلات,
Agents,ایجنٹوں,
Agriculture Manager,زراعت مینیجر,
Agriculture User,زراعت کا صارف,
All,سب,
All Contact,تمام رابطہ,
All Customer Contact,تمام کسٹمر رابطہ,
All Employee (Active),تمام ملازم (ایکٹو),
All Lead (Open),تمام لیڈ (کھولیں) تیار,
All Sales Partner Contact,تمام سیلز پارٹنر رابطہ,
All Sales Person,تمام فروخت شخص,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,آپ کی مقرر کردہ اور اہداف کی نگرانی کر سکتے ہیں تاکہ تمام سیلز معاملات سے زیادہ ** سیلز افراد ** خلاف ٹیگ کیا جا سکتا.,
All Supplier Contact,تمام سپلائر سے رابطہ,
Allocate Advances Automatically (FIFO),خود کار طریقے سے بڑھانے کا مختص کریں (فیفا),
Allocate Payment Based On Payment Terms,ادائیگی کی شرائط پر مبنی ادائیگی مختص کریں,
Allocated,مختص,
Allocated Amount,مختص رقم,
Allocated amount,مختص رقم,
Allocation,مختص کرنے,
Allow,اجازت دیں,
Allow Account Creation Against Child Company,چلڈرن کمپنی کے خلاف اکاؤنٹ بنانے کی اجازت دیں۔,
Allow Alternative Item,متبادل آئٹم کی اجازت دیں,
Allow In Returns,واپسی میں اجازت دیں,
Allow Item To Be Added Multiple Times in a Transaction,لین دین میں آئٹم کو ایک سے زیادہ مرتبہ شامل کرنے کی اجازت دیں,
Allow Material Transfer from Delivery Note to Sales Invoice,ڈلیوری نوٹ سے سیل انوائس میں میٹریل ٹرانسفر کی اجازت دیں,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,خریداری کی رسید سے خریداری کی رسید میں مواد کی منتقلی کی اجازت دیں,
Allow Multiple Sales Orders Against a Customer's Purchase Order,ایک گاہک کے خریداری آرڈر کے خلاف متعدد فروخت آرڈرز کی اجازت دیں,
Allow Negative Stock,منفی اسٹاک کی اجازت دیں,
Allow Overtime,اوور ٹائم کی اجازت دیں,
Allow Production on Holidays,چھٹیاں پیداوار کی اجازت دیتے ہیں,
Allow Purchase Invoice Creation Without Purchase Order,خریداری کے آرڈر کے بغیر خریداری کے انوائس تخلیق کی اجازت دیں,
Allow Purchase Invoice Creation Without Purchase Receipt,خریداری کی رسید کے بغیر خریداری کے انوائس تخلیق کی اجازت دیں,
Allow Rename Attribute Value,خصوصیت قیمت کا نام تبدیل کرنے کی اجازت دیں,
Allow Resetting Service Level Agreement,خدمت کی سطح کے معاہدے کو دوبارہ ترتیب دینے کی اجازت دیں۔,
