%  Delivered,% Taslim bo&#39;ldi,
% Amount Billed,% To&#39;lov miqdori,
% Billed,% Hisoblangan,
% Complete Method,% Komple usul,
% Completed,% Bajarildi,
% Installed,O&#39;rnatilgan,
% Ordered,% Buyurtma qilingan,
% Progress,% Progress,
% Received,Qabul qilingan,
% of materials billed against this Sales Order,Ushbu Buyurtma Buyurtma uchun taqdim etilgan materiallarning%,
% of materials delivered against this Sales Order,Ushbu Buyurtma Buyurtma uchun etkazilgan materiallarning%,
(Hour Rate / 60) * Actual Operation Time,(Soat / 60) * Haqiqiy operatsiya vaqti,
(including),(shu jumladan),
* Will be calculated in the transaction.,* Jurnalda hisoblab chiqiladi.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Moliyaviy yil ** moliyaviy yilni anglatadi. Barcha buxgalteriya yozuvlari va boshqa muhim bitimlar ** moliyaviy yilga nisbatan ** kuzatiladi.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Oylik tarqatish ** sizning biznesingizda mevsimlik mavjud bo&#39;lsa, byudjet / maqsadni oylar davomida tarqatishga yordam beradi.",
1 Loyalty Points = How much base currency?,1 Sadoqatli ballar = Qancha asosiy valyuta?,
1 hr,1 soat,
2 Yearly,2 yil,
30 mins,30 min,
6 hrs,6 soat,
"A Product or a Service that is bought, sold or kept in stock.","Xarid qilingan, sotiladigan yoki sotiladigan mahsulot yoki xizmat.",
A condition for a Shipping Rule,Yuk tashish qoidalari uchun shart,
A logical Warehouse against which stock entries are made.,Qimmatbaho qog&#39;ozlar kiritilgan mantiqiy ombor.,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Kompaniyalar mahsulotlarini komissiyaga sotadigan uchinchi tomon distributor / diler / komissiya agenti / affillangan / sotuvchisi.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-YYYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-YYYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-YYYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-YYYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC tugash sanasi,
API,API,
API Endpoint,API Endpoint,
API Key,API kaliti,
Abbr,Abbr,
Abbreviation,Qisqartirish,
Academics User,Akademiklar foydalanuvchisi,
Accepted,Qabul qilingan,
Accepted Qty,Qty qabul qilindi,
Accepted Quantity,Qabul qilingan miqdor,
Accepted Warehouse,Qabul qilingan omborxona,
Access Token,Kirish tokeni,
Account,Hisob,
Account Balance,Hisob balansi,
Account Currency,Hisob valyutasi,
Account Details,Hisob ma&#39;lumotlari,
Account Head,Hisob boshlig&#39;i,
Account Manager,Hisobchi,
Account Name,Hisob nomi,
Account Number,Hisob raqami,
Account Paid From,Hisobdan to&#39;langan pul,
Account Paid To,Hisoblangan pul,
Account Subtype,Hisob turi,
Account Type,Hisob turi,
Account for Change Amount,O&#39;zgarish miqdorini hisobga olish,
Accounting,Hisob-kitob,
Accounting Details,Hisobot tafsilotlari,
Accounting Dimension,Buxgalteriya o&#39;lchami,
Accounting Dimension Detail,Buxgalteriya o&#39;lchamlari haqida batafsil ma&#39;lumot,
Accounting Dimensions,Buxgalteriya o&#39;lchamlari,
Accounting Dimensions ,Buxgalteriya o&#39;lchamlari,
Accounting Entries,Buxgalteriya yozuvlari,
Accounting Period,Buxgalteriya davri,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Buxgalteriya yozuvlari shu kungacha muzlatilgan. Yozuvlarni quyida ko&#39;rsatilgan foydalanuvchilardan tashqari hech kim yaratishi yoki o&#39;zgartirishi mumkin emas,
Accounts,Hisoblar,
Accounts Frozen Till Date,Sana qadar muzlatilgan hisoblar,
Accounts Manager,Hisob menejeri,
Accounts Payable,Kreditorlik qarzi,
Accounts Payable Summary,To&#39;lanadigan qarz hisoboti,
Accounts Receivable,Kutilgan tushim,
Accounts Receivable Credit Account,Debitorlik kreditining hisobvarag&#39;i,
Accounts Receivable Discounted Account,Debitorlik qarzining diskontlangan hisobvarag&#39;i,
Accounts Receivable Summary,Qabul qilinadigan hisobvaraqlarning qisqacha bayoni,
Accounts Receivable Unpaid Account,Debitorlik qarzlari to&#39;lanmagan hisob,
Accounts Settings,Hisob sozlamalari,
Accounts User,Hisoblar foydalanuvchisi,
Accumulated Depreciation,Yig&#39;ilgan amortizatsiya,
Accumulated Depreciation Account,Yig&#39;ilgan Amortisman hisobi,
Accumulated Depreciation Amount,Yig&#39;ilgan Amortizatsiya summasi,
Acquisition Date,Qabul qilish sanasi,
Action,Harakat,
Action If Quality Inspection Is Not Submitted,"Agar sifat nazorati taqdim etilmasa, harakat",
Action if Accumulated Monthly Budget Exceeded on Actual,"Yig&#39;ilgan oylik byudjet amalda bajarilgan bo&#39;lsa, harakat",
Action if Accumulated Monthly Budget Exceeded on MR,Yig&#39;ilgan oylik byudjet MRdan oshib ketgan taqdirda harakat,
Action if Accumulated Monthly Budget Exceeded on PO,Har oyda to&#39;plangan oylik byudjetga nisbatan amaliyot,
Action if Annual Budget Exceeded on Actual,Agar yillik byudjet haqiqatdan ham oshib ketgan bo&#39;lsa,
Action if Annual Budget Exceeded on MR,"Agar yillik byudjet MRdan oshib ketgan bo&#39;lsa, harakat",
Action if Annual Budget Exceeded on PO,Yillik byudjetdan tashqari xarajatlar,
Actions,Amallar,
Actions performed,Amallar bajarildi,
Active,Faol,
Activities,Faoliyatlar,
Activity Cost,Faoliyat bahosi,
Activity Type,Faollik turi,
Actual,Amaliy,
Actual Batch Quantity,Amaliy to&#39;plam miqdori,
Actual Date,Haqiqiy sana,
Actual End Date,Haqiqiy tugash sanasi,
Actual End Date (via Timesheet),Haqiqiy tugash sanasi (vaqt jadvalidan orqali),
Actual End Time,Haqiqiy tugash vaqti,
Actual Operating Cost,Haqiqiy Operatsion Narx,
Actual Operation Time,Haqiqiy operatsiya vaqti,
Actual Qty,Haqiqiy Miqdor,
Actual Qty (at source/target),Haqiqiy Miqdor (manba / maqsadda),
Actual Start Date,Haqiqiy boshlash sanasi,
Actual Start Date (via Timesheet),Haqiqiy boshlash sanasi (vaqt jadvalidan orqali),
Actual Start Time,Haqiqiy boshlash vaqti,
Actual Time and Cost,Haqiqiy vaqt va narx,
Actual Time in Hours (via Timesheet),Haqiqiy vaqt (soati),
Add,Qo&#39;shish,
Add Quote,Iqtibos qo&#39;shish,
Add Weekly Holidays,Haftalik dam olish kunlarini qo&#39;shish,
Add or Deduct,Qo&#39;shish yoki cheklash,
Add to Holidays,Bayramlarga qo&#39;shiling,
Add to Transit,Tranzitga qo&#39;shish,
Additional Cost,Qo&#39;shimcha xarajatlar,
Additional Costs,Qo&#39;shimcha xarajatlar,
Additional DIscount Amount,Qo&#39;shimcha chegirma miqdori,
Additional DIscount Percentage,Qo&#39;shimcha imtiyozli foiz,
Additional Details,Qo&#39;shimcha tafsilotlar,
Additional Discount,Qo&#39;shimcha chegirmalar,
Additional Discount Amount,Qo&#39;shimcha chegirma miqdori,
Additional Discount Amount (Company Currency),Qo&#39;shimcha chegirma miqdori (Kompaniya valyutasi),
Additional Discount Percentage,Qo&#39;shimcha chegirma foizlari,
Additional Information,Qo&#39;shimcha ma&#39;lumot,
Additional Notes,Qo&#39;shimcha eslatmalar,
Additional Operating Cost,Qo&#39;shimcha operatsion narx,
Additional information regarding the customer.,Xaridor haqida qo&#39;shimcha ma&#39;lumot.,
Address,Manzil,
Address & Contact,Manzil &amp; Kontakt,
Address & Contacts,Manzil va Kontaktlar,
Address Desc,Manzil raq,
Address HTML,HTML-manzil,
Address Line 1,Manzil uchun 1-chi qator,
Address Line 2,Manzil yo&#39;nalish 2,
Address Name,Manzil nomi,
Address and Contact,Manzil va aloqa,
Address and Contacts,Manzil va aloqa,
Address used to determine Tax Category in transactions,Operatsiyalarda soliq toifasini aniqlash uchun foydalaniladigan manzil,
Addresses,Manzillar,
Administrator,Administrator,
Advance Account,Advance hisob,
Advance Amount,Advance miqdori,
Advance Paid,Avans to&#39;langan,
Advance Payments,Advance to&#39;lovlar,
Advance amount,Advance miqdori,
Advanced Settings,Kengaytirilgan sozlamalar,
Advances,Avanslar,
Against,Qarshi,
Against Account,Hisobga qarshi,
Against Blanket Order,Adyolga qarshi,
Against Delivery Note Item,Yetkazib berishga oid eslatma elementiga qarshi,
Against Docname,Docnamega qarshi,
Against Doctype,Doctypega qarshi,
Against Document Detail No,Hujjat bo&#39;yicha batafsil ma&#39;lumot yo&#39;q,
Against Document No,Hujjatlarga qarshi,
Against Expense Account,Xarajatlar hisobiga qarshi,
Against Income Account,Daromad hisobiga qarshi,
Against Sales Invoice,Sotuvdagi schyot-fakturaga qarshi,
Against Sales Invoice Item,Sotuvdagi schyot-fakturaga qarshi,
Against Sales Order,Savdo buyurtmasiga qarshi,
Against Sales Order Item,Savdo Buyurtma Mahsulotiga qarshi,
Against Stock Entry,Aksiyalar kiritilishiga qarshi,
Against Voucher,Voucherga qarshi,
Against Voucher Type,Voucher turiga qarshi,
Ageing Based On,Qarish asosli,
Agenda,Kun tartibi,
Agent Details,Agent haqida ma&#39;lumot,
Agents,Agentlar,
Agriculture Manager,Qishloq xo&#39;jalik boshqaruvchisi,
Agriculture User,Qishloq xo&#39;jaligi foydalanuvchisi,
All,HAMMA,
All Contact,Barcha aloqa,
All Customer Contact,Barcha xaridorlar bilan bog&#39;laning,
All Employee (Active),Barcha xodimlar (faol),
All Lead (Open),Barcha qo&#39;rg&#39;oshin (ochiq),
All Sales Partner Contact,Barcha Sotuvdagi hamkori bilan aloqa,
All Sales Person,Barcha Sotuvdagi Shaxs,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Barcha Sotuvdagi Jurnallarni bir nechta ** Sotuvdagi Shaxslarga ** joylashtirishingiz mumkin, shunday qilib maqsadlarni belgilashingiz va monitoring qilishingiz mumkin.",
All Supplier Contact,Barcha yetkazib beruvchi bilan aloqa,
Allocate Advances Automatically (FIFO),Avtomatik avanslarni ajratish (FIFO),
Allocate Payment Based On Payment Terms,To&#39;lov shartlari asosida to&#39;lovni ajrating,
Allocated,Ajratilgan,
Allocated Amount,Ajratilgan mablag&#39;,
Allocated amount,Ajratilgan mablag&#39;,
Allocation,Ajratish,
Allow,Ruxsat ber,
Allow Account Creation Against Child Company,Bola kompaniyasiga qarshi hisob yaratishga ruxsat bering,
Allow Alternative Item,Shu bilan bir qatorda narsalarga ruxsat berish,
