%  Delivered,% Đã giao,
% Amount Billed,% Số tiền đã ghi hóa đơn,
% Billed,% Hóa đơn đã lập,
% Complete Method,% Phương pháp hoàn chỉnh,
% Completed,% Hoàn thành,
% Installed,% Đã cài,
% Ordered,% đã đặt,
% Progress,% đang xử lý,
% Received,% đã nhận,
% of materials billed against this Sales Order,% của NVL đã có hoá đơn gắn với đơn đặt hàng này,
% of materials delivered against this Sales Order,% của nguyên vật liệu đã được giao gắn với đơn đặt hàng này,
(Hour Rate / 60) * Actual Operation Time,(Tỷ lệ giờ / 60) * Thời gian hoạt động thực tế,
(including),(kể cả),
* Will be calculated in the transaction.,* Sẽ được tính toán trong giao dịch.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Năm tài chính** đại diện cho một năm tài chính. Tất cả các bút toán kế toán và giao dịch chính khác được theo dõi  với **năm tài chính **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Đóng góp hàng tháng ** giúp bạn đóng góp vào Ngân sách/Mục tiêu qua các tháng nếu việc kinh doanh của bạn có tính thời vụ,
1 Loyalty Points = How much base currency?,1 Điểm Thân Thiết = Bao nhiêu tiền gốc?,
1 hr,1 giờ,
2 Yearly,2 Hàng năm,
30 mins,30 phút,
6 hrs,6 giờ,
"A Product or a Service that is bought, sold or kept in stock.","Một sản phẩm hay một dịch vụ được mua, bán hoặc lưu giữ trong kho.",
A condition for a Shipping Rule,1 điều kiện cho quy tắc giao hàng,
A logical Warehouse against which stock entries are made.,Một Kho thích hợp gắn với các phiếu nhập kho đã được tạo,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Một nhà phân phối của bên thứ ba / đại lý / hoa hồng đại lý / chi nhánh / đại lý bán lẻ chuyên bán các sản phẩm công ty cho hưởng hoa hồng.,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
