"""Customer Provided Item"" cannot be Purchase Item also",“受托加工材料”不能设置为允许采购,
"""Customer Provided Item"" cannot have Valuation Rate",“受托加工材料”不允许有成本价,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",“是固定的資產”不能選中，作為資產記錄存在對項目,
# In Stock,有库存物料个数,
# Req'd Items,物料个数,
%  Delivered,％交付,
% Amount Billed,（％）金額已開立帳單,
% Billed,％已開立帳單,
% Complete Method,完成百分比法,
% Completed,％已完成,
% Installed,％已安裝,
% Of Grand Total,占总数的百分比,
% Ordered,% 已訂購,
% Picked,已拣货%,
% Process Loss,制程损耗%,
% Progress,％進展,
% Received,％ 已收,
% Returned,已退货%,
% of materials billed against this Sales Order,針對這張銷售訂單的已開立帳單的百分比(%),
% of materials delivered against this Sales Order,針對這張銷售訂單的已交貨物料的百分比(%),
'Based On' and 'Group By' can not be same,“根據”和“分組依據”不能相同,
'Date' is required,&#39;日期&#39;是必需的,
'Days Since Last Order' must be greater than or equal to zero,“自從最後訂購日”必須大於或等於零,
'Entries' cannot be empty,“分錄”不能是空的,
'From Date' is required,“开始日期”是必需的,
'From Date' must be after 'To Date',“起始日期”必須經過'終止日期',
'Has Serial No' can not be 'Yes' for non-stock item,非庫存項目不能有序號,
'Opening',“開放”,
'To Date' is required,“至日期”是必需填寫的,
'Update Stock' can not be checked because items are not delivered via {0},不能勾選`更新庫存'，因為項目未交付{0},
'Update Stock' cannot be checked for fixed asset sale,"""更新庫存"" 無法檢查固定資產銷售",
(A) Qty After Transaction,(A) 变更后数量,
(B) Expected Qty After Transaction,(B) 预期变更后数量,
(C) Total qty in queue,(C) 队列中总数量,
(D) Balance Stock Value,(D) 库存余额,
(E) Balance Stock Value in Queue,(E) 队列中库存余额,
(Forecast),（预测）,
(H) Valuation Rate,(H) 成本价,
(Hour Rate / 60) * Actual Operation Time,（工時率/ 60）*實際操作時間,
(including),（包括）,
* Will be calculated in the transaction.,*將被計算在該交易。,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**財年**表示財政年度。所有的會計輸入項目和其他重大交易針對**財年**進行追蹤。,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**月度分配**幫助你分配預算/目標跨越幾個月，如果你在你的業務有季節性。,
1 Loyalty Points = How much base currency?,1忠誠度積分=多少基礎貨幣？,
1 hr,1小时,
2 Yearly,每年2次,
30 mins,30分钟,
6 hrs,6小时,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},{0}的<b>起始时间</b>不能晚于<b>起始时间</b>,
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>",<h3>套件</h3><p>将一组<b>物料</b>组合成另一个<b>套件物料</b>.适用于套件包含的物料属于库存物料，套件本身只是用于销售，在物料主数据中勾选<code>允许销售</code>，不勾选<code>允许库存</code></p><h4>比如:</h4><p>你单独出售笔记本电脑和电脑包，希望给同时购买笔记本电脑和电脑包的客户特别的优惠，就可以将笔记本电脑和电脑包组合成一个套件</p>,
A BOM with name {0} already exists for item {1}.,项目{1}的名称为{0}的BOM已存在。,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,客戶群組存在相同名稱，請更改客戶名稱或重新命名客戶群組,
A Lead requires either a person's name or an organization's name,个人姓名或机构名称是线索的必填信息,
"A Product or a Service that is bought, sold or kept in stock.",產品或服務已購買，出售或持有的庫存。,
A condition for a Shipping Rule,為運輸規則的條件,
A customer with the same name already exists,一個同名的客戶已經存在,
A logical Warehouse against which stock entries are made.,對這些庫存分錄帳進行的邏輯倉庫。,
A new appointment has been created for you with {0},已为您创建一个{0}的新约会,
A template with tax category {0} already exists. Only one template is allowed with each tax category,每个税种只能分派一个税费模板， 税种 {0} 已分派了税费模板,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,第三方分銷商/經銷商/代理商/分支機構/分銷商誰銷售公司產品的佣金。,
A+,A +,
A-,一個-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC到期時間,
API,API,
API Endpoint,API端點,
API Key,API密鑰,
AWB Number,空运提单,
Abbr,縮寫,
Abbreviation,縮寫,
Abbreviation already used for another company,另一家公司已使用此縮寫,
Abbreviation is mandatory,縮寫是強制性的,
About,關於,
About {0} minute remaining,剩余约{0}分钟,
About {0} minutes remaining,剩余约{0}分钟,
About {0} seconds remaining,剩余约{0}秒,
Above,以上,
Academics User,學術界用戶,
Acceptance Criteria Formula,标准要求条件公式,
Acceptance Criteria Value,标准要求,
Accepted,接受的,
Accepted Qty,已接收数量,
Accepted Qty in Stock UOM,接受数量(库存单位),
Accepted Quantity,允收數量,
Accepted Warehouse,收料倉庫,
Access Token,存取 Token,
Account,帳戶,
Account Balance,帳戶餘額,
Account Balance (From),源科目余额,
Account Balance (To),目标科目余额,
Account Closing Balance,科目结账余额,
Account Currency,科目幣種,
Account Currency (From),源科目币种,
Account Currency (To),目标科目币种,
Account Details,帳戶細節,
Account Head,帳戶頭,
Account Manager,客户经理,
Account Missing,帐户遗失,
Account Name,帳戶名稱,
Account Not Found,找不到帐户,
Account Number,帳號,
Account Number {0} already used in account {1},已在科目{1}中使用的帳號{0},
Account Opening Balance,账户期初余额,
Account Paid From,帳戶支付從,
Account Paid To,科目付至,
Account Pay Only,科目只需支付,
Account Subtype,账户子类型,
Account Type,科目類型,
Account Value,会计账金额,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",科目餘額已歸為貸方，不允許設為借方,
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",科目餘額已歸為借方科目，不允許設為貸方,
Account for Change Amount,帳戶漲跌額,
Account is mandatory to get payment entries,请输入科目以获取收付款凭证,
Account is not set for the dashboard chart {0},尚未为统计图表{0}设置科目,
Account with child nodes cannot be converted to ledger,有子節點的帳不能轉換到總帳,
