%  Delivered,已出货%,
% Amount Billed,已开票%,
% Billed,已开票%,
% Complete Method,完成百分比法,
% Completed,已完成%,
% Installed,已安装％,
% Ordered,已下单%,
% Picked,已拣货%,
% Process Loss,制程损耗%,
% Progress,进度%,
% Received,已收货%,
% Returned,已退货%,
% of materials billed against this Sales Order,此销售订单%的物料已开票。,
% of materials delivered against this Sales Order,此销售订单% 的物料已出货。,
(Hour Rate / 60) * Actual Operation Time,（小时费率/ 60）*实际工序时间,
(including),（包含）,
* Will be calculated in the transaction.,*将被计算在该交易内。,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**财年**表示财年。所有的会计分录和其他重大交易将根据**财年**跟踪。,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**月度分配**针对业务有季节性波动的情况，帮助你按月分配预算/目标,
1 Loyalty Points = How much base currency?,多少钱积1分,
1 hr,1小时,
2 Yearly,每年2次,
30 mins,30分钟,
6 hrs,6小时,
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>",<h3>套件</h3><p>将一组<b>物料</b>组合成另一个<b>套件物料</b>.适用于套件包含的物料属于库存物料，套件本身只是用于销售，在物料主数据中勾选<code>允许销售</code>，不勾选<code>允许库存</code></p><h4>比如:</h4><p>你单独出售笔记本电脑和电脑包，希望给同时购买笔记本电脑和电脑包的客户特别的优惠，就可以将笔记本电脑和电脑包组合成一个套件</p>,
"A Product or a Service that is bought, sold or kept in stock.",可采购，销售或作为存货的产品或服务。,
A condition for a Shipping Rule,发货规则的一个条件,
A logical Warehouse against which stock entries are made.,创建物料移动所依赖的逻辑仓库。,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,授权销售公司产品的第三方分销商/经销商/授权代理商/分支机构/转销商,
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,AMC到期时间,
API,API,
API Endpoint,API端点,
API Key,API密钥,
AWB Number,空运提单,
Abbr,简称,
Abbreviation,简称,
About,关于,
Academics User,培训教管,
Acceptance Criteria Formula,标准要求条件公式,
Acceptance Criteria Value,标准要求,
Accepted,已接受,
Accepted Qty,已接收数量,
Accepted Qty in Stock UOM,接受数量(库存单位),
Accepted Quantity,允收数量,
Accepted Warehouse,仓库,
Access Token,访问令牌,
Account,科目,
Account Balance,科目余额,
Account Balance (From),源科目余额,
Account Balance (To),目标科目余额,
Account Closing Balance,科目结账余额,
Account Currency,科目币别,
Account Currency (From),源科目币种,
Account Currency (To),目标科目币种,
Account Details,账户信息,
Account Head,科目,
Account Manager,客户经理,
Account Name,科目名称,
Account Number,科目代码,
Account Opening Balance,账户期初余额,
Account Paid From,贷方科目,
Account Paid To,借方科目,
Account Subtype,账户子类型,
Account Type,科目类型,
Account for Change Amount,零钱科目,
Accounting,会计,
Accounting Details,会计信息,
Accounting Dimension,辅助核算,
Accounting Dimension Detail,辅助核算信息,
Accounting Dimension Filter,辅助核算过滤,
Accounting Dimensions,辅助核算,
Accounting Dimensions ,辅助核算,
Accounting Entries,会计分录,
Accounting Period,会计期间,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,以下角色以外的用户不允许新增或修改此日期之前的会计凭证,
Accounts,会计,
Accounts Closing,会计关账,
Accounts Frozen Till Date,冻结记账截止日,
Accounts Manager,会计经理,
Accounts Payable,应付账款,
Accounts Payable Summary,应付账款汇总表,
Accounts Receivable,应收账款,
Accounts Receivable Credit Account,应收账款备抵科目,
Accounts Receivable Discounted Account,应收账款贴现科目,
Accounts Receivable Summary,应收账款汇总,
Accounts Receivable Unpaid Account,应收账款未付科目,
Accounts Settings,会计设置,
Accounts User,会计,
Accounts to Merge,待合并科目,
Accumulated Depreciation,累计折旧,
Accumulated Depreciation Account,累计折旧科目,
Accumulated Depreciation Amount,累计折旧额,
Acquisition Date,购买日期,
Action,操作,
Action If Quality Inspection Is Not Submitted,未提交质量检验的措施,
Action If Quality Inspection Is Rejected,质检被拒的措施,
Action If Same Rate is Not Maintained,不使用相同价格系统控制措施,
Action if Accumulated Monthly Budget Exceeded on Actual,超累计月度预算时的控制措施,
Action if Accumulated Monthly Budget Exceeded on MR,超累计月度预算时针对物料需求的控制措施,
Action if Accumulated Monthly Budget Exceeded on PO,超累计月度预算时针对采购订单的控制措施,
Action if Annual Budget Exceeded on Actual,超年度预算时的控制措施,
Action if Annual Budget Exceeded on MR,超年度预算时针对物料需求的控制措施,
Action if Annual Budget Exceeded on PO,超年度预算时针对采购订单的控制措施,
Action if Same Rate is Not Maintained Throughout Sales Cycle,销售流程未使用相同价格时的控制措施,
Actions,操作,
Actions performed,已执行的操作,
Active,激活,
Activities,活动,
Activity Cost,作业成本,
Activity Type,作业类型,
Actual,实际,
Actual Batch Quantity,实际批号数量,
Actual Date,实际日期,
Actual End Date,实际结束日期,
Actual End Date (via Timesheet),实际结束日期（通过工时单）,
Actual End Time,实际结束时间,
Actual Operating Cost,实际工费成本,
Actual Operation Time,实际工序时间,
Actual Qty,实际数量,
Actual Qty (at source/target),实际数量（源/目标）,
Actual Start Date,实际开始日期,
Actual Start Date (via Timesheet),实际开始日期（通过工时单）,
Actual Start Time,实际开始时间,
Actual Time,实际时间,
Actual Time and Cost,实际时间和成本,
Actual Time in Hours (via Timesheet),实际时间（小时）,
Add,添加,
Add Corrective Operation Cost in Finished Good Valuation,入库成品成本价含返工工序成本,
Add Local Holidays,添加国家公众假期,
Add Manually,手动添加,
Add Or Deduct,增加或抵扣,
Add Quote,添加报价,
Add Serial / Batch No,添加序列号/批号,
Add Serial / Batch No (Rejected Qty),添加序列号/批号(拒收数量),
Add Template,新建模板,
Add Weekly Holidays,添加每周休息日,
Add or Deduct,添加或扣除,
Add to Holidays,添加至假期,
Add to Transit,添加至在途,
Added On,反馈日期,
Additional Cost,额外费用,
Additional Cost Per Qty,每单位其它成本,
Additional Costs,额外费用,
Additional DIscount Amount,额外折扣金额,
Additional DIscount Percentage,额外折扣百分比,
Additional Details,额外细节,
Additional Discount,额外折扣,
Additional Discount Amount,额外折扣金额,
Additional Discount Amount (Company Currency),额外折扣金额（本币）,
Additional Discount Percentage,额外折扣百分比,
Additional Info,附加信息,
Additional Information,附加信息,
Additional Notes,补充说明,
Additional Operating Cost,额外工费成本,
Additional information regarding the customer.,该客户的其他信息。,
Address,地址,
Address & Contact,地址及联系方式,
Address & Contacts,地址及联系方式,
Address Desc,地址倒序,
Address HTML,地址HTML,
Address Line 1,详细地址1,
Address Line 2,详细地址2,
Address Name,地址名称,
Address and Contact,地址和联系方式,
Address and Contacts,地址和联系方式,
Address used to determine Tax Category in transactions,业务交易用于决定税别的地址,
Addresses,地址,
Administrator,管理员,
Advance Account,预支科目,
Advance Amount,预支金额,
Advance Paid,预付款,
Advance Payments,预付款,
Advance Taxes and Charges,预付税费,
Advance amount,预付金额,
Advance payments allocated against orders will only be fetched,仅获取关联了订单的预付款,
Advanced Settings,高级设置,
Advances,预付,
Against,对方科目,
Against Account,对方科目,
Against Blanket Order,框架订单,
Against Delivery Note Item,针对交货单项目,
Against Docname,单据编号,
Against Doctype,单据类型,
Against Document Detail No,对单据信息编号,
Against Document No,源单据,
Against Expense Account,费用账目,
Against Income Account,收入账目,
Against Sales Invoice,销售发票,
Against Sales Invoice Item,源销售发票明细,
Against Sales Order,销售订单,
Against Sales Order Item,销售订单明细,
Against Stock Entry,源物料移动单,
Against Voucher,对销凭证,
Against Voucher No,关联凭证号,
Against Voucher Type,对销凭证类型,
Ageing Based On,账龄基于,
Agenda,议程,
Agent Details,代理商详细信息,
Agents,代理商,
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials",将一组物料组合成一个新物料。即将一组物料组合打包/包装，然后维护这个套件的库存。套件物料属性为：“允许库存”（取值“否”），或“允许销售”（取值“是”）。例如：你分别销售笔记本电脑和背包，并且如果有客户采购两种而使用单独的价格，那么笔记本电脑+背包将是一个新的套件物料。注：物料BOM =Bill of Materials,
Agriculture Manager,农业经理,
Agriculture User,农业用户,
All,全部,
All Activities,全部活动,
All Contact,所有联系人,
All Customer Contact,所有客户联系人,
All Employee (Active),所有员工（在编）,
All Lead (Open),所有线索（跟进中）,
All Sales Partner Contact,所有业务伙伴联系人,
All Sales Person,所有业务员,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,所有的销售交易都可以标记多个**销售人员**，方便你设置和监控目标。,
All Supplier Contact,所有供应商,
Allocate Advances Automatically (FIFO),自动分配预付（先进先出）,
Allocate Payment Based On Payment Terms,基于付款条款分配付款金额,
Allocated,已分配,
Allocated Amount,已分配金额,
Allocated Entries,已核销单据,
Allocated amount,已核销金额,
Allocation,分配,
Allow,允许,
Allow Account Creation Against Child Company,允许为子公司创建科目,
Allow Alternative Item,允许替代物料,
Allow Continuous Material Consumption,启用工单耗用,
Allow Excess Material Transfer,允许超需求量工单发料,
Allow In Returns,允许退货,
Allow Item To Be Added Multiple Times in a Transaction,允许在交易中物料号重复,
Allow Item to be Added Multiple Times in a Transaction,允许一个交易中存在相同物料,
Allow Lead Duplication based on Emails,允许基于相同邮箱创建多个线索,
Allow Material Transfer from Delivery Note to Sales Invoice,允许物料从交货单转移到销售发票,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,允许从收货到采购发票的物料转移,
Allow Multiple Sales Orders Against a Customer's Purchase Order,一张客户采购订单可关联多张销售订单,
Allow Negative Stock,允许负库存,
Allow Negative rates for Items,允许物料负单价,
Allow Or Restrict Dimension,允许或限制辅助核算,
Allow Overtime,允许加班,
Allow Partial Reservation,允许部分预留,
Allow Production on Holidays,允许在假期内生产,
Allow Purchase,允许采购,
Allow Purchase Invoice Creation Without Purchase Order,允许无采购订单创建采购发票,
Allow Purchase Invoice Creation Without Purchase Receipt,允许无采购入库创建采购发票,
Allow Rename Attribute Value,允许重命名属性值,
Allow Resetting Service Level Agreement,允许重置服务水平协议,
Allow Sales,允许销售,
Allow Sales Invoice Creation Without Delivery Note,允许无销售出库创建销售发票,
Allow Sales Invoice Creation Without Sales Order,允许无销售订单创建销售发票,
Allow Sales Order Creation For Expired Quotation,允许从已过期报价创建(下推)销售订单,
Allow Stale Exchange Rates,允许使用历史汇率,
Allow User to Edit Discount,允许用户修改折扣,
Allow User to Edit Price List Rate in Transactions,允许用户修改交易中的标价字段,
Allow User to Edit Rate,允许用户修改单价,
Allow Zero Rate,允许0成本价,
Allow Zero Valuation Rate,成本价为0,
Allow material consumptions without immediately manufacturing finished goods against a Work Order,允许单独记录多次工单耗用后再进行工单入库,
